Datas,Orne
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,6.0
2020/05/14,5.0
2020/05/15,7.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,4.0
2020/05/19,6.0
2020/05/20,6.0
2020/05/21,3.0
2020/05/22,5.0
2020/05/23,1.0
2020/05/24,0.0
2020/05/25,1.0
2020/05/26,6.0
2020/05/27,2.0
2020/05/28,1.0
2020/05/29,2.0
2020/05/30,0.0
2020/05/31,1.0
2020/06/01,3.0
2020/06/02,2.0
2020/06/03,0.0
2020/06/04,2.0
2020/06/05,0.0
2020/06/06,2.0
2020/06/07,0.0
2020/06/08,2.0
2020/06/09,2.0
2020/06/10,0.0
2020/06/11,1.0
2020/06/12,1.0
2020/06/13,0.0
2020/06/14,1.0
2020/06/15,0.0
2020/06/16,4.0
2020/06/17,3.0
2020/06/18,5.0
2020/06/19,4.0
2020/06/20,2.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,2.0
2020/06/24,0.0
2020/06/25,2.0
2020/06/26,3.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,1.0
2020/06/30,2.0
2020/07/01,1.0
2020/07/02,0.0
2020/07/03,4.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,0.0
2020/07/07,3.0
2020/07/08,3.0
2020/07/09,2.0
2020/07/10,0.0
2020/07/11,1.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,2.0
2020/07/16,3.0
2020/07/17,3.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,1.0
2020/07/21,2.0
2020/07/22,1.0
2020/07/23,0.0
2020/07/24,0.0
2020/07/25,0.0
2020/07/26,0.0
2020/07/27,1.0
2020/07/28,1.0
2020/07/29,2.0
2020/07/30,0.0
2020/07/31,2.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,1.0
2020/08/04,0.0
2020/08/05,3.0
2020/08/06,2.0
2020/08/07,4.0
2020/08/08,4.0
2020/08/09,0.0
2020/08/10,4.0
2020/08/11,6.0
2020/08/12,8.0
2020/08/13,5.0
2020/08/14,5.0
2020/08/15,0.0
2020/08/16,1.0
2020/08/17,6.0
2020/08/18,2.0
2020/08/19,3.0
2020/08/20,5.0
2020/08/21,3.0
2020/08/22,3.0
2020/08/23,1.0
2020/08/24,2.0
2020/08/25,7.0
2020/08/26,9.0
2020/08/27,9.0
2020/08/28,4.0
2020/08/29,1.0
2020/08/30,0.0
2020/08/31,5.0
2020/09/01,2.0
2020/09/02,10.0
2020/09/03,1.0
2020/09/04,9.0
2020/09/05,6.0
2020/09/06,2.0
2020/09/07,4.0
2020/09/08,10.0
2020/09/09,10.0
2020/09/10,20.0
2020/09/11,27.0
2020/09/12,2.0
2020/09/13,7.0
2020/09/14,35.0
2020/09/15,14.0
2020/09/16,27.0
2020/09/17,15.0
2020/09/18,36.0
2020/09/19,5.0
2020/09/20,2.0
2020/09/21,19.0
2020/09/22,23.0
2020/09/23,15.0
2020/09/24,16.0
2020/09/25,21.0
2020/09/26,16.0
2020/09/27,6.0
2020/09/28,24.0
2020/09/29,35.0
2020/09/30,57.0
2020/10/01,30.0
2020/10/02,19.0
2020/10/03,11.0
2020/10/04,9.0
2020/10/05,51.0
2020/10/06,76.0
2020/10/07,41.0
2020/10/08,42.0
2020/10/09,50.0
2020/10/10,10.0
2020/10/11,3.0
2020/10/12,47.0
2020/10/13,33.0
2020/10/14,36.0
2020/10/15,62.0
2020/10/16,47.0
2020/10/17,24.0
2020/10/18,8.0
2020/10/19,67.0
2020/10/20,65.0
2020/10/21,73.0
2020/10/22,72.0
2020/10/23,126.0
2020/10/24,63.0
2020/10/25,26.0
2020/10/26,170.0
2020/10/27,151.0
2020/10/28,177.0
2020/10/29,134.0
2020/10/30,167.0
2020/10/31,76.0
2020/11/01,34.0
2020/11/02,176.0
2020/11/03,173.0
2020/11/04,129.0
2020/11/05,129.0
2020/11/06,148.0
2020/11/07,80.0
2020/11/08,22.0
2020/11/09,150.0
2020/11/10,144.0
2020/11/11,24.0
2020/11/12,149.0
2020/11/13,99.0
2020/11/14,92.0
2020/11/15,20.0
2020/11/16,127.0
2020/11/17,93.0
2020/11/18,97.0
2020/11/19,81.0
2020/11/20,90.0
2020/11/21,40.0
2020/11/22,22.0
2020/11/23,106.0
2020/11/24,57.0
2020/11/25,68.0
2020/11/26,87.0
2020/11/27,61.0
2020/11/28,30.0
2020/11/29,7.0
2020/11/30,64.0
2020/12/01,58.0
2020/12/02,65.0
2020/12/03,64.0
2020/12/04,60.0
2020/12/05,28.0
2020/12/06,14.0
2020/12/07,111.0
2020/12/08,87.0
2020/12/09,96.0
2020/12/10,109.0
2020/12/11,77.0
2020/12/12,35.0
2020/12/13,18.0
2020/12/14,125.0
2020/12/15,77.0
2020/12/16,66.0
2020/12/17,104.0
2020/12/18,110.0
2020/12/19,45.0
2020/12/20,12.0
2020/12/21,115.0
2020/12/22,85.0
2020/12/23,81.0
2020/12/24,88.0
2020/12/25,8.0
2020/12/26,75.0
2020/12/27,9.0
2020/12/28,121.0
2020/12/29,109.0
2020/12/30,111.0
2020/12/31,99.0
2021/01/01,4.0
2021/01/02,59.0
2021/01/03,17.0
2021/01/04,111.0
2021/01/05,130.0
2021/01/06,94.0
2021/01/07,72.0
2021/01/08,74.0
2021/01/09,36.0
2021/01/10,18.0
2021/01/11,107.0
2021/01/12,108.0
2021/01/13,97.0
2021/01/14,109.0
2021/01/15,73.0
2021/01/16,54.0
2021/01/17,15.0
2021/01/18,122.0
2021/01/19,89.0
2021/01/20,80.0
2021/01/21,60.0
2021/01/22,90.0
2021/01/23,38.0
2021/01/24,16.0
2021/01/25,98.0
2021/01/26,93.0
2021/01/27,90.0
2021/01/28,85.0
2021/01/29,61.0
2021/01/30,42.0
2021/01/31,10.0
2021/02/01,123.0
2021/02/02,89.0
2021/02/03,61.0
2021/02/04,61.0
2021/02/05,55.0
2021/02/06,33.0
2021/02/07,6.0
2021/02/08,84.0
2021/02/09,48.0
2021/02/10,45.0
2021/02/11,31.0
2021/02/12,55.0
2021/02/13,26.0
2021/02/14,5.0
2021/02/15,34.0
2021/02/16,48.0
2021/02/17,30.0
2021/02/18,44.0
2021/02/19,61.0
2021/02/20,37.0
2021/02/21,5.0
2021/02/22,69.0
2021/02/23,47.0
2021/02/24,49.0
2021/02/25,64.0
2021/02/26,66.0
2021/02/27,36.0
2021/02/28,4.0
2021/03/01,101.0
2021/03/02,93.0
2021/03/03,56.0
2021/03/04,53.0
2021/03/05,98.0
2021/03/06,26.0
2021/03/07,10.0
2021/03/08,83.0
2021/03/09,77.0
2021/03/10,71.0
2021/03/11,83.0
2021/03/12,92.0
2021/03/13,56.0
2021/03/14,8.0
2021/03/15,126.0
2021/03/16,120.0
2021/03/17,110.0
2021/03/18,136.0
2021/03/19,112.0
2021/03/20,62.0
2021/03/21,21.0
2021/03/22,169.0
2021/03/23,182.0
2021/03/24,120.0
2021/03/25,154.0
2021/03/26,142.0
2021/03/27,87.0
2021/03/28,19.0
2021/03/29,189.0
2021/03/30,172.0
2021/03/31,132.0
2021/04/01,112.0
2021/04/02,114.0
2021/04/03,69.0
2021/04/04,28.0
2021/04/05,19.0
2021/04/06,263.0
2021/04/07,157.0
2021/04/08,148.0
2021/04/09,178.0
2021/04/10,83.0
2021/04/11,27.0
2021/04/12,203.0
2021/04/13,150.0
2021/04/14,169.0
2021/04/15,142.0
2021/04/16,134.0
2021/04/17,85.0
2021/04/18,25.0
2021/04/19,150.0
2021/04/20,133.0
2021/04/21,97.0
2021/04/22,115.0
2021/04/23,112.0
2021/04/24,84.0
2021/04/25,16.0
2021/04/26,136.0
2021/04/27,75.0
2021/04/28,75.0
2021/04/29,79.0
2021/04/30,88.0
2021/05/01,16.0
2021/05/02,12.0
2021/05/03,105.0
2021/05/04,78.0
2021/05/05,64.0
2021/05/06,92.0
2021/05/07,101.0
2021/05/08,10.0
2021/05/09,17.0
2021/05/10,128.0
2021/05/11,95.0
2021/05/12,103.0
2021/05/13,21.0
2021/05/14,95.0
2021/05/15,50.0
2021/05/16,9.0
2021/05/17,108.0
2021/05/18,104.0
2021/05/19,76.0
2021/05/20,68.0
2021/05/21,72.0
2021/05/22,44.0
2021/05/23,11.0
2021/05/24,16.0
2021/05/25,122.0
2021/05/26,72.0
2021/05/27,63.0
2021/05/28,60.0
2021/05/29,25.0
2021/05/30,8.0
2021/05/31,63.0
2021/06/01,30.0
