Datas,Pas-de-Calais
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,13.0
2020/05/14,13.0
2020/05/15,9.0
2020/05/16,0.0
2020/05/17,2.0
2020/05/18,22.0
2020/05/19,17.0
2020/05/20,21.0
2020/05/21,1.0
2020/05/22,18.0
2020/05/23,3.0
2020/05/24,4.0
2020/05/25,9.0
2020/05/26,17.0
2020/05/27,8.0
2020/05/28,5.0
2020/05/29,10.0
2020/05/30,3.0
2020/05/31,0.0
2020/06/01,3.0
2020/06/02,12.0
2020/06/03,19.0
2020/06/04,25.0
2020/06/05,14.0
2020/06/06,6.0
2020/06/07,4.0
2020/06/08,9.0
2020/06/09,9.0
2020/06/10,10.0
2020/06/11,15.0
2020/06/12,4.0
2020/06/13,3.0
2020/06/14,1.0
2020/06/15,11.0
2020/06/16,9.0
2020/06/17,11.0
2020/06/18,4.0
2020/06/19,10.0
2020/06/20,2.0
2020/06/21,0.0
2020/06/22,7.0
2020/06/23,13.0
2020/06/24,7.0
2020/06/25,7.0
2020/06/26,19.0
2020/06/27,4.0
2020/06/28,0.0
2020/06/29,8.0
2020/06/30,6.0
2020/07/01,9.0
2020/07/02,12.0
2020/07/03,15.0
2020/07/04,4.0
2020/07/05,0.0
2020/07/06,7.0
2020/07/07,5.0
2020/07/08,2.0
2020/07/09,7.0
2020/07/10,4.0
2020/07/11,2.0
2020/07/12,0.0
2020/07/13,9.0
2020/07/14,2.0
2020/07/15,13.0
2020/07/16,12.0
2020/07/17,16.0
2020/07/18,10.0
2020/07/19,1.0
2020/07/20,12.0
2020/07/21,7.0
2020/07/22,15.0
2020/07/23,7.0
2020/07/24,9.0
2020/07/25,4.0
2020/07/26,1.0
2020/07/27,16.0
2020/07/28,8.0
2020/07/29,23.0
2020/07/30,35.0
2020/07/31,14.0
2020/08/01,7.0
2020/08/02,2.0
2020/08/03,26.0
2020/08/04,19.0
2020/08/05,18.0
2020/08/06,21.0
2020/08/07,18.0
2020/08/08,9.0
2020/08/09,1.0
2020/08/10,42.0
2020/08/11,14.0
2020/08/12,19.0
2020/08/13,23.0
2020/08/14,41.0
2020/08/15,3.0
2020/08/16,2.0
2020/08/17,39.0
2020/08/18,29.0
2020/08/19,32.0
2020/08/20,37.0
2020/08/21,42.0
2020/08/22,13.0
2020/08/23,2.0
2020/08/24,41.0
2020/08/25,36.0
2020/08/26,41.0
2020/08/27,74.0
2020/08/28,49.0
2020/08/29,46.0
2020/08/30,8.0
2020/08/31,127.0
2020/09/01,145.0
2020/09/02,188.0
2020/09/03,242.0
2020/09/04,240.0
2020/09/05,138.0
2020/09/06,21.0
2020/09/07,340.0
2020/09/08,333.0
2020/09/09,268.0
2020/09/10,277.0
2020/09/11,201.0
2020/09/12,114.0
2020/09/13,8.0
2020/09/14,350.0
2020/09/15,327.0
2020/09/16,321.0
2020/09/17,305.0
2020/09/18,274.0
2020/09/19,130.0
2020/09/20,21.0
2020/09/21,339.0
2020/09/22,270.0
2020/09/23,276.0
2020/09/24,248.0
2020/09/25,287.0
2020/09/26,102.0
2020/09/27,16.0
2020/09/28,290.0
2020/09/29,282.0
2020/09/30,293.0
2020/10/01,311.0
2020/10/02,387.0
2020/10/03,137.0
2020/10/04,16.0
2020/10/05,458.0
2020/10/06,383.0
2020/10/07,399.0
2020/10/08,437.0
2020/10/09,471.0
2020/10/10,263.0
2020/10/11,42.0
2020/10/12,666.0
2020/10/13,529.0
2020/10/14,613.0
2020/10/15,692.0
2020/10/16,725.0
2020/10/17,337.0
2020/10/18,68.0
2020/10/19,973.0
2020/10/20,877.0
2020/10/21,932.0
2020/10/22,1184.0
2020/10/23,1376.0
2020/10/24,686.0
2020/10/25,115.0
2020/10/26,1705.0
2020/10/27,1447.0
2020/10/28,1372.0
2020/10/29,1446.0
2020/10/30,1491.0
2020/10/31,761.0
2020/11/01,136.0
2020/11/02,2047.0
2020/11/03,1520.0
2020/11/04,1204.0
2020/11/05,1296.0
2020/11/06,1143.0
2020/11/07,519.0
2020/11/08,82.0
2020/11/09,1333.0
2020/11/10,1028.0
2020/11/11,145.0
2020/11/12,1123.0
2020/11/13,881.0
2020/11/14,365.0
2020/11/15,58.0
2020/11/16,937.0
2020/11/17,635.0
2020/11/18,458.0
2020/11/19,439.0
2020/11/20,414.0
2020/11/21,160.0
2020/11/22,39.0
2020/11/23,419.0
2020/11/24,340.0
2020/11/25,299.0
2020/11/26,326.0
2020/11/27,290.0
2020/11/28,130.0
2020/11/29,29.0
2020/11/30,424.0
2020/12/01,301.0
2020/12/02,297.0
2020/12/03,317.0
2020/12/04,296.0
2020/12/05,116.0
2020/12/06,24.0
2020/12/07,445.0
2020/12/08,315.0
2020/12/09,293.0
2020/12/10,350.0
2020/12/11,311.0
2020/12/12,184.0
2020/12/13,32.0
2020/12/14,516.0
2020/12/15,349.0
2020/12/16,290.0
2020/12/17,303.0
2020/12/18,452.0
2020/12/19,215.0
2020/12/20,35.0
2020/12/21,490.0
2020/12/22,395.0
2020/12/23,327.0
2020/12/24,244.0
2020/12/25,31.0
2020/12/26,197.0
2020/12/27,24.0
2020/12/28,540.0
2020/12/29,422.0
2020/12/30,376.0
2020/12/31,267.0
2021/01/01,19.0
2021/01/02,248.0
2021/01/03,19.0
2021/01/04,536.0
2021/01/05,396.0
2021/01/06,350.0
2021/01/07,399.0
2021/01/08,379.0
2021/01/09,263.0
2021/01/10,30.0
2021/01/11,490.0
2021/01/12,395.0
2021/01/13,380.0
2021/01/14,412.0
2021/01/15,462.0
2021/01/16,231.0
2021/01/17,28.0
2021/01/18,631.0
2021/01/19,417.0
2021/01/20,397.0
2021/01/21,411.0
2021/01/22,499.0
2021/01/23,280.0
2021/01/24,22.0
2021/01/25,563.0
2021/01/26,409.0
2021/01/27,347.0
2021/01/28,409.0
2021/01/29,461.0
2021/01/30,251.0
2021/01/31,48.0
2021/02/01,649.0
2021/02/02,445.0
2021/02/03,419.0
2021/02/04,469.0
2021/02/05,474.0
2021/02/06,346.0
2021/02/07,38.0
2021/02/08,672.0
2021/02/09,517.0
2021/02/10,506.0
2021/02/11,547.0
2021/02/12,605.0
2021/02/13,393.0
2021/02/14,69.0
2021/02/15,859.0
2021/02/16,721.0
2021/02/17,797.0
2021/02/18,796.0
2021/02/19,849.0
2021/02/20,487.0
2021/02/21,98.0
2021/02/22,1100.0
2021/02/23,894.0
2021/02/24,860.0
2021/02/25,855.0
2021/02/26,865.0
2021/02/27,508.0
2021/02/28,97.0
2021/03/01,1119.0
2021/03/02,828.0
2021/03/03,780.0
2021/03/04,827.0
2021/03/05,921.0
2021/03/06,540.0
2021/03/07,81.0
2021/03/08,1269.0
2021/03/09,900.0
2021/03/10,844.0
2021/03/11,781.0
2021/03/12,815.0
2021/03/13,559.0
2021/03/14,92.0
2021/03/15,1490.0
2021/03/16,1107.0
2021/03/17,1032.0
2021/03/18,884.0
2021/03/19,1156.0
2021/03/20,653.0
2021/03/21,105.0
2021/03/22,1693.0
2021/03/23,1231.0
2021/03/24,1055.0
2021/03/25,1155.0
2021/03/26,1166.0
2021/03/27,751.0
2021/03/28,120.0
2021/03/29,1577.0
2021/03/30,1124.0
2021/03/31,1047.0
2021/04/01,964.0
2021/04/02,949.0
2021/04/03,626.0
2021/04/04,96.0
2021/04/05,185.0
2021/04/06,1410.0
2021/04/07,941.0
2021/04/08,942.0
2021/04/09,890.0
2021/04/10,580.0
2021/04/11,98.0
2021/04/12,1164.0
2021/04/13,754.0
2021/04/14,791.0
2021/04/15,757.0
2021/04/16,746.0
2021/04/17,489.0
2021/04/18,76.0
2021/04/19,1046.0
2021/04/20,687.0
2021/04/21,692.0
2021/04/22,672.0
2021/04/23,643.0
2021/04/24,447.0
2021/04/25,70.0
2021/04/26,781.0
2021/04/27,665.0
2021/04/28,590.0
2021/04/29,541.0
2021/04/30,556.0
2021/05/01,72.0
2021/05/02,55.0
2021/05/03,809.0
2021/05/04,560.0
2021/05/05,478.0
2021/05/06,495.0
2021/05/07,494.0
2021/05/08,86.0
2021/05/09,66.0
2021/05/10,690.0
2021/05/11,405.0
2021/05/12,456.0
2021/05/13,78.0
2021/05/14,460.0
2021/05/15,216.0
2021/05/16,62.0
2021/05/17,594.0
2021/05/18,436.0
2021/05/19,361.0
2021/05/20,281.0
2021/05/21,356.0
2021/05/22,198.0
2021/05/23,41.0
2021/05/24,85.0
2021/05/25,436.0
2021/05/26,266.0
2021/05/27,273.0
2021/05/28,289.0
