Datas,Puy-de-Dôme
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,3.0
2020/05/14,3.0
2020/05/15,5.0
2020/05/16,1.0
2020/05/17,0.0
2020/05/18,1.0
2020/05/19,0.0
2020/05/20,1.0
2020/05/21,4.0
2020/05/22,1.0
2020/05/23,1.0
2020/05/24,0.0
2020/05/25,0.0
2020/05/26,3.0
2020/05/27,0.0
2020/05/28,1.0
2020/05/29,1.0
2020/05/30,1.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,1.0
2020/06/03,0.0
2020/06/04,0.0
2020/06/05,0.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,3.0
2020/06/10,1.0
2020/06/11,1.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,2.0
2020/06/19,2.0
2020/06/20,1.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,0.0
2020/06/24,1.0
2020/06/25,0.0
2020/06/26,0.0
2020/06/27,4.0
2020/06/28,1.0
2020/06/29,5.0
2020/06/30,5.0
2020/07/01,0.0
2020/07/02,1.0
2020/07/03,2.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,0.0
2020/07/07,1.0
2020/07/08,0.0
2020/07/09,0.0
2020/07/10,0.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,1.0
2020/07/14,0.0
2020/07/15,1.0
2020/07/16,0.0
2020/07/17,0.0
2020/07/18,1.0
2020/07/19,0.0
2020/07/20,0.0
2020/07/21,1.0
2020/07/22,0.0
2020/07/23,1.0
2020/07/24,6.0
2020/07/25,0.0
2020/07/26,0.0
2020/07/27,0.0
2020/07/28,3.0
2020/07/29,3.0
2020/07/30,4.0
2020/07/31,7.0
2020/08/01,2.0
2020/08/02,1.0
2020/08/03,13.0
2020/08/04,7.0
2020/08/05,13.0
2020/08/06,6.0
2020/08/07,5.0
2020/08/08,6.0
2020/08/09,2.0
2020/08/10,4.0
2020/08/11,7.0
2020/08/12,11.0
2020/08/13,8.0
2020/08/14,13.0
2020/08/15,1.0
2020/08/16,5.0
2020/08/17,27.0
2020/08/18,28.0
2020/08/19,28.0
2020/08/20,16.0
2020/08/21,31.0
2020/08/22,6.0
2020/08/23,4.0
2020/08/24,32.0
2020/08/25,31.0
2020/08/26,40.0
2020/08/27,62.0
2020/08/28,55.0
2020/08/29,19.0
2020/08/30,4.0
2020/08/31,42.0
2020/09/01,78.0
2020/09/02,68.0
2020/09/03,87.0
2020/09/04,70.0
2020/09/05,32.0
2020/09/06,23.0
2020/09/07,75.0
2020/09/08,89.0
2020/09/09,89.0
2020/09/10,70.0
2020/09/11,97.0
2020/09/12,36.0
2020/09/13,13.0
2020/09/14,120.0
2020/09/15,77.0
2020/09/16,67.0
2020/09/17,72.0
2020/09/18,95.0
2020/09/19,32.0
2020/09/20,23.0
2020/09/21,91.0
2020/09/22,80.0
2020/09/23,88.0
2020/09/24,110.0
2020/09/25,96.0
2020/09/26,39.0
2020/09/27,28.0
2020/09/28,114.0
2020/09/29,124.0
2020/09/30,143.0
2020/10/01,125.0
2020/10/02,140.0
2020/10/03,63.0
2020/10/04,38.0
2020/10/05,188.0
2020/10/06,193.0
2020/10/07,177.0
2020/10/08,199.0
2020/10/09,236.0
2020/10/10,110.0
2020/10/11,73.0
2020/10/12,331.0
2020/10/13,301.0
2020/10/14,235.0
2020/10/15,277.0
2020/10/16,366.0
2020/10/17,164.0
2020/10/18,78.0
2020/10/19,512.0
2020/10/20,506.0
2020/10/21,497.0
2020/10/22,532.0
2020/10/23,625.0
2020/10/24,286.0
2020/10/25,163.0
2020/10/26,816.0
2020/10/27,692.0
2020/10/28,591.0
2020/10/29,563.0
2020/10/30,624.0
2020/10/31,249.0
2020/11/01,134.0
2020/11/02,731.0
2020/11/03,660.0
2020/11/04,544.0
2020/11/05,555.0
2020/11/06,533.0
2020/11/07,190.0
2020/11/08,114.0
2020/11/09,468.0
2020/11/10,458.0
2020/11/11,98.0
2020/11/12,358.0
2020/11/13,332.0
2020/11/14,106.0
2020/11/15,49.0
2020/11/16,293.0
2020/11/17,191.0
2020/11/18,168.0
2020/11/19,185.0
2020/11/20,120.0
2020/11/21,46.0
2020/11/22,40.0
2020/11/23,126.0
2020/11/24,162.0
2020/11/25,103.0
2020/11/26,114.0
2020/11/27,105.0
2020/11/28,64.0
2020/11/29,36.0
2020/11/30,146.0
2020/12/01,148.0
2020/12/02,112.0
2020/12/03,113.0
2020/12/04,133.0
2020/12/05,48.0
2020/12/06,22.0
2020/12/07,149.0
2020/12/08,87.0
2020/12/09,102.0
2020/12/10,126.0
2020/12/11,147.0
2020/12/12,61.0
2020/12/13,21.0
2020/12/14,270.0
2020/12/15,147.0
2020/12/16,150.0
2020/12/17,194.0
2020/12/18,308.0
2020/12/19,259.0
2020/12/20,164.0
2020/12/21,210.0
2020/12/22,267.0
2020/12/23,173.0
2020/12/24,120.0
2020/12/25,14.0
2020/12/26,102.0
2020/12/27,30.0
2020/12/28,229.0
2020/12/29,294.0
2020/12/30,211.0
2020/12/31,161.0
2021/01/01,17.0
2021/01/02,150.0
2021/01/03,44.0
2021/01/04,321.0
2021/01/05,214.0
2021/01/06,220.0
2021/01/07,266.0
2021/01/08,185.0
2021/01/09,114.0
2021/01/10,30.0
2021/01/11,229.0
2021/01/12,210.0
2021/01/13,196.0
2021/01/14,209.0
2021/01/15,229.0
2021/01/16,134.0
2021/01/17,29.0
2021/01/18,270.0
2021/01/19,264.0
2021/01/20,224.0
2021/01/21,250.0
2021/01/22,264.0
2021/01/23,141.0
2021/01/24,41.0
2021/01/25,261.0
2021/01/26,205.0
2021/01/27,196.0
2021/01/28,242.0
2021/01/29,213.0
2021/01/30,146.0
2021/01/31,27.0
2021/02/01,249.0
2021/02/02,191.0
2021/02/03,187.0
2021/02/04,179.0
2021/02/05,197.0
2021/02/06,110.0
2021/02/07,23.0
2021/02/08,169.0
2021/02/09,141.0
2021/02/10,148.0
2021/02/11,148.0
2021/02/12,148.0
2021/02/13,119.0
2021/02/14,34.0
2021/02/15,260.0
2021/02/16,195.0
2021/02/17,128.0
2021/02/18,148.0
2021/02/19,189.0
2021/02/20,116.0
2021/02/21,35.0
2021/02/22,255.0
2021/02/23,168.0
2021/02/24,162.0
2021/02/25,138.0
2021/02/26,124.0
2021/02/27,112.0
2021/02/28,28.0
2021/03/01,172.0
2021/03/02,177.0
2021/03/03,172.0
2021/03/04,134.0
2021/03/05,145.0
2021/03/06,111.0
2021/03/07,25.0
2021/03/08,202.0
2021/03/09,158.0
2021/03/10,127.0
2021/03/11,143.0
2021/03/12,155.0
2021/03/13,114.0
2021/03/14,37.0
2021/03/15,278.0
2021/03/16,192.0
2021/03/17,187.0
2021/03/18,196.0
2021/03/19,197.0
2021/03/20,186.0
2021/03/21,22.0
2021/03/22,281.0
2021/03/23,236.0
2021/03/24,213.0
2021/03/25,257.0
2021/03/26,257.0
2021/03/27,164.0
2021/03/28,28.0
2021/03/29,350.0
2021/03/30,278.0
2021/03/31,291.0
2021/04/01,329.0
2021/04/02,372.0
2021/04/03,216.0
2021/04/04,43.0
2021/04/05,112.0
2021/04/06,468.0
2021/04/07,397.0
2021/04/08,331.0
2021/04/09,363.0
2021/04/10,218.0
2021/04/11,56.0
2021/04/12,405.0
2021/04/13,354.0
2021/04/14,279.0
2021/04/15,299.0
2021/04/16,313.0
2021/04/17,219.0
2021/04/18,36.0
2021/04/19,396.0
2021/04/20,288.0
2021/04/21,232.0
2021/04/22,244.0
2021/04/23,329.0
2021/04/24,232.0
2021/04/25,31.0
2021/04/26,337.0
2021/04/27,246.0
2021/04/28,263.0
2021/04/29,182.0
2021/04/30,208.0
2021/05/01,36.0
2021/05/02,24.0
2021/05/03,205.0
2021/05/04,166.0
2021/05/05,128.0
2021/05/06,148.0
2021/05/07,150.0
2021/05/08,30.0
2021/05/09,23.0
2021/05/10,263.0
2021/05/11,120.0
2021/05/12,138.0
2021/05/13,19.0
2021/05/14,137.0
2021/05/15,75.0
2021/05/16,19.0
2021/05/17,231.0
2021/05/18,126.0
2021/05/19,101.0
2021/05/20,111.0
2021/05/21,79.0
2021/05/22,75.0
2021/05/23,13.0
2021/05/24,25.0
2021/05/25,144.0
2021/05/26,123.0
2021/05/27,99.0
2021/05/28,86.0
2021/05/29,69.0
2021/05/30,9.0
2021/05/31,90.0
