Datas,Pyrénées-Atlantiques
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,2.0
2020/05/14,0.0
2020/05/15,13.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,4.0
2020/05/19,3.0
2020/05/20,1.0
2020/05/21,0.0
2020/05/22,1.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,3.0
2020/05/26,3.0
2020/05/27,4.0
2020/05/28,8.0
2020/05/29,1.0
2020/05/30,3.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,2.0
2020/06/03,5.0
2020/06/04,3.0
2020/06/05,3.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,1.0
2020/06/09,0.0
2020/06/10,0.0
2020/06/11,0.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,2.0
2020/06/19,1.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,1.0
2020/06/24,0.0
2020/06/25,0.0
2020/06/26,1.0
2020/06/27,0.0
2020/06/28,2.0
2020/06/29,0.0
2020/06/30,0.0
2020/07/01,1.0
2020/07/02,0.0
2020/07/03,5.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,2.0
2020/07/07,0.0
2020/07/08,3.0
2020/07/09,0.0
2020/07/10,0.0
2020/07/11,1.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,1.0
2020/07/15,1.0
2020/07/16,1.0
2020/07/17,1.0
2020/07/18,1.0
2020/07/19,0.0
2020/07/20,0.0
2020/07/21,4.0
2020/07/22,4.0
2020/07/23,0.0
2020/07/24,4.0
2020/07/25,0.0
2020/07/26,0.0
2020/07/27,3.0
2020/07/28,1.0
2020/07/29,2.0
2020/07/30,2.0
2020/07/31,2.0
2020/08/01,3.0
2020/08/02,0.0
2020/08/03,0.0
2020/08/04,10.0
2020/08/05,5.0
2020/08/06,14.0
2020/08/07,12.0
2020/08/08,3.0
2020/08/09,0.0
2020/08/10,11.0
2020/08/11,18.0
2020/08/12,14.0
2020/08/13,26.0
2020/08/14,26.0
2020/08/15,2.0
2020/08/16,2.0
2020/08/17,57.0
2020/08/18,63.0
2020/08/19,41.0
2020/08/20,52.0
2020/08/21,35.0
2020/08/22,17.0
2020/08/23,1.0
2020/08/24,56.0
2020/08/25,59.0
2020/08/26,51.0
2020/08/27,44.0
2020/08/28,61.0
2020/08/29,18.0
2020/08/30,2.0
2020/08/31,53.0
2020/09/01,65.0
2020/09/02,72.0
2020/09/03,91.0
2020/09/04,113.0
2020/09/05,49.0
2020/09/06,3.0
2020/09/07,126.0
2020/09/08,103.0
2020/09/09,99.0
2020/09/10,122.0
2020/09/11,108.0
2020/09/12,23.0
2020/09/13,3.0
2020/09/14,148.0
2020/09/15,102.0
2020/09/16,94.0
2020/09/17,139.0
2020/09/18,99.0
2020/09/19,36.0
2020/09/20,4.0
2020/09/21,146.0
2020/09/22,103.0
2020/09/23,116.0
2020/09/24,113.0
2020/09/25,94.0
2020/09/26,26.0
2020/09/27,3.0
2020/09/28,112.0
2020/09/29,89.0
2020/09/30,102.0
2020/10/01,116.0
2020/10/02,134.0
2020/10/03,38.0
2020/10/04,6.0
2020/10/05,165.0
2020/10/06,125.0
2020/10/07,167.0
2020/10/08,178.0
2020/10/09,151.0
2020/10/10,73.0
2020/10/11,6.0
2020/10/12,282.0
2020/10/13,214.0
2020/10/14,271.0
2020/10/15,292.0
2020/10/16,329.0
2020/10/17,150.0
2020/10/18,6.0
2020/10/19,489.0
2020/10/20,401.0
2020/10/21,429.0
2020/10/22,534.0
2020/10/23,554.0
2020/10/24,227.0
2020/10/25,34.0
2020/10/26,760.0
2020/10/27,678.0
2020/10/28,648.0
2020/10/29,617.0
2020/10/30,697.0
2020/10/31,202.0
2020/11/01,38.0
2020/11/02,834.0
2020/11/03,683.0
2020/11/04,566.0
2020/11/05,486.0
2020/11/06,486.0
2020/11/07,206.0
2020/11/08,36.0
2020/11/09,512.0
2020/11/10,410.0
2020/11/11,45.0
2020/11/12,446.0
2020/11/13,289.0
2020/11/14,91.0
2020/11/15,9.0
2020/11/16,364.0
2020/11/17,217.0
2020/11/18,174.0
2020/11/19,197.0
2020/11/20,165.0
2020/11/21,57.0
2020/11/22,13.0
2020/11/23,216.0
2020/11/24,170.0
2020/11/25,131.0
2020/11/26,192.0
2020/11/27,131.0
2020/11/28,56.0
2020/11/29,15.0
2020/11/30,210.0
2020/12/01,116.0
2020/12/02,130.0
2020/12/03,164.0
2020/12/04,151.0
2020/12/05,74.0
2020/12/06,30.0
2020/12/07,236.0
2020/12/08,179.0
2020/12/09,123.0
2020/12/10,141.0
2020/12/11,184.0
2020/12/12,55.0
2020/12/13,19.0
2020/12/14,238.0
2020/12/15,120.0
2020/12/16,117.0
2020/12/17,105.0
2020/12/18,123.0
2020/12/19,52.0
2020/12/20,16.0
2020/12/21,201.0
2020/12/22,113.0
2020/12/23,114.0
2020/12/24,108.0
2020/12/25,7.0
2020/12/26,74.0
2020/12/27,22.0
2020/12/28,176.0
2020/12/29,166.0
2020/12/30,131.0
2020/12/31,106.0
2021/01/01,11.0
2021/01/02,87.0
2021/01/03,16.0
2021/01/04,226.0
2021/01/05,195.0
2021/01/06,163.0
2021/01/07,123.0
2021/01/08,144.0
2021/01/09,71.0
2021/01/10,5.0
2021/01/11,205.0
2021/01/12,142.0
2021/01/13,127.0
2021/01/14,138.0
2021/01/15,168.0
2021/01/16,64.0
2021/01/17,16.0
2021/01/18,254.0
2021/01/19,172.0
2021/01/20,159.0
2021/01/21,145.0
2021/01/22,144.0
2021/01/23,67.0
2021/01/24,14.0
2021/01/25,190.0
2021/01/26,146.0
2021/01/27,154.0
2021/01/28,140.0
2021/01/29,174.0
2021/01/30,69.0
2021/01/31,16.0
2021/02/01,161.0
2021/02/02,112.0
2021/02/03,79.0
2021/02/04,76.0
2021/02/05,79.0
2021/02/06,39.0
2021/02/07,2.0
2021/02/08,97.0
2021/02/09,67.0
2021/02/10,75.0
2021/02/11,48.0
2021/02/12,66.0
2021/02/13,35.0
2021/02/14,8.0
2021/02/15,82.0
2021/02/16,59.0
2021/02/17,60.0
2021/02/18,51.0
2021/02/19,55.0
2021/02/20,39.0
2021/02/21,5.0
2021/02/22,72.0
2021/02/23,52.0
2021/02/24,50.0
2021/02/25,55.0
2021/02/26,39.0
2021/02/27,30.0
2021/02/28,2.0
2021/03/01,65.0
2021/03/02,45.0
2021/03/03,45.0
2021/03/04,41.0
2021/03/05,36.0
2021/03/06,28.0
2021/03/07,3.0
2021/03/08,79.0
2021/03/09,58.0
2021/03/10,44.0
2021/03/11,65.0
2021/03/12,54.0
2021/03/13,23.0
2021/03/14,3.0
2021/03/15,91.0
2021/03/16,91.0
2021/03/17,61.0
2021/03/18,85.0
2021/03/19,102.0
2021/03/20,32.0
2021/03/21,5.0
2021/03/22,121.0
2021/03/23,68.0
2021/03/24,76.0
2021/03/25,117.0
2021/03/26,97.0
2021/03/27,55.0
2021/03/28,4.0
2021/03/29,168.0
2021/03/30,114.0
2021/03/31,94.0
2021/04/01,121.0
2021/04/02,115.0
2021/04/03,58.0
2021/04/04,7.0
2021/04/05,27.0
2021/04/06,172.0
2021/04/07,105.0
2021/04/08,97.0
2021/04/09,88.0
2021/04/10,50.0
2021/04/11,7.0
2021/04/12,173.0
2021/04/13,118.0
2021/04/14,106.0
2021/04/15,102.0
2021/04/16,101.0
2021/04/17,39.0
2021/04/18,8.0
2021/04/19,110.0
2021/04/20,101.0
2021/04/21,108.0
2021/04/22,113.0
2021/04/23,92.0
2021/04/24,63.0
2021/04/25,11.0
2021/04/26,130.0
2021/04/27,85.0
2021/04/28,110.0
2021/04/29,98.0
2021/04/30,80.0
2021/05/01,14.0
2021/05/02,10.0
2021/05/03,119.0
2021/05/04,87.0
2021/05/05,90.0
2021/05/06,67.0
2021/05/07,96.0
2021/05/08,21.0
2021/05/09,7.0
2021/05/10,122.0
2021/05/11,79.0
2021/05/12,75.0
2021/05/13,18.0
2021/05/14,109.0
2021/05/15,37.0
2021/05/16,10.0
2021/05/17,108.0
2021/05/18,90.0
2021/05/19,84.0
2021/05/20,93.0
2021/05/21,99.0
2021/05/22,78.0
2021/05/23,4.0
2021/05/24,36.0
2021/05/25,204.0
2021/05/26,133.0
2021/05/27,152.0
2021/05/28,153.0
2021/05/29,72.0
2021/05/30,5.0
2021/05/31,150.0
