Datas,Pyrénées-Orientales
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,0.0
2020/05/14,0.0
2020/05/15,0.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,0.0
2020/05/19,0.0
2020/05/20,0.0
2020/05/21,0.0
2020/05/22,0.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,0.0
2020/05/26,0.0
2020/05/27,0.0
2020/05/28,0.0
2020/05/29,0.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,0.0
2020/06/03,1.0
2020/06/04,0.0
2020/06/05,0.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,0.0
2020/06/10,0.0
2020/06/11,0.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,0.0
2020/06/19,0.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,0.0
2020/06/24,0.0
2020/06/25,0.0
2020/06/26,0.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,0.0
2020/06/30,0.0
2020/07/01,2.0
2020/07/02,0.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,1.0
2020/07/06,0.0
2020/07/07,1.0
2020/07/08,1.0
2020/07/09,5.0
2020/07/10,3.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,1.0
2020/07/16,3.0
2020/07/17,0.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,1.0
2020/07/21,3.0
2020/07/22,5.0
2020/07/23,1.0
2020/07/24,0.0
2020/07/25,10.0
2020/07/26,0.0
2020/07/27,4.0
2020/07/28,1.0
2020/07/29,15.0
2020/07/30,8.0
2020/07/31,3.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,4.0
2020/08/04,1.0
2020/08/05,4.0
2020/08/06,3.0
2020/08/07,5.0
2020/08/08,2.0
2020/08/09,3.0
2020/08/10,3.0
2020/08/11,4.0
2020/08/12,12.0
2020/08/13,7.0
2020/08/14,7.0
2020/08/15,1.0
2020/08/16,0.0
2020/08/17,20.0
2020/08/18,17.0
2020/08/19,16.0
2020/08/20,18.0
2020/08/21,5.0
2020/08/22,9.0
2020/08/23,5.0
2020/08/24,16.0
2020/08/25,34.0
2020/08/26,15.0
2020/08/27,20.0
2020/08/28,37.0
2020/08/29,16.0
2020/08/30,3.0
2020/08/31,54.0
2020/09/01,54.0
2020/09/02,40.0
2020/09/03,67.0
2020/09/04,91.0
2020/09/05,26.0
2020/09/06,4.0
2020/09/07,99.0
2020/09/08,71.0
2020/09/09,72.0
2020/09/10,51.0
2020/09/11,92.0
2020/09/12,44.0
2020/09/13,6.0
2020/09/14,70.0
2020/09/15,117.0
2020/09/16,62.0
2020/09/17,86.0
2020/09/18,78.0
2020/09/19,33.0
2020/09/20,4.0
2020/09/21,110.0
2020/09/22,65.0
2020/09/23,63.0
2020/09/24,67.0
2020/09/25,68.0
2020/09/26,28.0
2020/09/27,7.0
2020/09/28,49.0
2020/09/29,50.0
2020/09/30,59.0
2020/10/01,61.0
2020/10/02,87.0
2020/10/03,47.0
2020/10/04,4.0
2020/10/05,119.0
2020/10/06,123.0
2020/10/07,162.0
2020/10/08,153.0
2020/10/09,184.0
2020/10/10,116.0
2020/10/11,4.0
2020/10/12,222.0
2020/10/13,232.0
2020/10/14,204.0
2020/10/15,245.0
2020/10/16,210.0
2020/10/17,115.0
2020/10/18,9.0
2020/10/19,259.0
2020/10/20,324.0
2020/10/21,332.0
2020/10/22,375.0
2020/10/23,305.0
2020/10/24,142.0
2020/10/25,26.0
2020/10/26,402.0
2020/10/27,355.0
2020/10/28,320.0
2020/10/29,298.0
2020/10/30,272.0
2020/10/31,103.0
2020/11/01,26.0
2020/11/02,276.0
2020/11/03,256.0
2020/11/04,254.0
2020/11/05,216.0
2020/11/06,247.0
2020/11/07,97.0
2020/11/08,6.0
2020/11/09,223.0
2020/11/10,121.0
2020/11/11,13.0
2020/11/12,127.0
2020/11/13,105.0
2020/11/14,42.0
2020/11/15,8.0
2020/11/16,114.0
2020/11/17,58.0
2020/11/18,47.0
2020/11/19,42.0
2020/11/20,56.0
2020/11/21,16.0
2020/11/22,0.0
2020/11/23,37.0
2020/11/24,29.0
2020/11/25,25.0
2020/11/26,42.0
2020/11/27,30.0
2020/11/28,15.0
2020/11/29,0.0
2020/11/30,67.0
2020/12/01,55.0
2020/12/02,33.0
2020/12/03,40.0
2020/12/04,30.0
2020/12/05,13.0
2020/12/06,0.0
2020/12/07,30.0
2020/12/08,31.0
2020/12/09,34.0
2020/12/10,46.0
2020/12/11,41.0
2020/12/12,14.0
2020/12/13,2.0
2020/12/14,51.0
2020/12/15,37.0
2020/12/16,53.0
2020/12/17,55.0
2020/12/18,51.0
2020/12/19,34.0
2020/12/20,4.0
2020/12/21,94.0
2020/12/22,73.0
2020/12/23,68.0
2020/12/24,71.0
2020/12/25,7.0
2020/12/26,34.0
2020/12/27,4.0
2020/12/28,94.0
2020/12/29,101.0
2020/12/30,97.0
2020/12/31,108.0
2021/01/01,8.0
2021/01/02,71.0
2021/01/03,10.0
2021/01/04,170.0
2021/01/05,153.0
2021/01/06,131.0
2021/01/07,109.0
2021/01/08,138.0
2021/01/09,73.0
2021/01/10,14.0
2021/01/11,184.0
2021/01/12,191.0
2021/01/13,150.0
2021/01/14,169.0
2021/01/15,194.0
2021/01/16,111.0
2021/01/17,8.0
2021/01/18,261.0
2021/01/19,236.0
2021/01/20,201.0
2021/01/21,185.0
2021/01/22,220.0
2021/01/23,138.0
2021/01/24,9.0
2021/01/25,278.0
2021/01/26,247.0
2021/01/27,194.0
2021/01/28,187.0
2021/01/29,190.0
2021/01/30,110.0
2021/01/31,14.0
2021/02/01,197.0
2021/02/02,159.0
2021/02/03,136.0
2021/02/04,153.0
2021/02/05,125.0
2021/02/06,68.0
2021/02/07,9.0
2021/02/08,88.0
2021/02/09,68.0
2021/02/10,73.0
2021/02/11,64.0
2021/02/12,74.0
2021/02/13,35.0
2021/02/14,6.0
2021/02/15,80.0
2021/02/16,68.0
2021/02/17,50.0
2021/02/18,66.0
2021/02/19,72.0
2021/02/20,40.0
2021/02/21,13.0
2021/02/22,77.0
2021/02/23,44.0
2021/02/24,54.0
2021/02/25,51.0
2021/02/26,45.0
2021/02/27,50.0
2021/02/28,2.0
2021/03/01,50.0
2021/03/02,37.0
2021/03/03,53.0
2021/03/04,55.0
2021/03/05,78.0
2021/03/06,32.0
2021/03/07,3.0
2021/03/08,71.0
2021/03/09,49.0
2021/03/10,44.0
2021/03/11,63.0
2021/03/12,76.0
2021/03/13,33.0
2021/03/14,5.0
2021/03/15,137.0
2021/03/16,119.0
2021/03/17,115.0
2021/03/18,96.0
2021/03/19,114.0
2021/03/20,77.0
2021/03/21,10.0
2021/03/22,260.0
2021/03/23,150.0
2021/03/24,145.0
2021/03/25,217.0
2021/03/26,226.0
2021/03/27,138.0
2021/03/28,19.0
2021/03/29,279.0
2021/03/30,276.0
2021/03/31,211.0
2021/04/01,255.0
2021/04/02,212.0
2021/04/03,127.0
2021/04/04,13.0
2021/04/05,22.0
2021/04/06,298.0
2021/04/07,203.0
2021/04/08,222.0
2021/04/09,201.0
2021/04/10,116.0
2021/04/11,5.0
2021/04/12,261.0
2021/04/13,134.0
2021/04/14,137.0
2021/04/15,123.0
2021/04/16,142.0
2021/04/17,91.0
2021/04/18,2.0
2021/04/19,175.0
2021/04/20,153.0
2021/04/21,140.0
2021/04/22,133.0
2021/04/23,153.0
2021/04/24,70.0
2021/04/25,10.0
2021/04/26,201.0
2021/04/27,164.0
2021/04/28,94.0
2021/04/29,103.0
2021/04/30,129.0
2021/05/01,18.0
2021/05/02,18.0
2021/05/03,168.0
2021/05/04,99.0
2021/05/05,109.0
2021/05/06,100.0
2021/05/07,74.0
2021/05/08,7.0
2021/05/09,6.0
2021/05/10,108.0
2021/05/11,74.0
2021/05/12,75.0
2021/05/13,9.0
2021/05/14,95.0
2021/05/15,33.0
2021/05/16,3.0
2021/05/17,102.0
2021/05/18,60.0
2021/05/19,81.0
2021/05/20,41.0
2021/05/21,53.0
2021/05/22,41.0
2021/05/23,1.0
2021/05/24,17.0
2021/05/25,64.0
2021/05/26,59.0
2021/05/27,52.0
2021/05/28,68.0
2021/05/29,46.0
2021/05/30,7.0
2021/05/31,98.0
