Datas,Rhône
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,20.0
2020/05/14,41.0
2020/05/15,26.0
2020/05/16,12.0
2020/05/17,8.0
2020/05/18,30.0
2020/05/19,32.0
2020/05/20,25.0
2020/05/21,3.0
2020/05/22,24.0
2020/05/23,12.0
2020/05/24,1.0
2020/05/25,17.0
2020/05/26,19.0
2020/05/27,22.0
2020/05/28,23.0
2020/05/29,6.0
2020/05/30,7.0
2020/05/31,1.0
2020/06/01,2.0
2020/06/02,18.0
2020/06/03,17.0
2020/06/04,16.0
2020/06/05,11.0
2020/06/06,7.0
2020/06/07,2.0
2020/06/08,8.0
2020/06/09,10.0
2020/06/10,8.0
2020/06/11,7.0
2020/06/12,18.0
2020/06/13,3.0
2020/06/14,5.0
2020/06/15,19.0
2020/06/16,8.0
2020/06/17,18.0
2020/06/18,5.0
2020/06/19,18.0
2020/06/20,15.0
2020/06/21,0.0
2020/06/22,13.0
2020/06/23,12.0
2020/06/24,31.0
2020/06/25,19.0
2020/06/26,19.0
2020/06/27,11.0
2020/06/28,3.0
2020/06/29,17.0
2020/06/30,15.0
2020/07/01,18.0
2020/07/02,28.0
2020/07/03,18.0
2020/07/04,3.0
2020/07/05,2.0
2020/07/06,12.0
2020/07/07,16.0
2020/07/08,29.0
2020/07/09,25.0
2020/07/10,37.0
2020/07/11,8.0
2020/07/12,3.0
2020/07/13,27.0
2020/07/14,4.0
2020/07/15,12.0
2020/07/16,23.0
2020/07/17,30.0
2020/07/18,9.0
2020/07/19,5.0
2020/07/20,15.0
2020/07/21,31.0
2020/07/22,26.0
2020/07/23,21.0
2020/07/24,56.0
2020/07/25,25.0
2020/07/26,25.0
2020/07/27,27.0
2020/07/28,19.0
2020/07/29,30.0
2020/07/30,33.0
2020/07/31,32.0
2020/08/01,8.0
2020/08/02,3.0
2020/08/03,33.0
2020/08/04,41.0
2020/08/05,49.0
2020/08/06,34.0
2020/08/07,65.0
2020/08/08,17.0
2020/08/09,6.0
2020/08/10,81.0
2020/08/11,82.0
2020/08/12,96.0
2020/08/13,119.0
2020/08/14,136.0
2020/08/15,26.0
2020/08/16,19.0
2020/08/17,216.0
2020/08/18,163.0
2020/08/19,201.0
2020/08/20,264.0
2020/08/21,280.0
2020/08/22,58.0
2020/08/23,46.0
2020/08/24,290.0
2020/08/25,295.0
2020/08/26,319.0
2020/08/27,340.0
2020/08/28,340.0
2020/08/29,117.0
2020/08/30,55.0
2020/08/31,497.0
2020/09/01,482.0
2020/09/02,427.0
2020/09/03,520.0
2020/09/04,494.0
2020/09/05,155.0
2020/09/06,41.0
2020/09/07,654.0
2020/09/08,721.0
2020/09/09,663.0
2020/09/10,620.0
2020/09/11,569.0
2020/09/12,211.0
2020/09/13,54.0
2020/09/14,763.0
2020/09/15,736.0
2020/09/16,763.0
2020/09/17,759.0
2020/09/18,656.0
2020/09/19,208.0
2020/09/20,58.0
2020/09/21,922.0
2020/09/22,862.0
2020/09/23,693.0
2020/09/24,754.0
2020/09/25,703.0
2020/09/26,164.0
2020/09/27,38.0
2020/09/28,754.0
2020/09/29,689.0
2020/09/30,732.0
2020/10/01,720.0
2020/10/02,827.0
2020/10/03,187.0
2020/10/04,55.0
2020/10/05,1185.0
2020/10/06,1148.0
2020/10/07,1123.0
2020/10/08,1311.0
2020/10/09,1428.0
2020/10/10,368.0
2020/10/11,97.0
2020/10/12,1950.0
2020/10/13,1848.0
2020/10/14,1824.0
2020/10/15,2088.0
2020/10/16,2239.0
2020/10/17,617.0
2020/10/18,134.0
2020/10/19,2866.0
2020/10/20,2627.0
2020/10/21,2741.0
2020/10/22,2932.0
2020/10/23,2994.0
2020/10/24,1311.0
2020/10/25,199.0
2020/10/26,3635.0
2020/10/27,3200.0
2020/10/28,2816.0
2020/10/29,2784.0
2020/10/30,3066.0
2020/10/31,1363.0
2020/11/01,205.0
2020/11/02,3873.0
2020/11/03,3373.0
2020/11/04,2909.0
2020/11/05,2517.0
2020/11/06,2604.0
2020/11/07,909.0
2020/11/08,158.0
2020/11/09,2577.0
2020/11/10,1499.0
2020/11/11,196.0
2020/11/12,1386.0
2020/11/13,1309.0
2020/11/14,464.0
2020/11/15,98.0
2020/11/16,1356.0
2020/11/17,863.0
2020/11/18,701.0
2020/11/19,597.0
2020/11/20,582.0
2020/11/21,243.0
2020/11/22,51.0
2020/11/23,674.0
2020/11/24,478.0
2020/11/25,518.0
2020/11/26,475.0
2020/11/27,555.0
2020/11/28,251.0
2020/11/29,58.0
2020/11/30,651.0
2020/12/01,514.0
2020/12/02,511.0
2020/12/03,485.0
2020/12/04,573.0
2020/12/05,267.0
2020/12/06,74.0
2020/12/07,710.0
2020/12/08,551.0
2020/12/09,531.0
2020/12/10,509.0
2020/12/11,585.0
2020/12/12,316.0
2020/12/13,49.0
2020/12/14,824.0
2020/12/15,652.0
2020/12/16,605.0
2020/12/17,679.0
2020/12/18,886.0
2020/12/19,536.0
2020/12/20,315.0
2020/12/21,810.0
2020/12/22,602.0
2020/12/23,640.0
2020/12/24,422.0
2020/12/25,42.0
2020/12/26,305.0
2020/12/27,70.0
2020/12/28,759.0
2020/12/29,734.0
2020/12/30,588.0
2020/12/31,513.0
2021/01/01,38.0
2021/01/02,327.0
2021/01/03,65.0
2021/01/04,1087.0
2021/01/05,756.0
2021/01/06,640.0
2021/01/07,630.0
2021/01/08,633.0
2021/01/09,313.0
2021/01/10,65.0
2021/01/11,841.0
2021/01/12,659.0
2021/01/13,628.0
2021/01/14,607.0
2021/01/15,690.0
2021/01/16,351.0
2021/01/17,77.0
2021/01/18,967.0
2021/01/19,710.0
2021/01/20,667.0
2021/01/21,661.0
2021/01/22,745.0
2021/01/23,350.0
2021/01/24,75.0
2021/01/25,1039.0
2021/01/26,668.0
2021/01/27,668.0
2021/01/28,661.0
2021/01/29,692.0
2021/01/30,306.0
2021/01/31,74.0
2021/02/01,1012.0
2021/02/02,715.0
2021/02/03,725.0
2021/02/04,650.0
2021/02/05,703.0
2021/02/06,399.0
2021/02/07,59.0
2021/02/08,893.0
2021/02/09,604.0
2021/02/10,553.0
2021/02/11,589.0
2021/02/12,587.0
2021/02/13,296.0
2021/02/14,73.0
2021/02/15,815.0
2021/02/16,620.0
2021/02/17,665.0
2021/02/18,632.0
2021/02/19,696.0
2021/02/20,376.0
2021/02/21,87.0
2021/02/22,932.0
2021/02/23,698.0
2021/02/24,688.0
2021/02/25,664.0
2021/02/26,652.0
2021/02/27,369.0
2021/02/28,83.0
2021/03/01,893.0
2021/03/02,625.0
2021/03/03,630.0
2021/03/04,700.0
2021/03/05,652.0
2021/03/06,424.0
2021/03/07,88.0
2021/03/08,960.0
2021/03/09,723.0
2021/03/10,814.0
2021/03/11,846.0
2021/03/12,911.0
2021/03/13,549.0
2021/03/14,135.0
2021/03/15,1293.0
2021/03/16,1021.0
2021/03/17,1092.0
2021/03/18,1116.0
2021/03/19,1235.0
2021/03/20,780.0
2021/03/21,178.0
2021/03/22,1764.0
2021/03/23,1423.0
2021/03/24,1477.0
2021/03/25,1490.0
2021/03/26,1473.0
2021/03/27,886.0
2021/03/28,171.0
2021/03/29,2139.0
2021/03/30,1620.0
2021/03/31,1508.0
2021/04/01,1560.0
2021/04/02,1532.0
2021/04/03,939.0
2021/04/04,159.0
2021/04/05,443.0
2021/04/06,1965.0
2021/04/07,1472.0
2021/04/08,1339.0
2021/04/09,1308.0
2021/04/10,795.0
2021/04/11,160.0
2021/04/12,1731.0
2021/04/13,1198.0
2021/04/14,1133.0
2021/04/15,1102.0
2021/04/16,1149.0
2021/04/17,731.0
2021/04/18,156.0
2021/04/19,1474.0
2021/04/20,1026.0
2021/04/21,1040.0
2021/04/22,927.0
2021/04/23,1050.0
2021/04/24,622.0
2021/04/25,113.0
2021/04/26,1304.0
2021/04/27,940.0
2021/04/28,800.0
2021/04/29,766.0
2021/04/30,784.0
2021/05/01,175.0
2021/05/02,92.0
2021/05/03,964.0
2021/05/04,621.0
2021/05/05,599.0
2021/05/06,549.0
2021/05/07,648.0
2021/05/08,155.0
2021/05/09,89.0
2021/05/10,770.0
2021/05/11,516.0
2021/05/12,508.0
2021/05/13,99.0
2021/05/14,530.0
2021/05/15,280.0
2021/05/16,83.0
2021/05/17,768.0
2021/05/18,522.0
2021/05/19,481.0
2021/05/20,396.0
2021/05/21,390.0
2021/05/22,270.0
2021/05/23,49.0
2021/05/24,126.0
2021/05/25,563.0
2021/05/26,419.0
