Datas,Réunion
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,1.0
2020/05/14,1.0
2020/05/15,1.0
2020/05/16,1.0
2020/05/17,3.0
2020/05/18,0.0
2020/05/19,1.0
2020/05/20,3.0
2020/05/21,0.0
2020/05/22,2.0
2020/05/23,2.0
2020/05/24,1.0
2020/05/25,2.0
2020/05/26,2.0
2020/05/27,2.0
2020/05/28,5.0
2020/05/29,1.0
2020/05/30,1.0
2020/05/31,3.0
2020/06/01,0.0
2020/06/02,1.0
2020/06/03,3.0
2020/06/04,5.0
2020/06/05,1.0
2020/06/06,0.0
2020/06/07,1.0
2020/06/08,1.0
2020/06/09,4.0
2020/06/10,1.0
2020/06/11,0.0
2020/06/12,4.0
2020/06/13,1.0
2020/06/14,0.0
2020/06/15,3.0
2020/06/16,1.0
2020/06/17,5.0
2020/06/18,0.0
2020/06/19,0.0
2020/06/20,1.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,2.0
2020/06/24,8.0
2020/06/25,2.0
2020/06/26,3.0
2020/06/27,0.0
2020/06/28,1.0
2020/06/29,3.0
2020/06/30,3.0
2020/07/01,2.0
2020/07/02,2.0
2020/07/03,9.0
2020/07/04,2.0
2020/07/05,2.0
2020/07/06,0.0
2020/07/07,3.0
2020/07/08,12.0
2020/07/09,7.0
2020/07/10,4.0
2020/07/11,19.0
2020/07/12,0.0
2020/07/13,7.0
2020/07/14,1.0
2020/07/15,11.0
2020/07/16,2.0
2020/07/17,7.0
2020/07/18,6.0
2020/07/19,2.0
2020/07/20,6.0
2020/07/21,2.0
2020/07/22,6.0
2020/07/23,11.0
2020/07/24,1.0
2020/07/25,1.0
2020/07/26,0.0
2020/07/27,4.0
2020/07/28,3.0
2020/07/29,1.0
2020/07/30,10.0
2020/07/31,8.0
2020/08/01,1.0
2020/08/02,1.0
2020/08/03,6.0
2020/08/04,3.0
2020/08/05,3.0
2020/08/06,9.0
2020/08/07,12.0
2020/08/08,7.0
2020/08/09,6.0
2020/08/10,18.0
2020/08/11,36.0
2020/08/12,21.0
2020/08/13,44.0
2020/08/14,60.0
2020/08/15,20.0
2020/08/16,31.0
2020/08/17,43.0
2020/08/18,44.0
2020/08/19,57.0
2020/08/20,70.0
2020/08/21,80.0
2020/08/22,66.0
2020/08/23,16.0
2020/08/24,86.0
2020/08/25,73.0
2020/08/26,74.0
2020/08/27,84.0
2020/08/28,85.0
2020/08/29,34.0
2020/08/30,29.0
2020/08/31,117.0
2020/09/01,128.0
2020/09/02,128.0
2020/09/03,95.0
2020/09/04,122.0
2020/09/05,47.0
2020/09/06,17.0
2020/09/07,89.0
2020/09/08,104.0
2020/09/09,121.0
2020/09/10,94.0
2020/09/11,113.0
2020/09/12,48.0
2020/09/13,25.0
2020/09/14,123.0
2020/09/15,82.0
2020/09/16,102.0
2020/09/17,107.0
2020/09/18,86.0
2020/09/19,42.0
2020/09/20,7.0
2020/09/21,126.0
2020/09/22,95.0
2020/09/23,81.0
2020/09/24,73.0
2020/09/25,96.0
2020/09/26,26.0
2020/09/27,26.0
2020/09/28,100.0
2020/09/29,55.0
2020/09/30,80.0
2020/10/01,70.0
2020/10/02,61.0
2020/10/03,30.0
2020/10/04,4.0
2020/10/05,74.0
2020/10/06,45.0
2020/10/07,60.0
2020/10/08,49.0
2020/10/09,68.0
2020/10/10,27.0
2020/10/11,5.0
2020/10/12,54.0
2020/10/13,54.0
2020/10/14,54.0
2020/10/15,50.0
2020/10/16,56.0
2020/10/17,35.0
2020/10/18,21.0
2020/10/19,89.0
2020/10/20,68.0
2020/10/21,82.0
2020/10/22,89.0
2020/10/23,77.0
2020/10/24,68.0
2020/10/25,20.0
2020/10/26,131.0
2020/10/27,108.0
2020/10/28,87.0
2020/10/29,95.0
2020/10/30,108.0
2020/10/31,55.0
2020/11/01,16.0
2020/11/02,137.0
2020/11/03,126.0
2020/11/04,114.0
2020/11/05,125.0
2020/11/06,108.0
2020/11/07,75.0
2020/11/08,13.0
2020/11/09,139.0
2020/11/10,124.0
2020/11/11,23.0
2020/11/12,122.0
2020/11/13,112.0
2020/11/14,66.0
2020/11/15,14.0
2020/11/16,116.0
2020/11/17,91.0
2020/11/18,112.0
2020/11/19,95.0
2020/11/20,115.0
2020/11/21,31.0
2020/11/22,21.0
2020/11/23,80.0
2020/11/24,70.0
2020/11/25,47.0
2020/11/26,52.0
2020/11/27,59.0
2020/11/28,23.0
2020/11/29,3.0
2020/11/30,50.0
2020/12/01,50.0
2020/12/02,43.0
2020/12/03,59.0
2020/12/04,35.0
2020/12/05,11.0
2020/12/06,8.0
2020/12/07,55.0
2020/12/08,33.0
2020/12/09,37.0
2020/12/10,42.0
2020/12/11,46.0
2020/12/12,22.0
2020/12/13,6.0
2020/12/14,45.0
2020/12/15,61.0
2020/12/16,54.0
2020/12/17,37.0
2020/12/18,35.0
2020/12/19,20.0
2020/12/20,6.0
2020/12/21,30.0
2020/12/22,35.0
2020/12/23,29.0
2020/12/24,16.0
2020/12/25,3.0
2020/12/26,17.0
2020/12/27,5.0
2020/12/28,33.0
2020/12/29,34.0
2020/12/30,46.0
2020/12/31,46.0
2021/01/01,3.0
2021/01/02,40.0
2021/01/03,1.0
2021/01/04,57.0
2021/01/05,31.0
2021/01/06,57.0
2021/01/07,46.0
2021/01/08,44.0
2021/01/09,30.0
2021/01/10,2.0
2021/01/11,48.0
2021/01/12,22.0
2021/01/13,26.0
2021/01/14,39.0
2021/01/15,38.0
2021/01/16,28.0
2021/01/17,10.0
2021/01/18,56.0
2021/01/19,60.0
2021/01/20,71.0
2021/01/21,50.0
2021/01/22,52.0
2021/01/23,38.0
2021/01/24,3.0
2021/01/25,60.0
2021/01/26,47.0
2021/01/27,43.0
2021/01/28,61.0
2021/01/29,69.0
2021/01/30,56.0
2021/01/31,15.0
2021/02/01,105.0
2021/02/02,92.0
2021/02/03,76.0
2021/02/04,96.0
2021/02/05,100.0
2021/02/06,53.0
2021/02/07,18.0
2021/02/08,95.0
2021/02/09,113.0
2021/02/10,103.0
2021/02/11,81.0
2021/02/12,125.0
2021/02/13,49.0
2021/02/14,20.0
2021/02/15,135.0
2021/02/16,151.0
2021/02/17,123.0
2021/02/18,112.0
2021/02/19,136.0
2021/02/20,88.0
2021/02/21,23.0
2021/02/22,148.0
2021/02/23,138.0
2021/02/24,131.0
2021/02/25,110.0
2021/02/26,174.0
2021/02/27,88.0
2021/02/28,36.0
2021/03/01,207.0
2021/03/02,165.0
2021/03/03,172.0
2021/03/04,160.0
2021/03/05,145.0
2021/03/06,96.0
2021/03/07,35.0
2021/03/08,192.0
2021/03/09,133.0
2021/03/10,125.0
2021/03/11,177.0
2021/03/12,148.0
2021/03/13,100.0
2021/03/14,31.0
2021/03/15,184.0
2021/03/16,173.0
2021/03/17,176.0
2021/03/18,124.0
2021/03/19,136.0
2021/03/20,106.0
2021/03/21,28.0
2021/03/22,217.0
2021/03/23,201.0
2021/03/24,185.0
2021/03/25,125.0
2021/03/26,171.0
2021/03/27,90.0
2021/03/28,25.0
2021/03/29,195.0
2021/03/30,131.0
2021/03/31,141.0
2021/04/01,136.0
2021/04/02,189.0
2021/04/03,95.0
2021/04/04,28.0
2021/04/05,37.0
2021/04/06,218.0
2021/04/07,213.0
2021/04/08,140.0
2021/04/09,185.0
2021/04/10,100.0
2021/04/11,28.0
2021/04/12,201.0
2021/04/13,123.0
2021/04/14,139.0
2021/04/15,122.0
2021/04/16,166.0
2021/04/17,91.0
2021/04/18,33.0
2021/04/19,200.0
2021/04/20,183.0
2021/04/21,170.0
2021/04/22,171.0
2021/04/23,169.0
2021/04/24,86.0
2021/04/25,48.0
2021/04/26,239.0
2021/04/27,179.0
2021/04/28,166.0
2021/04/29,189.0
2021/04/30,182.0
2021/05/01,50.0
2021/05/02,69.0
2021/05/03,235.0
2021/05/04,238.0
2021/05/05,205.0
2021/05/06,206.0
2021/05/07,177.0
2021/05/08,67.0
2021/05/09,35.0
2021/05/10,211.0
2021/05/11,173.0
2021/05/12,183.0
2021/05/13,48.0
2021/05/14,221.0
2021/05/15,128.0
2021/05/16,49.0
2021/05/17,293.0
2021/05/18,215.0
2021/05/19,244.0
2021/05/20,203.0
2021/05/21,192.0
2021/05/22,116.0
2021/05/23,56.0
2021/05/24,122.0
2021/05/25,297.0
2021/05/26,196.0
2021/05/27,179.0
2021/05/28,227.0
2021/05/29,133.0
2021/05/30,42.0
2021/05/31,214.0
2021/06/01,166.0
