Datas,Sarthe
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,2.0
2020/05/14,3.0
2020/05/15,7.0
2020/05/16,4.0
2020/05/17,1.0
2020/05/18,10.0
2020/05/19,7.0
2020/05/20,6.0
2020/05/21,0.0
2020/05/22,11.0
2020/05/23,1.0
2020/05/24,1.0
2020/05/25,5.0
2020/05/26,4.0
2020/05/27,10.0
2020/05/28,5.0
2020/05/29,3.0
2020/05/30,5.0
2020/05/31,1.0
2020/06/01,2.0
2020/06/02,1.0
2020/06/03,6.0
2020/06/04,2.0
2020/06/05,4.0
2020/06/06,0.0
2020/06/07,1.0
2020/06/08,2.0
2020/06/09,1.0
2020/06/10,4.0
2020/06/11,2.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,2.0
2020/06/17,1.0
2020/06/18,1.0
2020/06/19,6.0
2020/06/20,8.0
2020/06/21,0.0
2020/06/22,5.0
2020/06/23,0.0
2020/06/24,2.0
2020/06/25,2.0
2020/06/26,1.0
2020/06/27,2.0
2020/06/28,0.0
2020/06/29,5.0
2020/06/30,2.0
2020/07/01,12.0
2020/07/02,3.0
2020/07/03,5.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,4.0
2020/07/07,6.0
2020/07/08,3.0
2020/07/09,0.0
2020/07/10,1.0
2020/07/11,1.0
2020/07/12,0.0
2020/07/13,4.0
2020/07/14,0.0
2020/07/15,1.0
2020/07/16,2.0
2020/07/17,7.0
2020/07/18,6.0
2020/07/19,0.0
2020/07/20,10.0
2020/07/21,8.0
2020/07/22,5.0
2020/07/23,14.0
2020/07/24,19.0
2020/07/25,0.0
2020/07/26,2.0
2020/07/27,12.0
2020/07/28,19.0
2020/07/29,13.0
2020/07/30,5.0
2020/07/31,35.0
2020/08/01,13.0
2020/08/02,2.0
2020/08/03,20.0
2020/08/04,36.0
2020/08/05,49.0
2020/08/06,21.0
2020/08/07,38.0
2020/08/08,16.0
2020/08/09,0.0
2020/08/10,28.0
2020/08/11,28.0
2020/08/12,29.0
2020/08/13,67.0
2020/08/14,109.0
2020/08/15,35.0
2020/08/16,46.0
2020/08/17,69.0
2020/08/18,65.0
2020/08/19,69.0
2020/08/20,88.0
2020/08/21,54.0
2020/08/22,19.0
2020/08/23,3.0
2020/08/24,64.0
2020/08/25,59.0
2020/08/26,30.0
2020/08/27,32.0
2020/08/28,42.0
2020/08/29,30.0
2020/08/30,8.0
2020/08/31,71.0
2020/09/01,27.0
2020/09/02,45.0
2020/09/03,41.0
2020/09/04,43.0
2020/09/05,35.0
2020/09/06,0.0
2020/09/07,86.0
2020/09/08,76.0
2020/09/09,71.0
2020/09/10,48.0
2020/09/11,51.0
2020/09/12,30.0
2020/09/13,5.0
2020/09/14,52.0
2020/09/15,64.0
2020/09/16,74.0
2020/09/17,57.0
2020/09/18,60.0
2020/09/19,46.0
2020/09/20,10.0
2020/09/21,79.0
2020/09/22,61.0
2020/09/23,80.0
2020/09/24,69.0
2020/09/25,50.0
2020/09/26,34.0
2020/09/27,5.0
2020/09/28,65.0
2020/09/29,88.0
2020/09/30,42.0
2020/10/01,57.0
2020/10/02,79.0
2020/10/03,58.0
2020/10/04,7.0
2020/10/05,89.0
2020/10/06,70.0
2020/10/07,108.0
2020/10/08,106.0
2020/10/09,94.0
2020/10/10,78.0
2020/10/11,14.0
2020/10/12,135.0
2020/10/13,118.0
2020/10/14,101.0
2020/10/15,119.0
2020/10/16,130.0
2020/10/17,89.0
2020/10/18,23.0
2020/10/19,163.0
2020/10/20,143.0
2020/10/21,157.0
2020/10/22,208.0
2020/10/23,231.0
2020/10/24,154.0
2020/10/25,30.0
2020/10/26,272.0
2020/10/27,275.0
2020/10/28,240.0
2020/10/29,251.0
2020/10/30,255.0
2020/10/31,201.0
2020/11/01,50.0
2020/11/02,335.0
2020/11/03,332.0
2020/11/04,239.0
2020/11/05,267.0
2020/11/06,247.0
2020/11/07,171.0
2020/11/08,24.0
2020/11/09,293.0
2020/11/10,215.0
2020/11/11,74.0
2020/11/12,202.0
2020/11/13,182.0
2020/11/14,91.0
2020/11/15,33.0
2020/11/16,165.0
2020/11/17,143.0
2020/11/18,178.0
2020/11/19,91.0
2020/11/20,99.0
2020/11/21,65.0
2020/11/22,18.0
2020/11/23,83.0
2020/11/24,111.0
2020/11/25,115.0
2020/11/26,70.0
2020/11/27,76.0
2020/11/28,66.0
2020/11/29,35.0
2020/11/30,112.0
2020/12/01,88.0
2020/12/02,124.0
2020/12/03,86.0
2020/12/04,122.0
2020/12/05,96.0
2020/12/06,46.0
2020/12/07,150.0
2020/12/08,127.0
2020/12/09,105.0
2020/12/10,116.0
2020/12/11,148.0
2020/12/12,75.0
2020/12/13,54.0
2020/12/14,155.0
2020/12/15,174.0
2020/12/16,114.0
2020/12/17,147.0
2020/12/18,107.0
2020/12/19,86.0
2020/12/20,35.0
2020/12/21,145.0
2020/12/22,138.0
2020/12/23,134.0
2020/12/24,97.0
2020/12/25,13.0
2020/12/26,96.0
2020/12/27,22.0
2020/12/28,133.0
2020/12/29,101.0
2020/12/30,103.0
2020/12/31,99.0
2021/01/01,24.0
2021/01/02,103.0
2021/01/03,35.0
2021/01/04,162.0
2021/01/05,144.0
2021/01/06,77.0
2021/01/07,106.0
2021/01/08,52.0
2021/01/09,36.0
2021/01/10,23.0
2021/01/11,67.0
2021/01/12,159.0
2021/01/13,230.0
2021/01/14,180.0
2021/01/15,195.0
2021/01/16,131.0
2021/01/17,65.0
2021/01/18,240.0
2021/01/19,194.0
2021/01/20,205.0
2021/01/21,194.0
2021/01/22,207.0
2021/01/23,134.0
2021/01/24,47.0
2021/01/25,255.0
2021/01/26,145.0
2021/01/27,156.0
2021/01/28,163.0
2021/01/29,206.0
2021/01/30,122.0
2021/01/31,50.0
2021/02/01,230.0
2021/02/02,139.0
2021/02/03,152.0
2021/02/04,120.0
2021/02/05,153.0
2021/02/06,88.0
2021/02/07,48.0
2021/02/08,209.0
2021/02/09,113.0
2021/02/10,100.0
2021/02/11,116.0
2021/02/12,115.0
2021/02/13,83.0
2021/02/14,37.0
2021/02/15,132.0
2021/02/16,101.0
2021/02/17,103.0
2021/02/18,112.0
2021/02/19,130.0
2021/02/20,104.0
2021/02/21,40.0
2021/02/22,164.0
2021/02/23,135.0
2021/02/24,140.0
2021/02/25,161.0
2021/02/26,111.0
2021/02/27,86.0
2021/02/28,33.0
2021/03/01,138.0
2021/03/02,146.0
2021/03/03,115.0
2021/03/04,111.0
2021/03/05,148.0
2021/03/06,126.0
2021/03/07,40.0
2021/03/08,146.0
2021/03/09,127.0
2021/03/10,162.0
2021/03/11,163.0
2021/03/12,160.0
2021/03/13,112.0
2021/03/14,53.0
2021/03/15,188.0
2021/03/16,172.0
2021/03/17,167.0
2021/03/18,189.0
2021/03/19,205.0
2021/03/20,146.0
2021/03/21,54.0
2021/03/22,310.0
2021/03/23,242.0
2021/03/24,309.0
2021/03/25,252.0
2021/03/26,253.0
2021/03/27,225.0
2021/03/28,54.0
2021/03/29,330.0
2021/03/30,298.0
2021/03/31,338.0
2021/04/01,289.0
2021/04/02,348.0
2021/04/03,258.0
2021/04/04,78.0
2021/04/05,108.0
2021/04/06,381.0
2021/04/07,375.0
2021/04/08,355.0
2021/04/09,359.0
2021/04/10,317.0
2021/04/11,100.0
2021/04/12,423.0
2021/04/13,396.0
2021/04/14,358.0
2021/04/15,345.0
2021/04/16,360.0
2021/04/17,277.0
2021/04/18,71.0
2021/04/19,451.0
2021/04/20,322.0
2021/04/21,288.0
2021/04/22,327.0
2021/04/23,293.0
2021/04/24,207.0
2021/04/25,77.0
2021/04/26,345.0
2021/04/27,263.0
2021/04/28,245.0
2021/04/29,238.0
2021/04/30,216.0
2021/05/01,70.0
2021/05/02,63.0
2021/05/03,274.0
2021/05/04,182.0
2021/05/05,197.0
2021/05/06,208.0
2021/05/07,249.0
2021/05/08,49.0
2021/05/09,64.0
2021/05/10,233.0
2021/05/11,201.0
2021/05/12,188.0
2021/05/13,51.0
2021/05/14,205.0
2021/05/15,147.0
2021/05/16,53.0
2021/05/17,208.0
2021/05/18,181.0
2021/05/19,147.0
2021/05/20,130.0
2021/05/21,149.0
2021/05/22,105.0
2021/05/23,38.0
2021/05/24,29.0
2021/05/25,126.0
2021/05/26,106.0
2021/05/27,113.0
2021/05/28,95.0
2021/05/29,71.0
2021/05/30,18.0
2021/05/31,96.0
2021/06/01,74.0
