Datas,Savoie
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,2.0
2020/05/14,1.0
2020/05/15,4.0
2020/05/16,2.0
2020/05/17,1.0
2020/05/18,6.0
2020/05/19,1.0
2020/05/20,2.0
2020/05/21,3.0
2020/05/22,5.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,3.0
2020/05/26,0.0
2020/05/27,2.0
2020/05/28,3.0
2020/05/29,3.0
2020/05/30,2.0
2020/05/31,0.0
2020/06/01,1.0
2020/06/02,3.0
2020/06/03,2.0
2020/06/04,0.0
2020/06/05,1.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,1.0
2020/06/09,1.0
2020/06/10,1.0
2020/06/11,0.0
2020/06/12,2.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,3.0
2020/06/17,0.0
2020/06/18,2.0
2020/06/19,1.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,1.0
2020/06/23,2.0
2020/06/24,0.0
2020/06/25,1.0
2020/06/26,0.0
2020/06/27,1.0
2020/06/28,0.0
2020/06/29,2.0
2020/06/30,2.0
2020/07/01,2.0
2020/07/02,1.0
2020/07/03,6.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,1.0
2020/07/07,3.0
2020/07/08,1.0
2020/07/09,0.0
2020/07/10,0.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,3.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,0.0
2020/07/17,1.0
2020/07/18,1.0
2020/07/19,2.0
2020/07/20,9.0
2020/07/21,1.0
2020/07/22,3.0
2020/07/23,2.0
2020/07/24,5.0
2020/07/25,0.0
2020/07/26,2.0
2020/07/27,1.0
2020/07/28,5.0
2020/07/29,5.0
2020/07/30,5.0
2020/07/31,3.0
2020/08/01,3.0
2020/08/02,0.0
2020/08/03,11.0
2020/08/04,7.0
2020/08/05,12.0
2020/08/06,9.0
2020/08/07,2.0
2020/08/08,4.0
2020/08/09,1.0
2020/08/10,5.0
2020/08/11,5.0
2020/08/12,8.0
2020/08/13,5.0
2020/08/14,10.0
2020/08/15,3.0
2020/08/16,1.0
2020/08/17,5.0
2020/08/18,10.0
2020/08/19,9.0
2020/08/20,10.0
2020/08/21,12.0
2020/08/22,5.0
2020/08/23,4.0
2020/08/24,15.0
2020/08/25,17.0
2020/08/26,12.0
2020/08/27,25.0
2020/08/28,39.0
2020/08/29,8.0
2020/08/30,12.0
2020/08/31,22.0
2020/09/01,32.0
2020/09/02,29.0
2020/09/03,29.0
2020/09/04,29.0
2020/09/05,11.0
2020/09/06,2.0
2020/09/07,24.0
2020/09/08,18.0
2020/09/09,30.0
2020/09/10,43.0
2020/09/11,37.0
2020/09/12,22.0
2020/09/13,7.0
2020/09/14,35.0
2020/09/15,51.0
2020/09/16,48.0
2020/09/17,51.0
2020/09/18,42.0
2020/09/19,27.0
2020/09/20,13.0
2020/09/21,43.0
2020/09/22,45.0
2020/09/23,51.0
2020/09/24,60.0
2020/09/25,47.0
2020/09/26,25.0
2020/09/27,12.0
2020/09/28,48.0
2020/09/29,59.0
2020/09/30,62.0
2020/10/01,62.0
2020/10/02,94.0
2020/10/03,43.0
2020/10/04,14.0
2020/10/05,120.0
2020/10/06,121.0
2020/10/07,165.0
2020/10/08,153.0
2020/10/09,160.0
2020/10/10,81.0
2020/10/11,43.0
2020/10/12,238.0
2020/10/13,259.0
2020/10/14,259.0
2020/10/15,276.0
2020/10/16,314.0
2020/10/17,165.0
2020/10/18,82.0
2020/10/19,383.0
2020/10/20,450.0
2020/10/21,543.0
2020/10/22,503.0
2020/10/23,532.0
2020/10/24,346.0
2020/10/25,163.0
2020/10/26,731.0
2020/10/27,747.0
2020/10/28,775.0
2020/10/29,882.0
2020/10/30,895.0
2020/10/31,405.0
2020/11/01,211.0
2020/11/02,1083.0
2020/11/03,939.0
2020/11/04,786.0
2020/11/05,787.0
2020/11/06,840.0
2020/11/07,287.0
2020/11/08,98.0
2020/11/09,716.0
2020/11/10,649.0
2020/11/11,104.0
2020/11/12,469.0
2020/11/13,410.0
2020/11/14,144.0
2020/11/15,50.0
2020/11/16,394.0
2020/11/17,321.0
2020/11/18,213.0
2020/11/19,242.0
2020/11/20,235.0
2020/11/21,93.0
2020/11/22,23.0
2020/11/23,226.0
2020/11/24,196.0
2020/11/25,160.0
2020/11/26,142.0
2020/11/27,148.0
2020/11/28,73.0
2020/11/29,11.0
2020/11/30,167.0
2020/12/01,139.0
2020/12/02,132.0
2020/12/03,143.0
2020/12/04,108.0
2020/12/05,66.0
2020/12/06,17.0
2020/12/07,153.0
2020/12/08,123.0
2020/12/09,121.0
2020/12/10,113.0
2020/12/11,113.0
2020/12/12,71.0
2020/12/13,22.0
2020/12/14,137.0
2020/12/15,114.0
2020/12/16,112.0
2020/12/17,139.0
2020/12/18,204.0
2020/12/19,150.0
2020/12/20,126.0
2020/12/21,159.0
2020/12/22,217.0
2020/12/23,162.0
2020/12/24,77.0
2020/12/25,20.0
2020/12/26,66.0
2020/12/27,29.0
2020/12/28,152.0
2020/12/29,124.0
2020/12/30,151.0
2020/12/31,109.0
2021/01/01,10.0
2021/01/02,100.0
2021/01/03,21.0
2021/01/04,211.0
2021/01/05,168.0
2021/01/06,130.0
2021/01/07,124.0
2021/01/08,121.0
2021/01/09,75.0
2021/01/10,17.0
2021/01/11,143.0
2021/01/12,130.0
2021/01/13,98.0
2021/01/14,105.0
2021/01/15,110.0
2021/01/16,64.0
2021/01/17,28.0
2021/01/18,143.0
2021/01/19,103.0
2021/01/20,83.0
2021/01/21,91.0
2021/01/22,109.0
2021/01/23,80.0
2021/01/24,25.0
2021/01/25,126.0
2021/01/26,105.0
2021/01/27,87.0
2021/01/28,77.0
2021/01/29,115.0
2021/01/30,48.0
2021/01/31,24.0
2021/02/01,146.0
2021/02/02,97.0
2021/02/03,95.0
2021/02/04,97.0
2021/02/05,79.0
2021/02/06,57.0
2021/02/07,24.0
2021/02/08,127.0
2021/02/09,106.0
2021/02/10,72.0
2021/02/11,83.0
2021/02/12,76.0
2021/02/13,39.0
2021/02/14,14.0
2021/02/15,116.0
2021/02/16,75.0
2021/02/17,88.0
2021/02/18,101.0
2021/02/19,91.0
2021/02/20,51.0
2021/02/21,14.0
2021/02/22,131.0
2021/02/23,133.0
2021/02/24,118.0
2021/02/25,98.0
2021/02/26,106.0
2021/02/27,43.0
2021/02/28,16.0
2021/03/01,122.0
2021/03/02,116.0
2021/03/03,84.0
2021/03/04,94.0
2021/03/05,137.0
2021/03/06,72.0
2021/03/07,22.0
2021/03/08,135.0
2021/03/09,103.0
2021/03/10,117.0
2021/03/11,103.0
2021/03/12,134.0
2021/03/13,62.0
2021/03/14,18.0
2021/03/15,174.0
2021/03/16,178.0
2021/03/17,157.0
2021/03/18,181.0
2021/03/19,175.0
2021/03/20,124.0
2021/03/21,22.0
2021/03/22,254.0
2021/03/23,196.0
2021/03/24,187.0
2021/03/25,249.0
2021/03/26,236.0
2021/03/27,146.0
2021/03/28,57.0
2021/03/29,247.0
2021/03/30,225.0
2021/03/31,207.0
2021/04/01,212.0
2021/04/02,254.0
2021/04/03,166.0
2021/04/04,36.0
2021/04/05,61.0
2021/04/06,291.0
2021/04/07,263.0
2021/04/08,220.0
2021/04/09,221.0
2021/04/10,132.0
2021/04/11,37.0
2021/04/12,281.0
2021/04/13,193.0
2021/04/14,194.0
2021/04/15,179.0
2021/04/16,197.0
2021/04/17,135.0
2021/04/18,19.0
2021/04/19,255.0
2021/04/20,176.0
2021/04/21,167.0
2021/04/22,160.0
2021/04/23,169.0
2021/04/24,83.0
2021/04/25,20.0
2021/04/26,174.0
2021/04/27,173.0
2021/04/28,126.0
2021/04/29,108.0
2021/04/30,118.0
2021/05/01,24.0
2021/05/02,30.0
2021/05/03,171.0
2021/05/04,111.0
2021/05/05,110.0
2021/05/06,83.0
2021/05/07,84.0
2021/05/08,19.0
2021/05/09,7.0
2021/05/10,127.0
2021/05/11,83.0
2021/05/12,69.0
2021/05/13,24.0
2021/05/14,72.0
2021/05/15,50.0
2021/05/16,8.0
2021/05/17,102.0
2021/05/18,74.0
2021/05/19,63.0
2021/05/20,72.0
2021/05/21,70.0
2021/05/22,56.0
2021/05/23,7.0
2021/05/24,5.0
2021/05/25,67.0
2021/05/26,85.0
2021/05/27,41.0
2021/05/28,39.0
2021/05/29,35.0
2021/05/30,9.0
2021/05/31,58.0
2021/06/01,48.0
