Datas,Saône-et-Loire
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,5.0
2020/05/14,15.0
2020/05/15,9.0
2020/05/16,3.0
2020/05/17,3.0
2020/05/18,15.0
2020/05/19,4.0
2020/05/20,7.0
2020/05/21,0.0
2020/05/22,7.0
2020/05/23,3.0
2020/05/24,0.0
2020/05/25,12.0
2020/05/26,2.0
2020/05/27,1.0
2020/05/28,1.0
2020/05/29,1.0
2020/05/30,1.0
2020/05/31,1.0
2020/06/01,1.0
2020/06/02,3.0
2020/06/03,2.0
2020/06/04,0.0
2020/06/05,4.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,2.0
2020/06/09,0.0
2020/06/10,2.0
2020/06/11,0.0
2020/06/12,1.0
2020/06/13,0.0
2020/06/14,1.0
2020/06/15,1.0
2020/06/16,1.0
2020/06/17,0.0
2020/06/18,1.0
2020/06/19,2.0
2020/06/20,0.0
2020/06/21,1.0
2020/06/22,0.0
2020/06/23,0.0
2020/06/24,1.0
2020/06/25,1.0
2020/06/26,1.0
2020/06/27,4.0
2020/06/28,1.0
2020/06/29,3.0
2020/06/30,5.0
2020/07/01,1.0
2020/07/02,3.0
2020/07/03,2.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,3.0
2020/07/07,3.0
2020/07/08,5.0
2020/07/09,0.0
2020/07/10,3.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,3.0
2020/07/14,0.0
2020/07/15,2.0
2020/07/16,2.0
2020/07/17,1.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,0.0
2020/07/21,1.0
2020/07/22,2.0
2020/07/23,1.0
2020/07/24,1.0
2020/07/25,2.0
2020/07/26,1.0
2020/07/27,6.0
2020/07/28,1.0
2020/07/29,2.0
2020/07/30,4.0
2020/07/31,0.0
2020/08/01,1.0
2020/08/02,1.0
2020/08/03,1.0
2020/08/04,2.0
2020/08/05,4.0
2020/08/06,0.0
2020/08/07,3.0
2020/08/08,3.0
2020/08/09,1.0
2020/08/10,6.0
2020/08/11,6.0
2020/08/12,5.0
2020/08/13,10.0
2020/08/14,9.0
2020/08/15,1.0
2020/08/16,5.0
2020/08/17,21.0
2020/08/18,16.0
2020/08/19,23.0
2020/08/20,8.0
2020/08/21,10.0
2020/08/22,5.0
2020/08/23,6.0
2020/08/24,24.0
2020/08/25,21.0
2020/08/26,14.0
2020/08/27,26.0
2020/08/28,17.0
2020/08/29,6.0
2020/08/30,3.0
2020/08/31,34.0
2020/09/01,36.0
2020/09/02,34.0
2020/09/03,41.0
2020/09/04,53.0
2020/09/05,28.0
2020/09/06,4.0
2020/09/07,57.0
2020/09/08,40.0
2020/09/09,42.0
2020/09/10,43.0
2020/09/11,77.0
2020/09/12,17.0
2020/09/13,8.0
2020/09/14,87.0
2020/09/15,46.0
2020/09/16,63.0
2020/09/17,83.0
2020/09/18,57.0
2020/09/19,13.0
2020/09/20,8.0
2020/09/21,78.0
2020/09/22,71.0
2020/09/23,55.0
2020/09/24,71.0
2020/09/25,72.0
2020/09/26,25.0
2020/09/27,9.0
2020/09/28,78.0
2020/09/29,68.0
2020/09/30,96.0
2020/10/01,117.0
2020/10/02,148.0
2020/10/03,46.0
2020/10/04,8.0
2020/10/05,175.0
2020/10/06,138.0
2020/10/07,188.0
2020/10/08,170.0
2020/10/09,273.0
2020/10/10,69.0
2020/10/11,8.0
2020/10/12,356.0
2020/10/13,320.0
2020/10/14,299.0
2020/10/15,340.0
2020/10/16,422.0
2020/10/17,121.0
2020/10/18,22.0
2020/10/19,476.0
2020/10/20,489.0
2020/10/21,579.0
2020/10/22,631.0
2020/10/23,669.0
2020/10/24,280.0
2020/10/25,74.0
2020/10/26,875.0
2020/10/27,876.0
2020/10/28,693.0
2020/10/29,581.0
2020/10/30,667.0
2020/10/31,248.0
2020/11/01,58.0
2020/11/02,910.0
2020/11/03,775.0
2020/11/04,698.0
2020/11/05,640.0
2020/11/06,610.0
2020/11/07,214.0
2020/11/08,48.0
2020/11/09,563.0
2020/11/10,547.0
2020/11/11,36.0
2020/11/12,473.0
2020/11/13,374.0
2020/11/14,102.0
2020/11/15,29.0
2020/11/16,379.0
2020/11/17,308.0
2020/11/18,216.0
2020/11/19,180.0
2020/11/20,191.0
2020/11/21,65.0
2020/11/22,24.0
2020/11/23,253.0
2020/11/24,180.0
2020/11/25,162.0
2020/11/26,157.0
2020/11/27,137.0
2020/11/28,55.0
2020/11/29,16.0
2020/11/30,216.0
2020/12/01,135.0
2020/12/02,121.0
2020/12/03,152.0
2020/12/04,170.0
2020/12/05,70.0
2020/12/06,25.0
2020/12/07,182.0
2020/12/08,176.0
2020/12/09,163.0
2020/12/10,161.0
2020/12/11,171.0
2020/12/12,92.0
2020/12/13,30.0
2020/12/14,238.0
2020/12/15,220.0
2020/12/16,174.0
2020/12/17,240.0
2020/12/18,185.0
2020/12/19,113.0
2020/12/20,21.0
2020/12/21,293.0
2020/12/22,239.0
2020/12/23,167.0
2020/12/24,163.0
2020/12/25,18.0
2020/12/26,78.0
2020/12/27,30.0
2020/12/28,250.0
2020/12/29,236.0
2020/12/30,183.0
2020/12/31,200.0
2021/01/01,20.0
2021/01/02,152.0
2021/01/03,30.0
2021/01/04,332.0
2021/01/05,254.0
2021/01/06,213.0
2021/01/07,206.0
2021/01/08,243.0
2021/01/09,117.0
2021/01/10,19.0
2021/01/11,333.0
2021/01/12,190.0
2021/01/13,193.0
2021/01/14,198.0
2021/01/15,238.0
2021/01/16,101.0
2021/01/17,28.0
2021/01/18,318.0
2021/01/19,266.0
2021/01/20,242.0
2021/01/21,220.0
2021/01/22,231.0
2021/01/23,122.0
2021/01/24,20.0
2021/01/25,259.0
2021/01/26,219.0
2021/01/27,187.0
2021/01/28,192.0
2021/01/29,229.0
2021/01/30,93.0
2021/01/31,13.0
2021/02/01,276.0
2021/02/02,189.0
2021/02/03,160.0
2021/02/04,191.0
2021/02/05,164.0
2021/02/06,90.0
2021/02/07,16.0
2021/02/08,207.0
2021/02/09,133.0
2021/02/10,130.0
2021/02/11,119.0
2021/02/12,128.0
2021/02/13,62.0
2021/02/14,16.0
2021/02/15,182.0
2021/02/16,136.0
2021/02/17,113.0
2021/02/18,111.0
2021/02/19,120.0
2021/02/20,85.0
2021/02/21,17.0
2021/02/22,178.0
2021/02/23,115.0
2021/02/24,125.0
2021/02/25,129.0
2021/02/26,103.0
2021/02/27,54.0
2021/02/28,11.0
2021/03/01,151.0
2021/03/02,90.0
2021/03/03,77.0
2021/03/04,64.0
2021/03/05,93.0
2021/03/06,39.0
2021/03/07,7.0
2021/03/08,109.0
2021/03/09,121.0
2021/03/10,92.0
2021/03/11,103.0
2021/03/12,108.0
2021/03/13,72.0
2021/03/14,14.0
2021/03/15,193.0
2021/03/16,124.0
2021/03/17,129.0
2021/03/18,168.0
2021/03/19,145.0
2021/03/20,91.0
2021/03/21,10.0
2021/03/22,225.0
2021/03/23,209.0
2021/03/24,193.0
2021/03/25,199.0
2021/03/26,229.0
2021/03/27,139.0
2021/03/28,27.0
2021/03/29,278.0
2021/03/30,241.0
2021/03/31,198.0
2021/04/01,285.0
2021/04/02,261.0
2021/04/03,151.0
2021/04/04,26.0
2021/04/05,45.0
2021/04/06,343.0
2021/04/07,196.0
2021/04/08,231.0
2021/04/09,228.0
2021/04/10,158.0
2021/04/11,12.0
2021/04/12,258.0
2021/04/13,226.0
2021/04/14,218.0
2021/04/15,232.0
2021/04/16,204.0
2021/04/17,151.0
2021/04/18,15.0
2021/04/19,304.0
2021/04/20,182.0
2021/04/21,182.0
2021/04/22,206.0
2021/04/23,196.0
2021/04/24,96.0
2021/04/25,16.0
2021/04/26,214.0
2021/04/27,159.0
2021/04/28,145.0
2021/04/29,162.0
2021/04/30,127.0
2021/05/01,25.0
2021/05/02,7.0
2021/05/03,153.0
2021/05/04,92.0
2021/05/05,105.0
2021/05/06,102.0
2021/05/07,104.0
2021/05/08,15.0
2021/05/09,4.0
2021/05/10,124.0
2021/05/11,100.0
2021/05/12,85.0
2021/05/13,16.0
2021/05/14,84.0
2021/05/15,64.0
2021/05/16,9.0
2021/05/17,101.0
2021/05/18,80.0
2021/05/19,83.0
2021/05/20,84.0
2021/05/21,83.0
2021/05/22,55.0
2021/05/23,8.0
2021/05/24,8.0
2021/05/25,109.0
2021/05/26,70.0
2021/05/27,92.0
2021/05/28,71.0
2021/05/29,35.0
2021/05/30,12.0
2021/05/31,111.0
