Datas,Seine-Maritime
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,15.0
2020/05/14,8.0
2020/05/15,10.0
2020/05/16,4.0
2020/05/17,2.0
2020/05/18,16.0
2020/05/19,5.0
2020/05/20,4.0
2020/05/21,2.0
2020/05/22,5.0
2020/05/23,1.0
2020/05/24,1.0
2020/05/25,3.0
2020/05/26,2.0
2020/05/27,2.0
2020/05/28,2.0
2020/05/29,3.0
2020/05/30,1.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,4.0
2020/06/03,1.0
2020/06/04,3.0
2020/06/05,2.0
2020/06/06,6.0
2020/06/07,1.0
2020/06/08,4.0
2020/06/09,6.0
2020/06/10,4.0
2020/06/11,9.0
2020/06/12,11.0
2020/06/13,12.0
2020/06/14,6.0
2020/06/15,19.0
2020/06/16,8.0
2020/06/17,29.0
2020/06/18,17.0
2020/06/19,13.0
2020/06/20,16.0
2020/06/21,3.0
2020/06/22,33.0
2020/06/23,14.0
2020/06/24,17.0
2020/06/25,18.0
2020/06/26,10.0
2020/06/27,8.0
2020/06/28,10.0
2020/06/29,18.0
2020/06/30,24.0
2020/07/01,16.0
2020/07/02,14.0
2020/07/03,16.0
2020/07/04,10.0
2020/07/05,5.0
2020/07/06,9.0
2020/07/07,18.0
2020/07/08,9.0
2020/07/09,15.0
2020/07/10,8.0
2020/07/11,5.0
2020/07/12,4.0
2020/07/13,14.0
2020/07/14,5.0
2020/07/15,4.0
2020/07/16,10.0
2020/07/17,5.0
2020/07/18,0.0
2020/07/19,3.0
2020/07/20,4.0
2020/07/21,8.0
2020/07/22,6.0
2020/07/23,15.0
2020/07/24,9.0
2020/07/25,4.0
2020/07/26,6.0
2020/07/27,6.0
2020/07/28,8.0
2020/07/29,10.0
2020/07/30,7.0
2020/07/31,15.0
2020/08/01,13.0
2020/08/02,11.0
2020/08/03,15.0
2020/08/04,16.0
2020/08/05,17.0
2020/08/06,19.0
2020/08/07,27.0
2020/08/08,11.0
2020/08/09,7.0
2020/08/10,13.0
2020/08/11,21.0
2020/08/12,17.0
2020/08/13,21.0
2020/08/14,22.0
2020/08/15,20.0
2020/08/16,27.0
2020/08/17,30.0
2020/08/18,45.0
2020/08/19,51.0
2020/08/20,35.0
2020/08/21,45.0
2020/08/22,40.0
2020/08/23,13.0
2020/08/24,69.0
2020/08/25,105.0
2020/08/26,83.0
2020/08/27,145.0
2020/08/28,108.0
2020/08/29,69.0
2020/08/30,64.0
2020/08/31,159.0
2020/09/01,112.0
2020/09/02,153.0
2020/09/03,174.0
2020/09/04,150.0
2020/09/05,78.0
2020/09/06,112.0
2020/09/07,206.0
2020/09/08,204.0
2020/09/09,193.0
2020/09/10,204.0
2020/09/11,252.0
2020/09/12,90.0
2020/09/13,46.0
2020/09/14,266.0
2020/09/15,292.0
2020/09/16,329.0
2020/09/17,289.0
2020/09/18,330.0
2020/09/19,144.0
2020/09/20,95.0
2020/09/21,345.0
2020/09/22,337.0
2020/09/23,256.0
2020/09/24,217.0
2020/09/25,251.0
2020/09/26,106.0
2020/09/27,56.0
2020/09/28,221.0
2020/09/29,221.0
2020/09/30,248.0
2020/10/01,287.0
2020/10/02,368.0
2020/10/03,150.0
2020/10/04,92.0
2020/10/05,346.0
2020/10/06,399.0
2020/10/07,408.0
2020/10/08,368.0
2020/10/09,401.0
2020/10/10,290.0
2020/10/11,151.0
2020/10/12,448.0
2020/10/13,486.0
2020/10/14,539.0
2020/10/15,479.0
2020/10/16,583.0
2020/10/17,261.0
2020/10/18,130.0
2020/10/19,661.0
2020/10/20,689.0
2020/10/21,714.0
2020/10/22,787.0
2020/10/23,869.0
2020/10/24,413.0
2020/10/25,201.0
2020/10/26,1055.0
2020/10/27,986.0
2020/10/28,1001.0
2020/10/29,876.0
2020/10/30,881.0
2020/10/31,421.0
2020/11/01,184.0
2020/11/02,1183.0
2020/11/03,933.0
2020/11/04,804.0
2020/11/05,772.0
2020/11/06,783.0
2020/11/07,273.0
2020/11/08,111.0
2020/11/09,654.0
2020/11/10,633.0
2020/11/11,129.0
2020/11/12,531.0
2020/11/13,448.0
2020/11/14,177.0
2020/11/15,102.0
2020/11/16,505.0
2020/11/17,451.0
2020/11/18,313.0
2020/11/19,349.0
2020/11/20,248.0
2020/11/21,124.0
2020/11/22,24.0
2020/11/23,285.0
2020/11/24,212.0
2020/11/25,204.0
2020/11/26,209.0
2020/11/27,178.0
2020/11/28,78.0
2020/11/29,33.0
2020/11/30,149.0
2020/12/01,185.0
2020/12/02,132.0
2020/12/03,162.0
2020/12/04,148.0
2020/12/05,88.0
2020/12/06,72.0
2020/12/07,202.0
2020/12/08,213.0
2020/12/09,205.0
2020/12/10,217.0
2020/12/11,177.0
2020/12/12,134.0
2020/12/13,29.0
2020/12/14,314.0
2020/12/15,261.0
2020/12/16,243.0
2020/12/17,288.0
2020/12/18,226.0
2020/12/19,118.0
2020/12/20,32.0
2020/12/21,294.0
2020/12/22,275.0
2020/12/23,282.0
2020/12/24,185.0
2020/12/25,27.0
2020/12/26,176.0
2020/12/27,28.0
2020/12/28,342.0
2020/12/29,348.0
2020/12/30,309.0
2020/12/31,276.0
2021/01/01,34.0
2021/01/02,223.0
2021/01/03,63.0
2021/01/04,470.0
2021/01/05,471.0
2021/01/06,359.0
2021/01/07,404.0
2021/01/08,419.0
2021/01/09,213.0
2021/01/10,73.0
2021/01/11,527.0
2021/01/12,457.0
2021/01/13,487.0
2021/01/14,501.0
2021/01/15,442.0
2021/01/16,220.0
2021/01/17,72.0
2021/01/18,616.0
2021/01/19,465.0
2021/01/20,541.0
2021/01/21,468.0
2021/01/22,477.0
2021/01/23,209.0
2021/01/24,45.0
2021/01/25,469.0
2021/01/26,356.0
2021/01/27,418.0
2021/01/28,423.0
2021/01/29,409.0
2021/01/30,255.0
2021/01/31,68.0
2021/02/01,569.0
2021/02/02,388.0
2021/02/03,454.0
2021/02/04,334.0
2021/02/05,340.0
2021/02/06,184.0
2021/02/07,20.0
2021/02/08,368.0
2021/02/09,267.0
2021/02/10,255.0
2021/02/11,223.0
2021/02/12,261.0
2021/02/13,155.0
2021/02/14,38.0
2021/02/15,423.0
2021/02/16,315.0
2021/02/17,351.0
2021/02/18,335.0
2021/02/19,359.0
2021/02/20,203.0
2021/02/21,37.0
2021/02/22,462.0
2021/02/23,406.0
2021/02/24,361.0
2021/02/25,439.0
2021/02/26,381.0
2021/02/27,227.0
2021/02/28,59.0
2021/03/01,516.0
2021/03/02,394.0
2021/03/03,386.0
2021/03/04,367.0
2021/03/05,385.0
2021/03/06,233.0
2021/03/07,70.0
2021/03/08,474.0
2021/03/09,428.0
2021/03/10,469.0
2021/03/11,470.0
2021/03/12,545.0
2021/03/13,364.0
2021/03/14,65.0
2021/03/15,712.0
2021/03/16,592.0
2021/03/17,589.0
2021/03/18,650.0
2021/03/19,676.0
2021/03/20,432.0
2021/03/21,100.0
2021/03/22,890.0
2021/03/23,798.0
2021/03/24,695.0
2021/03/25,749.0
2021/03/26,773.0
2021/03/27,505.0
2021/03/28,101.0
2021/03/29,957.0
2021/03/30,810.0
2021/03/31,758.0
2021/04/01,748.0
2021/04/02,812.0
2021/04/03,434.0
2021/04/04,68.0
2021/04/05,98.0
2021/04/06,1035.0
2021/04/07,793.0
2021/04/08,730.0
2021/04/09,862.0
2021/04/10,466.0
2021/04/11,96.0
2021/04/12,927.0
2021/04/13,713.0
2021/04/14,607.0
2021/04/15,589.0
2021/04/16,699.0
2021/04/17,414.0
2021/04/18,100.0
2021/04/19,834.0
2021/04/20,693.0
2021/04/21,632.0
2021/04/22,629.0
2021/04/23,618.0
2021/04/24,317.0
2021/04/25,77.0
2021/04/26,728.0
2021/04/27,551.0
2021/04/28,486.0
2021/04/29,551.0
2021/04/30,544.0
2021/05/01,86.0
2021/05/02,92.0
2021/05/03,683.0
2021/05/04,475.0
2021/05/05,414.0
2021/05/06,412.0
2021/05/07,398.0
2021/05/08,69.0
2021/05/09,76.0
2021/05/10,575.0
2021/05/11,420.0
2021/05/12,357.0
2021/05/13,50.0
2021/05/14,439.0
2021/05/15,186.0
2021/05/16,41.0
2021/05/17,453.0
2021/05/18,424.0
2021/05/19,322.0
2021/05/20,295.0
2021/05/21,328.0
2021/05/22,186.0
2021/05/23,42.0
2021/05/24,55.0
2021/05/25,431.0
2021/05/26,267.0
2021/05/27,249.0
2021/05/28,201.0
2021/05/29,128.0
2021/05/30,30.0
2021/05/31,260.0
