Datas,Seine-Saint-Denis
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,80.0
2020/05/14,66.0
2020/05/15,31.0
2020/05/16,6.0
2020/05/17,6.0
2020/05/18,45.0
2020/05/19,40.0
2020/05/20,46.0
2020/05/21,4.0
2020/05/22,29.0
2020/05/23,3.0
2020/05/24,4.0
2020/05/25,24.0
2020/05/26,36.0
2020/05/27,39.0
2020/05/28,20.0
2020/05/29,25.0
2020/05/30,6.0
2020/05/31,3.0
2020/06/01,3.0
2020/06/02,17.0
2020/06/03,21.0
2020/06/04,17.0
2020/06/05,17.0
2020/06/06,6.0
2020/06/07,4.0
2020/06/08,19.0
2020/06/09,12.0
2020/06/10,30.0
2020/06/11,20.0
2020/06/12,37.0
2020/06/13,2.0
2020/06/14,2.0
2020/06/15,19.0
2020/06/16,16.0
2020/06/17,18.0
2020/06/18,25.0
2020/06/19,21.0
2020/06/20,4.0
2020/06/21,2.0
2020/06/22,23.0
2020/06/23,24.0
2020/06/24,27.0
2020/06/25,30.0
2020/06/26,23.0
2020/06/27,8.0
2020/06/28,2.0
2020/06/29,24.0
2020/06/30,28.0
2020/07/01,24.0
2020/07/02,26.0
2020/07/03,23.0
2020/07/04,15.0
2020/07/05,9.0
2020/07/06,43.0
2020/07/07,24.0
2020/07/08,24.0
2020/07/09,27.0
2020/07/10,46.0
2020/07/11,7.0
2020/07/12,3.0
2020/07/13,43.0
2020/07/14,5.0
2020/07/15,27.0
2020/07/16,49.0
2020/07/17,41.0
2020/07/18,23.0
2020/07/19,6.0
2020/07/20,45.0
2020/07/21,64.0
2020/07/22,53.0
2020/07/23,58.0
2020/07/24,42.0
2020/07/25,26.0
2020/07/26,11.0
2020/07/27,95.0
2020/07/28,75.0
2020/07/29,101.0
2020/07/30,91.0
2020/07/31,82.0
2020/08/01,46.0
2020/08/02,12.0
2020/08/03,87.0
2020/08/04,100.0
2020/08/05,98.0
2020/08/06,115.0
2020/08/07,122.0
2020/08/08,57.0
2020/08/09,14.0
2020/08/10,151.0
2020/08/11,126.0
2020/08/12,167.0
2020/08/13,178.0
2020/08/14,172.0
2020/08/15,38.0
2020/08/16,31.0
2020/08/17,202.0
2020/08/18,206.0
2020/08/19,211.0
2020/08/20,247.0
2020/08/21,233.0
2020/08/22,98.0
2020/08/23,36.0
2020/08/24,300.0
2020/08/25,309.0
2020/08/26,295.0
2020/08/27,309.0
2020/08/28,344.0
2020/08/29,114.0
2020/08/30,42.0
2020/08/31,366.0
2020/09/01,360.0
2020/09/02,325.0
2020/09/03,362.0
2020/09/04,334.0
2020/09/05,146.0
2020/09/06,55.0
2020/09/07,453.0
2020/09/08,477.0
2020/09/09,425.0
2020/09/10,503.0
2020/09/11,448.0
2020/09/12,105.0
2020/09/13,45.0
2020/09/14,575.0
2020/09/15,558.0
2020/09/16,522.0
2020/09/17,602.0
2020/09/18,488.0
2020/09/19,200.0
2020/09/20,84.0
2020/09/21,600.0
2020/09/22,624.0
2020/09/23,550.0
2020/09/24,606.0
2020/09/25,513.0
2020/09/26,190.0
2020/09/27,59.0
2020/09/28,550.0
2020/09/29,574.0
2020/09/30,547.0
2020/10/01,652.0
2020/10/02,710.0
2020/10/03,290.0
2020/10/04,103.0
2020/10/05,864.0
2020/10/06,861.0
2020/10/07,863.0
2020/10/08,997.0
2020/10/09,937.0
2020/10/10,386.0
2020/10/11,121.0
2020/10/12,1297.0
2020/10/13,1133.0
2020/10/14,1056.0
2020/10/15,1188.0
2020/10/16,1129.0
2020/10/17,545.0
2020/10/18,144.0
2020/10/19,1434.0
2020/10/20,1505.0
2020/10/21,1322.0
2020/10/22,1425.0
2020/10/23,1406.0
2020/10/24,580.0
2020/10/25,193.0
2020/10/26,1920.0
2020/10/27,1779.0
2020/10/28,1532.0
2020/10/29,1497.0
2020/10/30,1487.0
2020/10/31,579.0
2020/11/01,203.0
2020/11/02,1627.0
2020/11/03,1383.0
2020/11/04,1237.0
2020/11/05,1030.0
2020/11/06,968.0
2020/11/07,374.0
2020/11/08,107.0
2020/11/09,1022.0
2020/11/10,820.0
2020/11/11,143.0
2020/11/12,800.0
2020/11/13,628.0
2020/11/14,219.0
2020/11/15,76.0
2020/11/16,694.0
2020/11/17,575.0
2020/11/18,498.0
2020/11/19,496.0
2020/11/20,454.0
2020/11/21,303.0
2020/11/22,60.0
2020/11/23,525.0
2020/11/24,404.0
2020/11/25,413.0
2020/11/26,412.0
2020/11/27,402.0
2020/11/28,213.0
2020/11/29,71.0
2020/11/30,496.0
2020/12/01,316.0
2020/12/02,388.0
2020/12/03,344.0
2020/12/04,343.0
2020/12/05,193.0
2020/12/06,50.0
2020/12/07,501.0
2020/12/08,398.0
2020/12/09,369.0
2020/12/10,473.0
2020/12/11,402.0
2020/12/12,252.0
2020/12/13,93.0
2020/12/14,590.0
2020/12/15,426.0
2020/12/16,454.0
2020/12/17,372.0
2020/12/18,455.0
2020/12/19,276.0
2020/12/20,79.0
2020/12/21,524.0
2020/12/22,444.0
2020/12/23,403.0
2020/12/24,385.0
2020/12/25,49.0
2020/12/26,318.0
2020/12/27,79.0
2020/12/28,532.0
2020/12/29,450.0
2020/12/30,402.0
2020/12/31,329.0
2021/01/01,62.0
2021/01/02,364.0
2021/01/03,107.0
2021/01/04,615.0
2021/01/05,451.0
2021/01/06,453.0
2021/01/07,435.0
2021/01/08,466.0
2021/01/09,302.0
2021/01/10,77.0
2021/01/11,599.0
2021/01/12,484.0
2021/01/13,478.0
2021/01/14,502.0
2021/01/15,539.0
2021/01/16,325.0
2021/01/17,99.0
2021/01/18,672.0
2021/01/19,561.0
2021/01/20,527.0
2021/01/21,508.0
2021/01/22,525.0
2021/01/23,299.0
2021/01/24,77.0
2021/01/25,689.0
2021/01/26,508.0
2021/01/27,498.0
2021/01/28,500.0
2021/01/29,614.0
2021/01/30,363.0
2021/01/31,111.0
2021/02/01,805.0
2021/02/02,637.0
2021/02/03,574.0
2021/02/04,622.0
2021/02/05,623.0
2021/02/06,352.0
2021/02/07,84.0
2021/02/08,730.0
2021/02/09,612.0
2021/02/10,548.0
2021/02/11,520.0
2021/02/12,554.0
2021/02/13,333.0
2021/02/14,93.0
2021/02/15,831.0
2021/02/16,709.0
2021/02/17,697.0
2021/02/18,833.0
2021/02/19,822.0
2021/02/20,522.0
2021/02/21,134.0
2021/02/22,1229.0
2021/02/23,972.0
2021/02/24,885.0
2021/02/25,977.0
2021/02/26,1007.0
2021/02/27,634.0
2021/02/28,172.0
2021/03/01,1261.0
2021/03/02,998.0
2021/03/03,1039.0
2021/03/04,980.0
2021/03/05,1150.0
2021/03/06,680.0
2021/03/07,184.0
2021/03/08,1425.0
2021/03/09,1191.0
2021/03/10,1214.0
2021/03/11,1291.0
2021/03/12,1409.0
2021/03/13,948.0
2021/03/14,357.0
2021/03/15,2127.0
2021/03/16,1738.0
2021/03/17,1702.0
2021/03/18,1725.0
2021/03/19,1840.0
2021/03/20,1221.0
2021/03/21,433.0
2021/03/22,2652.0
2021/03/23,2016.0
2021/03/24,2022.0
2021/03/25,1895.0
2021/03/26,1864.0
2021/03/27,1239.0
2021/03/28,326.0
2021/03/29,2713.0
2021/03/30,2317.0
2021/03/31,1945.0
2021/04/01,1849.0
2021/04/02,1928.0
2021/04/03,1161.0
2021/04/04,288.0
2021/04/05,548.0
2021/04/06,2546.0
2021/04/07,1952.0
2021/04/08,1707.0
2021/04/09,1887.0
2021/04/10,1247.0
2021/04/11,352.0
2021/04/12,2221.0
2021/04/13,1648.0
2021/04/14,1402.0
2021/04/15,1500.0
2021/04/16,1591.0
2021/04/17,982.0
2021/04/18,302.0
2021/04/19,1956.0
2021/04/20,1439.0
2021/04/21,1224.0
2021/04/22,1174.0
2021/04/23,1186.0
2021/04/24,755.0
2021/04/25,237.0
2021/04/26,1422.0
2021/04/27,980.0
2021/04/28,984.0
2021/04/29,906.0
2021/04/30,951.0
2021/05/01,246.0
2021/05/02,211.0
2021/05/03,1300.0
2021/05/04,953.0
2021/05/05,751.0
2021/05/06,748.0
2021/05/07,718.0
2021/05/08,248.0
2021/05/09,174.0
2021/05/10,1065.0
2021/05/11,702.0
2021/05/12,669.0
2021/05/13,171.0
2021/05/14,728.0
2021/05/15,424.0
2021/05/16,139.0
2021/05/17,840.0
2021/05/18,654.0
2021/05/19,535.0
2021/05/20,521.0
2021/05/21,456.0
2021/05/22,308.0
2021/05/23,76.0
2021/05/24,148.0
2021/05/25,561.0
