Datas,Seine-et-Marne
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,27.0
2020/05/14,29.0
2020/05/15,20.0
2020/05/16,11.0
2020/05/17,4.0
2020/05/18,50.0
2020/05/19,15.0
2020/05/20,22.0
2020/05/21,9.0
2020/05/22,15.0
2020/05/23,10.0
2020/05/24,5.0
2020/05/25,31.0
2020/05/26,28.0
2020/05/27,25.0
2020/05/28,12.0
2020/05/29,11.0
2020/05/30,13.0
2020/05/31,1.0
2020/06/01,3.0
2020/06/02,27.0
2020/06/03,22.0
2020/06/04,13.0
2020/06/05,8.0
2020/06/06,6.0
2020/06/07,1.0
2020/06/08,9.0
2020/06/09,17.0
2020/06/10,9.0
2020/06/11,13.0
2020/06/12,5.0
2020/06/13,5.0
2020/06/14,2.0
2020/06/15,8.0
2020/06/16,8.0
2020/06/17,13.0
2020/06/18,4.0
2020/06/19,8.0
2020/06/20,3.0
2020/06/21,2.0
2020/06/22,13.0
2020/06/23,14.0
2020/06/24,5.0
2020/06/25,5.0
2020/06/26,13.0
2020/06/27,9.0
2020/06/28,3.0
2020/06/29,13.0
2020/06/30,10.0
2020/07/01,12.0
2020/07/02,6.0
2020/07/03,9.0
2020/07/04,5.0
2020/07/05,2.0
2020/07/06,14.0
2020/07/07,7.0
2020/07/08,5.0
2020/07/09,20.0
2020/07/10,6.0
2020/07/11,6.0
2020/07/12,0.0
2020/07/13,9.0
2020/07/14,2.0
2020/07/15,12.0
2020/07/16,16.0
2020/07/17,18.0
2020/07/18,7.0
2020/07/19,1.0
2020/07/20,11.0
2020/07/21,25.0
2020/07/22,24.0
2020/07/23,27.0
2020/07/24,19.0
2020/07/25,25.0
2020/07/26,1.0
2020/07/27,43.0
2020/07/28,31.0
2020/07/29,68.0
2020/07/30,47.0
2020/07/31,41.0
2020/08/01,29.0
2020/08/02,6.0
2020/08/03,46.0
2020/08/04,41.0
2020/08/05,54.0
2020/08/06,35.0
2020/08/07,66.0
2020/08/08,30.0
2020/08/09,7.0
2020/08/10,56.0
2020/08/11,49.0
2020/08/12,79.0
2020/08/13,66.0
2020/08/14,105.0
2020/08/15,8.0
2020/08/16,6.0
2020/08/17,105.0
2020/08/18,90.0
2020/08/19,87.0
2020/08/20,122.0
2020/08/21,102.0
2020/08/22,55.0
2020/08/23,15.0
2020/08/24,147.0
2020/08/25,145.0
2020/08/26,183.0
2020/08/27,173.0
2020/08/28,236.0
2020/08/29,44.0
2020/08/30,19.0
2020/08/31,166.0
2020/09/01,185.0
2020/09/02,165.0
2020/09/03,206.0
2020/09/04,205.0
2020/09/05,76.0
2020/09/06,18.0
2020/09/07,206.0
2020/09/08,227.0
2020/09/09,206.0
2020/09/10,239.0
2020/09/11,239.0
2020/09/12,104.0
2020/09/13,38.0
2020/09/14,340.0
2020/09/15,263.0
2020/09/16,252.0
2020/09/17,224.0
2020/09/18,270.0
2020/09/19,104.0
2020/09/20,29.0
2020/09/21,321.0
2020/09/22,328.0
2020/09/23,275.0
2020/09/24,316.0
2020/09/25,317.0
2020/09/26,124.0
2020/09/27,16.0
2020/09/28,280.0
2020/09/29,312.0
2020/09/30,338.0
2020/10/01,344.0
2020/10/02,420.0
2020/10/03,191.0
2020/10/04,51.0
2020/10/05,518.0
2020/10/06,490.0
2020/10/07,509.0
2020/10/08,574.0
2020/10/09,648.0
2020/10/10,302.0
2020/10/11,46.0
2020/10/12,708.0
2020/10/13,740.0
2020/10/14,673.0
2020/10/15,754.0
2020/10/16,682.0
2020/10/17,373.0
2020/10/18,48.0
2020/10/19,874.0
2020/10/20,939.0
2020/10/21,853.0
2020/10/22,1060.0
2020/10/23,1122.0
2020/10/24,578.0
2020/10/25,49.0
2020/10/26,1259.0
2020/10/27,1272.0
2020/10/28,1123.0
2020/10/29,1059.0
2020/10/30,1021.0
2020/10/31,539.0
2020/11/01,85.0
2020/11/02,1211.0
2020/11/03,1053.0
2020/11/04,936.0
2020/11/05,869.0
2020/11/06,917.0
2020/11/07,433.0
2020/11/08,57.0
2020/11/09,840.0
2020/11/10,791.0
2020/11/11,155.0
2020/11/12,745.0
2020/11/13,560.0
2020/11/14,282.0
2020/11/15,50.0
2020/11/16,654.0
2020/11/17,471.0
2020/11/18,444.0
2020/11/19,424.0
2020/11/20,340.0
2020/11/21,194.0
2020/11/22,42.0
2020/11/23,395.0
2020/11/24,355.0
2020/11/25,319.0
2020/11/26,280.0
2020/11/27,258.0
2020/11/28,152.0
2020/11/29,43.0
2020/11/30,366.0
2020/12/01,288.0
2020/12/02,244.0
2020/12/03,251.0
2020/12/04,297.0
2020/12/05,141.0
2020/12/06,43.0
2020/12/07,343.0
2020/12/08,258.0
2020/12/09,278.0
2020/12/10,281.0
2020/12/11,289.0
2020/12/12,195.0
2020/12/13,38.0
2020/12/14,360.0
2020/12/15,320.0
2020/12/16,290.0
2020/12/17,268.0
2020/12/18,354.0
2020/12/19,214.0
2020/12/20,54.0
2020/12/21,434.0
2020/12/22,323.0
2020/12/23,306.0
2020/12/24,270.0
2020/12/25,48.0
2020/12/26,225.0
2020/12/27,44.0
2020/12/28,404.0
2020/12/29,395.0
2020/12/30,323.0
2020/12/31,291.0
2021/01/01,41.0
2021/01/02,260.0
2021/01/03,51.0
2021/01/04,478.0
2021/01/05,422.0
2021/01/06,391.0
2021/01/07,390.0
2021/01/08,375.0
2021/01/09,221.0
2021/01/10,61.0
2021/01/11,464.0
2021/01/12,401.0
2021/01/13,382.0
2021/01/14,433.0
2021/01/15,469.0
2021/01/16,282.0
2021/01/17,80.0
2021/01/18,527.0
2021/01/19,445.0
2021/01/20,416.0
2021/01/21,474.0
2021/01/22,481.0
2021/01/23,329.0
2021/01/24,67.0
2021/01/25,605.0
2021/01/26,504.0
2021/01/27,464.0
2021/01/28,516.0
2021/01/29,607.0
2021/01/30,386.0
2021/01/31,79.0
2021/02/01,715.0
2021/02/02,552.0
2021/02/03,507.0
2021/02/04,543.0
2021/02/05,530.0
2021/02/06,330.0
2021/02/07,79.0
2021/02/08,633.0
2021/02/09,529.0
2021/02/10,475.0
2021/02/11,505.0
2021/02/12,492.0
2021/02/13,320.0
2021/02/14,61.0
2021/02/15,633.0
2021/02/16,611.0
2021/02/17,558.0
2021/02/18,645.0
2021/02/19,633.0
2021/02/20,398.0
2021/02/21,116.0
2021/02/22,836.0
2021/02/23,710.0
2021/02/24,704.0
2021/02/25,663.0
2021/02/26,757.0
2021/02/27,460.0
2021/02/28,91.0
2021/03/01,897.0
2021/03/02,748.0
2021/03/03,702.0
2021/03/04,745.0
2021/03/05,734.0
2021/03/06,487.0
2021/03/07,105.0
2021/03/08,943.0
2021/03/09,743.0
2021/03/10,874.0
2021/03/11,955.0
2021/03/12,905.0
2021/03/13,709.0
2021/03/14,213.0
2021/03/15,1435.0
2021/03/16,1221.0
2021/03/17,1159.0
2021/03/18,1299.0
2021/03/19,1234.0
2021/03/20,941.0
2021/03/21,233.0
2021/03/22,1793.0
2021/03/23,1585.0
2021/03/24,1432.0
2021/03/25,1472.0
2021/03/26,1536.0
2021/03/27,1032.0
2021/03/28,240.0
2021/03/29,1999.0
2021/03/30,1609.0
2021/03/31,1398.0
2021/04/01,1397.0
2021/04/02,1454.0
2021/04/03,917.0
2021/04/04,167.0
2021/04/05,304.0
2021/04/06,1698.0
2021/04/07,1295.0
2021/04/08,1169.0
2021/04/09,1201.0
2021/04/10,944.0
2021/04/11,137.0
2021/04/12,1472.0
2021/04/13,1099.0
2021/04/14,899.0
2021/04/15,942.0
2021/04/16,933.0
2021/04/17,680.0
2021/04/18,183.0
2021/04/19,1158.0
2021/04/20,966.0
2021/04/21,928.0
2021/04/22,829.0
2021/04/23,855.0
2021/04/24,665.0
2021/04/25,146.0
2021/04/26,966.0
2021/04/27,845.0
2021/04/28,684.0
2021/04/29,703.0
2021/04/30,720.0
2021/05/01,117.0
2021/05/02,121.0
2021/05/03,913.0
2021/05/04,653.0
2021/05/05,592.0
2021/05/06,512.0
2021/05/07,612.0
2021/05/08,168.0
2021/05/09,117.0
2021/05/10,736.0
2021/05/11,578.0
2021/05/12,514.0
2021/05/13,82.0
2021/05/14,588.0
2021/05/15,307.0
2021/05/16,57.0
2021/05/17,582.0
2021/05/18,475.0
2021/05/19,422.0
2021/05/20,359.0
2021/05/21,367.0
2021/05/22,233.0
2021/05/23,50.0
2021/05/24,120.0
2021/05/25,414.0
2021/05/26,335.0
2021/05/27,294.0
2021/05/28,259.0
