Datas,Somme
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,11.0
2020/05/14,10.0
2020/05/15,8.0
2020/05/16,3.0
2020/05/17,0.0
2020/05/18,8.0
2020/05/19,14.0
2020/05/20,6.0
2020/05/21,0.0
2020/05/22,9.0
2020/05/23,4.0
2020/05/24,1.0
2020/05/25,4.0
2020/05/26,9.0
2020/05/27,17.0
2020/05/28,2.0
2020/05/29,3.0
2020/05/30,4.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,3.0
2020/06/03,5.0
2020/06/04,2.0
2020/06/05,6.0
2020/06/06,4.0
2020/06/07,0.0
2020/06/08,5.0
2020/06/09,1.0
2020/06/10,2.0
2020/06/11,0.0
2020/06/12,0.0
2020/06/13,1.0
2020/06/14,2.0
2020/06/15,7.0
2020/06/16,4.0
2020/06/17,2.0
2020/06/18,0.0
2020/06/19,3.0
2020/06/20,1.0
2020/06/21,0.0
2020/06/22,1.0
2020/06/23,1.0
2020/06/24,1.0
2020/06/25,3.0
2020/06/26,1.0
2020/06/27,0.0
2020/06/28,1.0
2020/06/29,0.0
2020/06/30,0.0
2020/07/01,0.0
2020/07/02,3.0
2020/07/03,2.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,3.0
2020/07/07,1.0
2020/07/08,1.0
2020/07/09,0.0
2020/07/10,1.0
2020/07/11,2.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,2.0
2020/07/16,2.0
2020/07/17,2.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,2.0
2020/07/21,0.0
2020/07/22,2.0
2020/07/23,1.0
2020/07/24,1.0
2020/07/25,4.0
2020/07/26,0.0
2020/07/27,4.0
2020/07/28,3.0
2020/07/29,2.0
2020/07/30,4.0
2020/07/31,6.0
2020/08/01,3.0
2020/08/02,0.0
2020/08/03,7.0
2020/08/04,8.0
2020/08/05,8.0
2020/08/06,4.0
2020/08/07,2.0
2020/08/08,2.0
2020/08/09,0.0
2020/08/10,6.0
2020/08/11,4.0
2020/08/12,3.0
2020/08/13,2.0
2020/08/14,7.0
2020/08/15,0.0
2020/08/16,1.0
2020/08/17,7.0
2020/08/18,10.0
2020/08/19,8.0
2020/08/20,10.0
2020/08/21,8.0
2020/08/22,7.0
2020/08/23,0.0
2020/08/24,15.0
2020/08/25,17.0
2020/08/26,13.0
2020/08/27,11.0
2020/08/28,19.0
2020/08/29,10.0
2020/08/30,1.0
2020/08/31,17.0
2020/09/01,21.0
2020/09/02,43.0
2020/09/03,37.0
2020/09/04,51.0
2020/09/05,27.0
2020/09/06,4.0
2020/09/07,39.0
2020/09/08,46.0
2020/09/09,64.0
2020/09/10,66.0
2020/09/11,30.0
2020/09/12,30.0
2020/09/13,3.0
2020/09/14,63.0
2020/09/15,71.0
2020/09/16,99.0
2020/09/17,95.0
2020/09/18,61.0
2020/09/19,32.0
2020/09/20,5.0
2020/09/21,99.0
2020/09/22,123.0
2020/09/23,90.0
2020/09/24,96.0
2020/09/25,83.0
2020/09/26,31.0
2020/09/27,4.0
2020/09/28,112.0
2020/09/29,70.0
2020/09/30,88.0
2020/10/01,95.0
2020/10/02,98.0
2020/10/03,40.0
2020/10/04,6.0
2020/10/05,130.0
2020/10/06,102.0
2020/10/07,113.0
2020/10/08,119.0
2020/10/09,125.0
2020/10/10,52.0
2020/10/11,5.0
2020/10/12,160.0
2020/10/13,139.0
2020/10/14,128.0
2020/10/15,133.0
2020/10/16,124.0
2020/10/17,70.0
2020/10/18,18.0
2020/10/19,175.0
2020/10/20,208.0
2020/10/21,203.0
2020/10/22,229.0
2020/10/23,225.0
2020/10/24,129.0
2020/10/25,13.0
2020/10/26,294.0
2020/10/27,315.0
2020/10/28,317.0
2020/10/29,335.0
2020/10/30,238.0
2020/10/31,167.0
2020/11/01,31.0
2020/11/02,380.0
2020/11/03,336.0
2020/11/04,287.0
2020/11/05,250.0
2020/11/06,248.0
2020/11/07,164.0
2020/11/08,33.0
2020/11/09,274.0
2020/11/10,209.0
2020/11/11,49.0
2020/11/12,231.0
2020/11/13,213.0
2020/11/14,97.0
2020/11/15,13.0
2020/11/16,169.0
2020/11/17,132.0
2020/11/18,138.0
2020/11/19,128.0
2020/11/20,142.0
2020/11/21,45.0
2020/11/22,18.0
2020/11/23,113.0
2020/11/24,71.0
2020/11/25,67.0
2020/11/26,120.0
2020/11/27,88.0
2020/11/28,55.0
2020/11/29,11.0
2020/11/30,105.0
2020/12/01,83.0
2020/12/02,61.0
2020/12/03,93.0
2020/12/04,76.0
2020/12/05,55.0
2020/12/06,23.0
2020/12/07,100.0
2020/12/08,113.0
2020/12/09,88.0
2020/12/10,103.0
2020/12/11,138.0
2020/12/12,64.0
2020/12/13,10.0
2020/12/14,128.0
2020/12/15,150.0
2020/12/16,143.0
2020/12/17,168.0
2020/12/18,159.0
2020/12/19,76.0
2020/12/20,18.0
2020/12/21,144.0
2020/12/22,200.0
2020/12/23,195.0
2020/12/24,120.0
2020/12/25,3.0
2020/12/26,89.0
2020/12/27,12.0
2020/12/28,159.0
2020/12/29,226.0
2020/12/30,175.0
2020/12/31,161.0
2021/01/01,11.0
2021/01/02,178.0
2021/01/03,28.0
2021/01/04,251.0
2021/01/05,209.0
2021/01/06,209.0
2021/01/07,168.0
2021/01/08,213.0
2021/01/09,141.0
2021/01/10,24.0
2021/01/11,320.0
2021/01/12,204.0
2021/01/13,211.0
2021/01/14,266.0
2021/01/15,246.0
2021/01/16,118.0
2021/01/17,36.0
2021/01/18,282.0
2021/01/19,236.0
2021/01/20,242.0
2021/01/21,229.0
2021/01/22,257.0
2021/01/23,141.0
2021/01/24,41.0
2021/01/25,290.0
2021/01/26,179.0
2021/01/27,165.0
2021/01/28,179.0
2021/01/29,285.0
2021/01/30,167.0
2021/01/31,44.0
2021/02/01,361.0
2021/02/02,262.0
2021/02/03,225.0
2021/02/04,207.0
2021/02/05,236.0
2021/02/06,158.0
2021/02/07,19.0
2021/02/08,254.0
2021/02/09,217.0
2021/02/10,220.0
2021/02/11,170.0
2021/02/12,220.0
2021/02/13,125.0
2021/02/14,37.0
2021/02/15,258.0
2021/02/16,236.0
2021/02/17,234.0
2021/02/18,296.0
2021/02/19,253.0
2021/02/20,184.0
2021/02/21,42.0
2021/02/22,317.0
2021/02/23,281.0
2021/02/24,260.0
2021/02/25,273.0
2021/02/26,289.0
2021/02/27,184.0
2021/02/28,40.0
2021/03/01,337.0
2021/03/02,260.0
2021/03/03,219.0
2021/03/04,222.0
2021/03/05,228.0
2021/03/06,144.0
2021/03/07,29.0
2021/03/08,313.0
2021/03/09,234.0
2021/03/10,241.0
2021/03/11,275.0
2021/03/12,310.0
2021/03/13,184.0
2021/03/14,43.0
2021/03/15,438.0
2021/03/16,366.0
2021/03/17,298.0
2021/03/18,363.0
2021/03/19,374.0
2021/03/20,204.0
2021/03/21,42.0
2021/03/22,559.0
2021/03/23,452.0
2021/03/24,345.0
2021/03/25,391.0
2021/03/26,420.0
2021/03/27,230.0
2021/03/28,62.0
2021/03/29,500.0
2021/03/30,352.0
2021/03/31,370.0
2021/04/01,424.0
2021/04/02,460.0
2021/04/03,220.0
2021/04/04,56.0
2021/04/05,126.0
2021/04/06,387.0
2021/04/07,298.0
2021/04/08,368.0
2021/04/09,307.0
2021/04/10,203.0
2021/04/11,53.0
2021/04/12,389.0
2021/04/13,266.0
2021/04/14,283.0
2021/04/15,299.0
2021/04/16,293.0
2021/04/17,172.0
2021/04/18,51.0
2021/04/19,348.0
2021/04/20,279.0
2021/04/21,225.0
2021/04/22,237.0
2021/04/23,254.0
2021/04/24,176.0
2021/04/25,26.0
2021/04/26,374.0
2021/04/27,219.0
2021/04/28,181.0
2021/04/29,212.0
2021/04/30,191.0
2021/05/01,34.0
2021/05/02,60.0
2021/05/03,262.0
2021/05/04,194.0
2021/05/05,135.0
2021/05/06,182.0
2021/05/07,180.0
2021/05/08,45.0
2021/05/09,37.0
2021/05/10,244.0
2021/05/11,157.0
2021/05/12,163.0
2021/05/13,27.0
2021/05/14,186.0
2021/05/15,70.0
2021/05/16,25.0
2021/05/17,180.0
2021/05/18,172.0
2021/05/19,132.0
2021/05/20,129.0
2021/05/21,119.0
2021/05/22,71.0
2021/05/23,11.0
2021/05/24,49.0
2021/05/25,137.0
2021/05/26,120.0
2021/05/27,104.0
2021/05/28,109.0
2021/05/29,49.0
2021/05/30,17.0
2021/05/31,113.0
2021/06/01,55.0
