Datas,Tarn-et-Garonne
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,0.0
2020/05/14,0.0
2020/05/15,1.0
2020/05/16,1.0
2020/05/17,0.0
2020/05/18,9.0
2020/05/19,0.0
2020/05/20,2.0
2020/05/21,0.0
2020/05/22,0.0
2020/05/23,1.0
2020/05/24,0.0
2020/05/25,1.0
2020/05/26,1.0
2020/05/27,2.0
2020/05/28,0.0
2020/05/29,1.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,0.0
2020/06/03,1.0
2020/06/04,0.0
2020/06/05,0.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,0.0
2020/06/10,0.0
2020/06/11,0.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,0.0
2020/06/19,0.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,1.0
2020/06/23,0.0
2020/06/24,1.0
2020/06/25,0.0
2020/06/26,2.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,1.0
2020/06/30,0.0
2020/07/01,0.0
2020/07/02,1.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,0.0
2020/07/07,0.0
2020/07/08,0.0
2020/07/09,0.0
2020/07/10,0.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,1.0
2020/07/16,2.0
2020/07/17,3.0
2020/07/18,2.0
2020/07/19,0.0
2020/07/20,2.0
2020/07/21,3.0
2020/07/22,2.0
2020/07/23,5.0
2020/07/24,8.0
2020/07/25,1.0
2020/07/26,0.0
2020/07/27,3.0
2020/07/28,6.0
2020/07/29,3.0
2020/07/30,1.0
2020/07/31,1.0
2020/08/01,4.0
2020/08/02,0.0
2020/08/03,2.0
2020/08/04,1.0
2020/08/05,1.0
2020/08/06,3.0
2020/08/07,3.0
2020/08/08,5.0
2020/08/09,0.0
2020/08/10,6.0
2020/08/11,3.0
2020/08/12,9.0
2020/08/13,0.0
2020/08/14,7.0
2020/08/15,1.0
2020/08/16,0.0
2020/08/17,6.0
2020/08/18,6.0
2020/08/19,30.0
2020/08/20,17.0
2020/08/21,7.0
2020/08/22,10.0
2020/08/23,1.0
2020/08/24,24.0
2020/08/25,22.0
2020/08/26,24.0
2020/08/27,14.0
2020/08/28,26.0
2020/08/29,6.0
2020/08/30,0.0
2020/08/31,25.0
2020/09/01,27.0
2020/09/02,31.0
2020/09/03,37.0
2020/09/04,54.0
2020/09/05,9.0
2020/09/06,0.0
2020/09/07,63.0
2020/09/08,32.0
2020/09/09,36.0
2020/09/10,28.0
2020/09/11,36.0
2020/09/12,16.0
2020/09/13,5.0
2020/09/14,54.0
2020/09/15,30.0
2020/09/16,45.0
2020/09/17,41.0
2020/09/18,71.0
2020/09/19,17.0
2020/09/20,5.0
2020/09/21,65.0
2020/09/22,34.0
2020/09/23,53.0
2020/09/24,49.0
2020/09/25,48.0
2020/09/26,16.0
2020/09/27,0.0
2020/09/28,36.0
2020/09/29,40.0
2020/09/30,39.0
2020/10/01,40.0
2020/10/02,63.0
2020/10/03,19.0
2020/10/04,6.0
2020/10/05,101.0
2020/10/06,98.0
2020/10/07,115.0
2020/10/08,100.0
2020/10/09,124.0
2020/10/10,65.0
2020/10/11,7.0
2020/10/12,161.0
2020/10/13,117.0
2020/10/14,125.0
2020/10/15,119.0
2020/10/16,143.0
2020/10/17,63.0
2020/10/18,8.0
2020/10/19,174.0
2020/10/20,180.0
2020/10/21,160.0
2020/10/22,208.0
2020/10/23,177.0
2020/10/24,109.0
2020/10/25,15.0
2020/10/26,252.0
2020/10/27,220.0
2020/10/28,162.0
2020/10/29,159.0
2020/10/30,177.0
2020/10/31,78.0
2020/11/01,17.0
2020/11/02,174.0
2020/11/03,241.0
2020/11/04,136.0
2020/11/05,134.0
2020/11/06,121.0
2020/11/07,56.0
2020/11/08,6.0
2020/11/09,182.0
2020/11/10,140.0
2020/11/11,8.0
2020/11/12,132.0
2020/11/13,72.0
2020/11/14,35.0
2020/11/15,6.0
2020/11/16,111.0
2020/11/17,91.0
2020/11/18,46.0
2020/11/19,53.0
2020/11/20,68.0
2020/11/21,36.0
2020/11/22,5.0
2020/11/23,66.0
2020/11/24,36.0
2020/11/25,33.0
2020/11/26,32.0
2020/11/27,27.0
2020/11/28,18.0
2020/11/29,0.0
2020/11/30,26.0
2020/12/01,22.0
2020/12/02,27.0
2020/12/03,35.0
2020/12/04,36.0
2020/12/05,14.0
2020/12/06,0.0
2020/12/07,28.0
2020/12/08,20.0
2020/12/09,35.0
2020/12/10,17.0
2020/12/11,31.0
2020/12/12,12.0
2020/12/13,0.0
2020/12/14,40.0
2020/12/15,35.0
2020/12/16,37.0
2020/12/17,30.0
2020/12/18,35.0
2020/12/19,15.0
2020/12/20,5.0
2020/12/21,33.0
2020/12/22,37.0
2020/12/23,33.0
2020/12/24,25.0
2020/12/25,2.0
2020/12/26,21.0
2020/12/27,2.0
2020/12/28,39.0
2020/12/29,38.0
2020/12/30,43.0
2020/12/31,27.0
2021/01/01,1.0
2021/01/02,28.0
2021/01/03,2.0
2021/01/04,65.0
2021/01/05,57.0
2021/01/06,63.0
2021/01/07,35.0
2021/01/08,61.0
2021/01/09,20.0
2021/01/10,17.0
2021/01/11,60.0
2021/01/12,58.0
2021/01/13,40.0
2021/01/14,41.0
2021/01/15,50.0
2021/01/16,39.0
2021/01/17,2.0
2021/01/18,65.0
2021/01/19,81.0
2021/01/20,46.0
2021/01/21,75.0
2021/01/22,70.0
2021/01/23,57.0
2021/01/24,15.0
2021/01/25,86.0
2021/01/26,84.0
2021/01/27,69.0
2021/01/28,131.0
2021/01/29,68.0
2021/01/30,38.0
2021/01/31,7.0
2021/02/01,90.0
2021/02/02,78.0
2021/02/03,84.0
2021/02/04,62.0
2021/02/05,60.0
2021/02/06,32.0
2021/02/07,6.0
2021/02/08,85.0
2021/02/09,59.0
2021/02/10,61.0
2021/02/11,47.0
2021/02/12,58.0
2021/02/13,53.0
2021/02/14,8.0
2021/02/15,71.0
2021/02/16,44.0
2021/02/17,45.0
2021/02/18,65.0
2021/02/19,55.0
2021/02/20,27.0
2021/02/21,5.0
2021/02/22,65.0
2021/02/23,51.0
2021/02/24,53.0
2021/02/25,52.0
2021/02/26,63.0
2021/02/27,47.0
2021/02/28,3.0
2021/03/01,73.0
2021/03/02,41.0
2021/03/03,40.0
2021/03/04,52.0
2021/03/05,45.0
2021/03/06,31.0
2021/03/07,10.0
2021/03/08,71.0
2021/03/09,68.0
2021/03/10,67.0
2021/03/11,89.0
2021/03/12,78.0
2021/03/13,56.0
2021/03/14,10.0
2021/03/15,111.0
2021/03/16,84.0
2021/03/17,83.0
2021/03/18,91.0
2021/03/19,103.0
2021/03/20,36.0
2021/03/21,5.0
2021/03/22,102.0
2021/03/23,71.0
2021/03/24,88.0
2021/03/25,92.0
2021/03/26,116.0
2021/03/27,57.0
2021/03/28,3.0
2021/03/29,154.0
2021/03/30,119.0
2021/03/31,100.0
2021/04/01,97.0
2021/04/02,124.0
2021/04/03,61.0
2021/04/04,14.0
2021/04/05,54.0
2021/04/06,148.0
2021/04/07,96.0
2021/04/08,111.0
2021/04/09,106.0
2021/04/10,70.0
2021/04/11,7.0
2021/04/12,134.0
2021/04/13,109.0
2021/04/14,88.0
2021/04/15,90.0
2021/04/16,111.0
2021/04/17,57.0
2021/04/18,8.0
2021/04/19,125.0
2021/04/20,84.0
2021/04/21,106.0
2021/04/22,91.0
2021/04/23,106.0
2021/04/24,41.0
2021/04/25,1.0
2021/04/26,97.0
2021/04/27,89.0
2021/04/28,80.0
2021/04/29,90.0
2021/04/30,64.0
2021/05/01,2.0
2021/05/02,14.0
2021/05/03,90.0
2021/05/04,64.0
2021/05/05,54.0
2021/05/06,44.0
2021/05/07,53.0
2021/05/08,0.0
2021/05/09,10.0
2021/05/10,56.0
2021/05/11,37.0
2021/05/12,46.0
2021/05/13,6.0
2021/05/14,55.0
2021/05/15,25.0
2021/05/16,3.0
2021/05/17,50.0
2021/05/18,34.0
2021/05/19,48.0
2021/05/20,40.0
2021/05/21,46.0
2021/05/22,35.0
2021/05/23,3.0
2021/05/24,14.0
2021/05/25,53.0
2021/05/26,50.0
2021/05/27,48.0
2021/05/28,37.0
2021/05/29,30.0
2021/05/30,2.0
2021/05/31,34.0
