Datas,Tarn
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,6.0
2020/05/14,1.0
2020/05/15,0.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,1.0
2020/05/19,1.0
2020/05/20,3.0
2020/05/21,0.0
2020/05/22,0.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,1.0
2020/05/26,1.0
2020/05/27,0.0
2020/05/28,0.0
2020/05/29,0.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,0.0
2020/06/03,3.0
2020/06/04,0.0
2020/06/05,0.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,1.0
2020/06/09,0.0
2020/06/10,0.0
2020/06/11,0.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,1.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,1.0
2020/06/19,0.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,0.0
2020/06/24,1.0
2020/06/25,0.0
2020/06/26,0.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,0.0
2020/06/30,1.0
2020/07/01,0.0
2020/07/02,1.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,0.0
2020/07/07,1.0
2020/07/08,0.0
2020/07/09,0.0
2020/07/10,0.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,3.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,0.0
2020/07/17,5.0
2020/07/18,2.0
2020/07/19,0.0
2020/07/20,2.0
2020/07/21,1.0
2020/07/22,1.0
2020/07/23,2.0
2020/07/24,2.0
2020/07/25,0.0
2020/07/26,0.0
2020/07/27,0.0
2020/07/28,4.0
2020/07/29,4.0
2020/07/30,4.0
2020/07/31,6.0
2020/08/01,1.0
2020/08/02,0.0
2020/08/03,6.0
2020/08/04,8.0
2020/08/05,13.0
2020/08/06,5.0
2020/08/07,2.0
2020/08/08,2.0
2020/08/09,0.0
2020/08/10,8.0
2020/08/11,14.0
2020/08/12,17.0
2020/08/13,14.0
2020/08/14,19.0
2020/08/15,6.0
2020/08/16,0.0
2020/08/17,45.0
2020/08/18,35.0
2020/08/19,12.0
2020/08/20,25.0
2020/08/21,18.0
2020/08/22,3.0
2020/08/23,1.0
2020/08/24,30.0
2020/08/25,25.0
2020/08/26,34.0
2020/08/27,26.0
2020/08/28,14.0
2020/08/29,12.0
2020/08/30,1.0
2020/08/31,33.0
2020/09/01,25.0
2020/09/02,29.0
2020/09/03,33.0
2020/09/04,44.0
2020/09/05,9.0
2020/09/06,5.0
2020/09/07,36.0
2020/09/08,51.0
2020/09/09,70.0
2020/09/10,75.0
2020/09/11,52.0
2020/09/12,15.0
2020/09/13,0.0
2020/09/14,64.0
2020/09/15,81.0
2020/09/16,47.0
2020/09/17,79.0
2020/09/18,70.0
2020/09/19,12.0
2020/09/20,1.0
2020/09/21,76.0
2020/09/22,87.0
2020/09/23,76.0
2020/09/24,67.0
2020/09/25,65.0
2020/09/26,16.0
2020/09/27,5.0
2020/09/28,127.0
2020/09/29,99.0
2020/09/30,78.0
2020/10/01,73.0
2020/10/02,82.0
2020/10/03,26.0
2020/10/04,2.0
2020/10/05,138.0
2020/10/06,127.0
2020/10/07,144.0
2020/10/08,122.0
2020/10/09,209.0
2020/10/10,40.0
2020/10/11,5.0
2020/10/12,216.0
2020/10/13,216.0
2020/10/14,174.0
2020/10/15,190.0
2020/10/16,207.0
2020/10/17,45.0
2020/10/18,7.0
2020/10/19,294.0
2020/10/20,313.0
2020/10/21,309.0
2020/10/22,325.0
2020/10/23,332.0
2020/10/24,52.0
2020/10/25,19.0
2020/10/26,410.0
2020/10/27,332.0
2020/10/28,355.0
2020/10/29,308.0
2020/10/30,277.0
2020/10/31,50.0
2020/11/01,11.0
2020/11/02,370.0
2020/11/03,384.0
2020/11/04,258.0
2020/11/05,281.0
2020/11/06,299.0
2020/11/07,48.0
2020/11/08,16.0
2020/11/09,222.0
2020/11/10,230.0
2020/11/11,28.0
2020/11/12,203.0
2020/11/13,174.0
2020/11/14,27.0
2020/11/15,7.0
2020/11/16,116.0
2020/11/17,110.0
2020/11/18,78.0
2020/11/19,70.0
2020/11/20,103.0
2020/11/21,15.0
2020/11/22,5.0
2020/11/23,95.0
2020/11/24,72.0
2020/11/25,55.0
2020/11/26,81.0
2020/11/27,86.0
2020/11/28,13.0
2020/11/29,5.0
2020/11/30,140.0
2020/12/01,55.0
2020/12/02,58.0
2020/12/03,61.0
2020/12/04,58.0
2020/12/05,14.0
2020/12/06,4.0
2020/12/07,81.0
2020/12/08,68.0
2020/12/09,57.0
2020/12/10,61.0
2020/12/11,75.0
2020/12/12,21.0
2020/12/13,2.0
2020/12/14,94.0
2020/12/15,108.0
2020/12/16,69.0
2020/12/17,69.0
2020/12/18,100.0
2020/12/19,27.0
2020/12/20,5.0
2020/12/21,153.0
2020/12/22,83.0
2020/12/23,80.0
2020/12/24,143.0
2020/12/25,8.0
2020/12/26,33.0
2020/12/27,8.0
2020/12/28,156.0
2020/12/29,118.0
2020/12/30,140.0
2020/12/31,118.0
2021/01/01,12.0
2021/01/02,52.0
2021/01/03,14.0
2021/01/04,186.0
2021/01/05,154.0
2021/01/06,102.0
2021/01/07,104.0
2021/01/08,93.0
2021/01/09,45.0
2021/01/10,16.0
2021/01/11,206.0
2021/01/12,177.0
2021/01/13,135.0
2021/01/14,249.0
2021/01/15,131.0
2021/01/16,64.0
2021/01/17,18.0
2021/01/18,241.0
2021/01/19,237.0
2021/01/20,161.0
2021/01/21,225.0
2021/01/22,164.0
2021/01/23,59.0
2021/01/24,11.0
2021/01/25,234.0
2021/01/26,207.0
2021/01/27,227.0
2021/01/28,217.0
2021/01/29,174.0
2021/01/30,75.0
2021/01/31,22.0
2021/02/01,252.0
2021/02/02,211.0
2021/02/03,202.0
2021/02/04,166.0
2021/02/05,146.0
2021/02/06,45.0
2021/02/07,8.0
2021/02/08,208.0
2021/02/09,143.0
2021/02/10,94.0
2021/02/11,92.0
2021/02/12,111.0
2021/02/13,44.0
2021/02/14,6.0
2021/02/15,130.0
2021/02/16,135.0
2021/02/17,73.0
2021/02/18,79.0
2021/02/19,68.0
2021/02/20,32.0
2021/02/21,6.0
2021/02/22,117.0
2021/02/23,88.0
2021/02/24,82.0
2021/02/25,98.0
2021/02/26,73.0
2021/02/27,14.0
2021/02/28,9.0
2021/03/01,124.0
2021/03/02,99.0
2021/03/03,118.0
2021/03/04,90.0
2021/03/05,89.0
2021/03/06,48.0
2021/03/07,12.0
2021/03/08,130.0
2021/03/09,99.0
2021/03/10,70.0
2021/03/11,103.0
2021/03/12,105.0
2021/03/13,46.0
2021/03/14,3.0
2021/03/15,154.0
2021/03/16,93.0
2021/03/17,115.0
2021/03/18,105.0
2021/03/19,123.0
2021/03/20,69.0
2021/03/21,9.0
2021/03/22,173.0
2021/03/23,175.0
2021/03/24,169.0
2021/03/25,169.0
2021/03/26,182.0
2021/03/27,86.0
2021/03/28,8.0
2021/03/29,287.0
2021/03/30,241.0
2021/03/31,204.0
2021/04/01,205.0
2021/04/02,205.0
2021/04/03,96.0
2021/04/04,18.0
2021/04/05,17.0
2021/04/06,310.0
2021/04/07,210.0
2021/04/08,196.0
2021/04/09,198.0
2021/04/10,88.0
2021/04/11,7.0
2021/04/12,213.0
2021/04/13,180.0
2021/04/14,176.0
2021/04/15,142.0
2021/04/16,202.0
2021/04/17,58.0
2021/04/18,12.0
2021/04/19,216.0
2021/04/20,138.0
2021/04/21,129.0
2021/04/22,168.0
2021/04/23,157.0
2021/04/24,39.0
2021/04/25,15.0
2021/04/26,184.0
2021/04/27,142.0
2021/04/28,120.0
2021/04/29,119.0
2021/04/30,122.0
2021/05/01,12.0
2021/05/02,10.0
2021/05/03,167.0
2021/05/04,110.0
2021/05/05,75.0
2021/05/06,74.0
2021/05/07,74.0
2021/05/08,8.0
2021/05/09,14.0
2021/05/10,116.0
2021/05/11,62.0
2021/05/12,62.0
2021/05/13,3.0
2021/05/14,54.0
2021/05/15,34.0
2021/05/16,3.0
2021/05/17,92.0
2021/05/18,71.0
2021/05/19,57.0
2021/05/20,62.0
2021/05/21,46.0
2021/05/22,23.0
2021/05/23,1.0
2021/05/24,15.0
2021/05/25,74.0
2021/05/26,43.0
2021/05/27,62.0
2021/05/28,61.0
2021/05/29,34.0
2021/05/30,7.0
2021/05/31,71.0
2021/06/01,56.0
