Datas,Var
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,1.0
2020/05/14,6.0
2020/05/15,2.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,4.0
2020/05/19,9.0
2020/05/20,2.0
2020/05/21,0.0
2020/05/22,4.0
2020/05/23,0.0
2020/05/24,3.0
2020/05/25,2.0
2020/05/26,0.0
2020/05/27,1.0
2020/05/28,5.0
2020/05/29,3.0
2020/05/30,1.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,7.0
2020/06/03,3.0
2020/06/04,8.0
2020/06/05,7.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,1.0
2020/06/09,1.0
2020/06/10,2.0
2020/06/11,1.0
2020/06/12,1.0
2020/06/13,3.0
2020/06/14,0.0
2020/06/15,2.0
2020/06/16,6.0
2020/06/17,1.0
2020/06/18,1.0
2020/06/19,4.0
2020/06/20,2.0
2020/06/21,1.0
2020/06/22,0.0
2020/06/23,1.0
2020/06/24,1.0
2020/06/25,1.0
2020/06/26,3.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,4.0
2020/06/30,3.0
2020/07/01,2.0
2020/07/02,1.0
2020/07/03,6.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,1.0
2020/07/07,2.0
2020/07/08,1.0
2020/07/09,2.0
2020/07/10,6.0
2020/07/11,4.0
2020/07/12,0.0
2020/07/13,8.0
2020/07/14,0.0
2020/07/15,3.0
2020/07/16,1.0
2020/07/17,6.0
2020/07/18,1.0
2020/07/19,2.0
2020/07/20,5.0
2020/07/21,23.0
2020/07/22,4.0
2020/07/23,3.0
2020/07/24,6.0
2020/07/25,3.0
2020/07/26,1.0
2020/07/27,18.0
2020/07/28,13.0
2020/07/29,15.0
2020/07/30,21.0
2020/07/31,16.0
2020/08/01,14.0
2020/08/02,4.0
2020/08/03,42.0
2020/08/04,44.0
2020/08/05,41.0
2020/08/06,40.0
2020/08/07,55.0
2020/08/08,22.0
2020/08/09,4.0
2020/08/10,88.0
2020/08/11,66.0
2020/08/12,75.0
2020/08/13,75.0
2020/08/14,97.0
2020/08/15,9.0
2020/08/16,4.0
2020/08/17,110.0
2020/08/18,89.0
2020/08/19,114.0
2020/08/20,134.0
2020/08/21,110.0
2020/08/22,37.0
2020/08/23,2.0
2020/08/24,179.0
2020/08/25,137.0
2020/08/26,103.0
2020/08/27,136.0
2020/08/28,166.0
2020/08/29,51.0
2020/08/30,8.0
2020/08/31,223.0
2020/09/01,156.0
2020/09/02,123.0
2020/09/03,122.0
2020/09/04,161.0
2020/09/05,47.0
2020/09/06,7.0
2020/09/07,182.0
2020/09/08,142.0
2020/09/09,158.0
2020/09/10,151.0
2020/09/11,158.0
2020/09/12,66.0
2020/09/13,11.0
2020/09/14,191.0
2020/09/15,145.0
2020/09/16,163.0
2020/09/17,122.0
2020/09/18,160.0
2020/09/19,32.0
2020/09/20,3.0
2020/09/21,175.0
2020/09/22,116.0
2020/09/23,104.0
2020/09/24,103.0
2020/09/25,108.0
2020/09/26,27.0
2020/09/27,6.0
2020/09/28,117.0
2020/09/29,100.0
2020/09/30,109.0
2020/10/01,128.0
2020/10/02,140.0
2020/10/03,42.0
2020/10/04,6.0
2020/10/05,232.0
2020/10/06,169.0
2020/10/07,213.0
2020/10/08,199.0
2020/10/09,221.0
2020/10/10,88.0
2020/10/11,14.0
2020/10/12,404.0
2020/10/13,300.0
2020/10/14,371.0
2020/10/15,478.0
2020/10/16,487.0
2020/10/17,225.0
2020/10/18,30.0
2020/10/19,796.0
2020/10/20,659.0
2020/10/21,787.0
2020/10/22,803.0
2020/10/23,887.0
2020/10/24,315.0
2020/10/25,25.0
2020/10/26,1320.0
2020/10/27,1110.0
2020/10/28,890.0
2020/10/29,1010.0
2020/10/30,963.0
2020/10/31,430.0
2020/11/01,54.0
2020/11/02,1327.0
2020/11/03,997.0
2020/11/04,869.0
2020/11/05,861.0
2020/11/06,803.0
2020/11/07,252.0
2020/11/08,43.0
2020/11/09,905.0
2020/11/10,686.0
2020/11/11,31.0
2020/11/12,597.0
2020/11/13,516.0
2020/11/14,154.0
2020/11/15,27.0
2020/11/16,501.0
2020/11/17,348.0
2020/11/18,249.0
2020/11/19,233.0
2020/11/20,260.0
2020/11/21,113.0
2020/11/22,16.0
2020/11/23,332.0
2020/11/24,216.0
2020/11/25,193.0
2020/11/26,201.0
2020/11/27,158.0
2020/11/28,82.0
2020/11/29,9.0
2020/11/30,297.0
2020/12/01,195.0
2020/12/02,181.0
2020/12/03,154.0
2020/12/04,168.0
2020/12/05,74.0
2020/12/06,14.0
2020/12/07,273.0
2020/12/08,204.0
2020/12/09,157.0
2020/12/10,187.0
2020/12/11,179.0
2020/12/12,105.0
2020/12/13,22.0
2020/12/14,247.0
2020/12/15,255.0
2020/12/16,286.0
2020/12/17,290.0
2020/12/18,319.0
2020/12/19,180.0
2020/12/20,30.0
2020/12/21,467.0
2020/12/22,418.0
2020/12/23,384.0
2020/12/24,256.0
2020/12/25,20.0
2020/12/26,211.0
2020/12/27,34.0
2020/12/28,483.0
2020/12/29,388.0
2020/12/30,396.0
2020/12/31,305.0
2021/01/01,30.0
2021/01/02,284.0
2021/01/03,63.0
2021/01/04,691.0
2021/01/05,558.0
2021/01/06,462.0
2021/01/07,447.0
2021/01/08,468.0
2021/01/09,202.0
2021/01/10,55.0
2021/01/11,651.0
2021/01/12,513.0
2021/01/13,450.0
2021/01/14,515.0
2021/01/15,491.0
2021/01/16,282.0
2021/01/17,57.0
2021/01/18,773.0
2021/01/19,623.0
2021/01/20,543.0
2021/01/21,639.0
2021/01/22,500.0
2021/01/23,325.0
2021/01/24,79.0
2021/01/25,807.0
2021/01/26,595.0
2021/01/27,455.0
2021/01/28,512.0
2021/01/29,529.0
2021/01/30,283.0
2021/01/31,52.0
2021/02/01,761.0
2021/02/02,558.0
2021/02/03,469.0
2021/02/04,483.0
2021/02/05,519.0
2021/02/06,269.0
2021/02/07,34.0
2021/02/08,635.0
2021/02/09,493.0
2021/02/10,392.0
2021/02/11,432.0
2021/02/12,428.0
2021/02/13,225.0
2021/02/14,35.0
2021/02/15,705.0
2021/02/16,488.0
2021/02/17,466.0
2021/02/18,465.0
2021/02/19,510.0
2021/02/20,297.0
2021/02/21,45.0
2021/02/22,717.0
2021/02/23,610.0
2021/02/24,481.0
2021/02/25,442.0
2021/02/26,483.0
2021/02/27,279.0
2021/02/28,38.0
2021/03/01,627.0
2021/03/02,468.0
2021/03/03,459.0
2021/03/04,451.0
2021/03/05,483.0
2021/03/06,287.0
2021/03/07,39.0
2021/03/08,683.0
2021/03/09,542.0
2021/03/10,501.0
2021/03/11,503.0
2021/03/12,496.0
2021/03/13,302.0
2021/03/14,55.0
2021/03/15,783.0
2021/03/16,584.0
2021/03/17,522.0
2021/03/18,495.0
2021/03/19,528.0
2021/03/20,364.0
2021/03/21,56.0
2021/03/22,897.0
2021/03/23,701.0
2021/03/24,686.0
2021/03/25,742.0
2021/03/26,699.0
2021/03/27,419.0
2021/03/28,68.0
2021/03/29,994.0
2021/03/30,735.0
2021/03/31,714.0
2021/04/01,676.0
2021/04/02,653.0
2021/04/03,411.0
2021/04/04,55.0
2021/04/05,100.0
2021/04/06,1060.0
2021/04/07,608.0
2021/04/08,568.0
2021/04/09,532.0
2021/04/10,339.0
2021/04/11,57.0
2021/04/12,771.0
2021/04/13,539.0
2021/04/14,473.0
2021/04/15,459.0
2021/04/16,509.0
2021/04/17,271.0
2021/04/18,40.0
2021/04/19,630.0
2021/04/20,456.0
2021/04/21,425.0
2021/04/22,401.0
2021/04/23,407.0
2021/04/24,249.0
2021/04/25,58.0
2021/04/26,528.0
2021/04/27,298.0
2021/04/28,288.0
2021/04/29,263.0
2021/04/30,309.0
2021/05/01,38.0
2021/05/02,28.0
2021/05/03,359.0
2021/05/04,220.0
2021/05/05,216.0
2021/05/06,205.0
2021/05/07,222.0
2021/05/08,24.0
2021/05/09,23.0
2021/05/10,245.0
2021/05/11,157.0
2021/05/12,157.0
2021/05/13,25.0
2021/05/14,180.0
2021/05/15,75.0
2021/05/16,22.0
2021/05/17,170.0
2021/05/18,113.0
2021/05/19,117.0
2021/05/20,91.0
2021/05/21,81.0
2021/05/22,65.0
2021/05/23,15.0
2021/05/24,21.0
2021/05/25,138.0
2021/05/26,95.0
2021/05/27,96.0
2021/05/28,90.0
2021/05/29,48.0
2021/05/30,6.0
2021/05/31,116.0
2021/06/01,66.0
