Datas,Vaucluse
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,2.0
2020/05/14,4.0
2020/05/15,2.0
2020/05/16,0.0
2020/05/17,1.0
2020/05/18,4.0
2020/05/19,2.0
2020/05/20,4.0
2020/05/21,0.0
2020/05/22,0.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,2.0
2020/05/26,2.0
2020/05/27,4.0
2020/05/28,0.0
2020/05/29,0.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,2.0
2020/06/02,3.0
2020/06/03,12.0
2020/06/04,7.0
2020/06/05,0.0
2020/06/06,1.0
2020/06/07,0.0
2020/06/08,2.0
2020/06/09,1.0
2020/06/10,2.0
2020/06/11,1.0
2020/06/12,12.0
2020/06/13,2.0
2020/06/14,0.0
2020/06/15,2.0
2020/06/16,2.0
2020/06/17,6.0
2020/06/18,3.0
2020/06/19,3.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,2.0
2020/06/23,1.0
2020/06/24,3.0
2020/06/25,0.0
2020/06/26,0.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,4.0
2020/06/30,1.0
2020/07/01,6.0
2020/07/02,4.0
2020/07/03,5.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,9.0
2020/07/07,6.0
2020/07/08,6.0
2020/07/09,5.0
2020/07/10,5.0
2020/07/11,3.0
2020/07/12,0.0
2020/07/13,1.0
2020/07/14,1.0
2020/07/15,7.0
2020/07/16,5.0
2020/07/17,2.0
2020/07/18,6.0
2020/07/19,0.0
2020/07/20,5.0
2020/07/21,6.0
2020/07/22,9.0
2020/07/23,8.0
2020/07/24,11.0
2020/07/25,1.0
2020/07/26,0.0
2020/07/27,9.0
2020/07/28,8.0
2020/07/29,9.0
2020/07/30,8.0
2020/07/31,11.0
2020/08/01,7.0
2020/08/02,0.0
2020/08/03,20.0
2020/08/04,11.0
2020/08/05,20.0
2020/08/06,14.0
2020/08/07,21.0
2020/08/08,6.0
2020/08/09,1.0
2020/08/10,18.0
2020/08/11,22.0
2020/08/12,29.0
2020/08/13,32.0
2020/08/14,24.0
2020/08/15,6.0
2020/08/16,2.0
2020/08/17,40.0
2020/08/18,42.0
2020/08/19,61.0
2020/08/20,39.0
2020/08/21,55.0
2020/08/22,11.0
2020/08/23,2.0
2020/08/24,54.0
2020/08/25,70.0
2020/08/26,62.0
2020/08/27,67.0
2020/08/28,80.0
2020/08/29,14.0
2020/08/30,4.0
2020/08/31,107.0
2020/09/01,94.0
2020/09/02,95.0
2020/09/03,103.0
2020/09/04,113.0
2020/09/05,32.0
2020/09/06,5.0
2020/09/07,114.0
2020/09/08,71.0
2020/09/09,92.0
2020/09/10,65.0
2020/09/11,78.0
2020/09/12,30.0
2020/09/13,8.0
2020/09/14,79.0
2020/09/15,88.0
2020/09/16,89.0
2020/09/17,77.0
2020/09/18,94.0
2020/09/19,28.0
2020/09/20,6.0
2020/09/21,74.0
2020/09/22,104.0
2020/09/23,71.0
2020/09/24,57.0
2020/09/25,100.0
2020/09/26,33.0
2020/09/27,3.0
2020/09/28,98.0
2020/09/29,105.0
2020/09/30,83.0
2020/10/01,74.0
2020/10/02,128.0
2020/10/03,46.0
2020/10/04,3.0
2020/10/05,133.0
2020/10/06,154.0
2020/10/07,125.0
2020/10/08,135.0
2020/10/09,222.0
2020/10/10,93.0
2020/10/11,26.0
2020/10/12,244.0
2020/10/13,241.0
2020/10/14,235.0
2020/10/15,274.0
2020/10/16,227.0
2020/10/17,105.0
2020/10/18,20.0
2020/10/19,325.0
2020/10/20,320.0
2020/10/21,397.0
2020/10/22,523.0
2020/10/23,614.0
2020/10/24,252.0
2020/10/25,38.0
2020/10/26,889.0
2020/10/27,800.0
2020/10/28,656.0
2020/10/29,758.0
2020/10/30,639.0
2020/10/31,296.0
2020/11/01,45.0
2020/11/02,859.0
2020/11/03,722.0
2020/11/04,604.0
2020/11/05,616.0
2020/11/06,610.0
2020/11/07,174.0
2020/11/08,17.0
2020/11/09,539.0
2020/11/10,536.0
2020/11/11,69.0
2020/11/12,448.0
2020/11/13,342.0
2020/11/14,101.0
2020/11/15,22.0
2020/11/16,317.0
2020/11/17,254.0
2020/11/18,166.0
2020/11/19,193.0
2020/11/20,143.0
2020/11/21,44.0
2020/11/22,8.0
2020/11/23,176.0
2020/11/24,155.0
2020/11/25,154.0
2020/11/26,128.0
2020/11/27,107.0
2020/11/28,62.0
2020/11/29,15.0
2020/11/30,159.0
2020/12/01,122.0
2020/12/02,144.0
2020/12/03,156.0
2020/12/04,117.0
2020/12/05,46.0
2020/12/06,17.0
2020/12/07,163.0
2020/12/08,138.0
2020/12/09,141.0
2020/12/10,154.0
2020/12/11,151.0
2020/12/12,91.0
2020/12/13,20.0
2020/12/14,273.0
2020/12/15,178.0
2020/12/16,161.0
2020/12/17,155.0
2020/12/18,188.0
2020/12/19,99.0
2020/12/20,23.0
2020/12/21,257.0
2020/12/22,209.0
2020/12/23,213.0
2020/12/24,161.0
2020/12/25,15.0
2020/12/26,76.0
2020/12/27,14.0
2020/12/28,218.0
2020/12/29,209.0
2020/12/30,203.0
2020/12/31,175.0
2021/01/01,15.0
2021/01/02,143.0
2021/01/03,18.0
2021/01/04,355.0
2021/01/05,240.0
2021/01/06,270.0
2021/01/07,252.0
2021/01/08,207.0
2021/01/09,103.0
2021/01/10,11.0
2021/01/11,311.0
2021/01/12,228.0
2021/01/13,216.0
2021/01/14,273.0
2021/01/15,228.0
2021/01/16,115.0
2021/01/17,32.0
2021/01/18,373.0
2021/01/19,289.0
2021/01/20,255.0
2021/01/21,232.0
2021/01/22,240.0
2021/01/23,115.0
2021/01/24,23.0
2021/01/25,292.0
2021/01/26,227.0
2021/01/27,237.0
2021/01/28,224.0
2021/01/29,238.0
2021/01/30,107.0
2021/01/31,15.0
2021/02/01,248.0
2021/02/02,218.0
2021/02/03,205.0
2021/02/04,217.0
2021/02/05,224.0
2021/02/06,83.0
2021/02/07,18.0
2021/02/08,295.0
2021/02/09,221.0
2021/02/10,157.0
2021/02/11,180.0
2021/02/12,196.0
2021/02/13,95.0
2021/02/14,12.0
2021/02/15,224.0
2021/02/16,189.0
2021/02/17,167.0
2021/02/18,184.0
2021/02/19,191.0
2021/02/20,88.0
2021/02/21,19.0
2021/02/22,278.0
2021/02/23,185.0
2021/02/24,176.0
2021/02/25,200.0
2021/02/26,169.0
2021/02/27,79.0
2021/02/28,17.0
2021/03/01,256.0
2021/03/02,176.0
2021/03/03,162.0
2021/03/04,197.0
2021/03/05,183.0
2021/03/06,92.0
2021/03/07,7.0
2021/03/08,276.0
2021/03/09,217.0
2021/03/10,180.0
2021/03/11,198.0
2021/03/12,215.0
2021/03/13,113.0
2021/03/14,22.0
2021/03/15,280.0
2021/03/16,253.0
2021/03/17,279.0
2021/03/18,269.0
2021/03/19,302.0
2021/03/20,160.0
2021/03/21,37.0
2021/03/22,464.0
2021/03/23,327.0
2021/03/24,360.0
2021/03/25,348.0
2021/03/26,390.0
2021/03/27,202.0
2021/03/28,43.0
2021/03/29,544.0
2021/03/30,448.0
2021/03/31,358.0
2021/04/01,322.0
2021/04/02,401.0
2021/04/03,218.0
2021/04/04,49.0
2021/04/05,71.0
2021/04/06,594.0
2021/04/07,413.0
2021/04/08,327.0
2021/04/09,305.0
2021/04/10,209.0
2021/04/11,55.0
2021/04/12,449.0
2021/04/13,356.0
2021/04/14,306.0
2021/04/15,302.0
2021/04/16,335.0
2021/04/17,186.0
2021/04/18,19.0
2021/04/19,416.0
2021/04/20,309.0
2021/04/21,318.0
2021/04/22,300.0
2021/04/23,249.0
2021/04/24,141.0
2021/04/25,35.0
2021/04/26,371.0
2021/04/27,242.0
2021/04/28,212.0
2021/04/29,187.0
2021/04/30,263.0
2021/05/01,34.0
2021/05/02,30.0
2021/05/03,275.0
2021/05/04,166.0
2021/05/05,139.0
2021/05/06,133.0
2021/05/07,113.0
2021/05/08,30.0
2021/05/09,26.0
2021/05/10,179.0
2021/05/11,89.0
2021/05/12,98.0
2021/05/13,14.0
2021/05/14,104.0
2021/05/15,54.0
2021/05/16,17.0
2021/05/17,134.0
2021/05/18,80.0
2021/05/19,103.0
2021/05/20,66.0
2021/05/21,65.0
2021/05/22,46.0
2021/05/23,7.0
2021/05/24,20.0
2021/05/25,102.0
2021/05/26,68.0
2021/05/27,53.0
2021/05/28,53.0
2021/05/29,35.0
2021/05/30,5.0
2021/05/31,68.0
2021/06/01,49.0
