Datas,Vendée
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,6.0
2020/05/14,3.0
2020/05/15,11.0
2020/05/16,5.0
2020/05/17,3.0
2020/05/18,8.0
2020/05/19,3.0
2020/05/20,16.0
2020/05/21,5.0
2020/05/22,7.0
2020/05/23,3.0
2020/05/24,3.0
2020/05/25,4.0
2020/05/26,5.0
2020/05/27,11.0
2020/05/28,11.0
2020/05/29,5.0
2020/05/30,8.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,18.0
2020/06/03,1.0
2020/06/04,2.0
2020/06/05,12.0
2020/06/06,1.0
2020/06/07,0.0
2020/06/08,9.0
2020/06/09,2.0
2020/06/10,2.0
2020/06/11,2.0
2020/06/12,1.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,3.0
2020/06/16,8.0
2020/06/17,1.0
2020/06/18,0.0
2020/06/19,5.0
2020/06/20,2.0
2020/06/21,0.0
2020/06/22,3.0
2020/06/23,4.0
2020/06/24,3.0
2020/06/25,0.0
2020/06/26,0.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,2.0
2020/06/30,1.0
2020/07/01,0.0
2020/07/02,0.0
2020/07/03,5.0
2020/07/04,2.0
2020/07/05,1.0
2020/07/06,2.0
2020/07/07,1.0
2020/07/08,1.0
2020/07/09,1.0
2020/07/10,4.0
2020/07/11,1.0
2020/07/12,0.0
2020/07/13,1.0
2020/07/14,0.0
2020/07/15,1.0
2020/07/16,1.0
2020/07/17,5.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,5.0
2020/07/21,4.0
2020/07/22,2.0
2020/07/23,8.0
2020/07/24,3.0
2020/07/25,4.0
2020/07/26,0.0
2020/07/27,3.0
2020/07/28,2.0
2020/07/29,2.0
2020/07/30,4.0
2020/07/31,5.0
2020/08/01,4.0
2020/08/02,0.0
2020/08/03,6.0
2020/08/04,4.0
2020/08/05,0.0
2020/08/06,4.0
2020/08/07,9.0
2020/08/08,1.0
2020/08/09,0.0
2020/08/10,5.0
2020/08/11,4.0
2020/08/12,3.0
2020/08/13,10.0
2020/08/14,12.0
2020/08/15,1.0
2020/08/16,0.0
2020/08/17,9.0
2020/08/18,6.0
2020/08/19,12.0
2020/08/20,12.0
2020/08/21,14.0
2020/08/22,1.0
2020/08/23,0.0
2020/08/24,6.0
2020/08/25,6.0
2020/08/26,10.0
2020/08/27,19.0
2020/08/28,18.0
2020/08/29,7.0
2020/08/30,0.0
2020/08/31,23.0
2020/09/01,25.0
2020/09/02,18.0
2020/09/03,18.0
2020/09/04,26.0
2020/09/05,9.0
2020/09/06,1.0
2020/09/07,29.0
2020/09/08,32.0
2020/09/09,25.0
2020/09/10,35.0
2020/09/11,18.0
2020/09/12,22.0
2020/09/13,0.0
2020/09/14,30.0
2020/09/15,30.0
2020/09/16,42.0
2020/09/17,48.0
2020/09/18,36.0
2020/09/19,23.0
2020/09/20,3.0
2020/09/21,66.0
2020/09/22,41.0
2020/09/23,91.0
2020/09/24,49.0
2020/09/25,46.0
2020/09/26,19.0
2020/09/27,2.0
2020/09/28,45.0
2020/09/29,32.0
2020/09/30,29.0
2020/10/01,60.0
2020/10/02,50.0
2020/10/03,44.0
2020/10/04,1.0
2020/10/05,87.0
2020/10/06,51.0
2020/10/07,59.0
2020/10/08,101.0
2020/10/09,88.0
2020/10/10,64.0
2020/10/11,5.0
2020/10/12,159.0
2020/10/13,90.0
2020/10/14,129.0
2020/10/15,129.0
2020/10/16,118.0
2020/10/17,78.0
2020/10/18,8.0
2020/10/19,212.0
2020/10/20,201.0
2020/10/21,223.0
2020/10/22,283.0
2020/10/23,290.0
2020/10/24,174.0
2020/10/25,19.0
2020/10/26,434.0
2020/10/27,335.0
2020/10/28,405.0
2020/10/29,352.0
2020/10/30,352.0
2020/10/31,164.0
2020/11/01,20.0
2020/11/02,448.0
2020/11/03,364.0
2020/11/04,351.0
2020/11/05,322.0
2020/11/06,337.0
2020/11/07,159.0
2020/11/08,9.0
2020/11/09,357.0
2020/11/10,217.0
2020/11/11,13.0
2020/11/12,269.0
2020/11/13,221.0
2020/11/14,85.0
2020/11/15,16.0
2020/11/16,227.0
2020/11/17,160.0
2020/11/18,122.0
2020/11/19,112.0
2020/11/20,82.0
2020/11/21,43.0
2020/11/22,7.0
2020/11/23,111.0
2020/11/24,79.0
2020/11/25,74.0
2020/11/26,75.0
2020/11/27,68.0
2020/11/28,39.0
2020/11/29,8.0
2020/11/30,106.0
2020/12/01,53.0
2020/12/02,49.0
2020/12/03,64.0
2020/12/04,78.0
2020/12/05,29.0
2020/12/06,8.0
2020/12/07,89.0
2020/12/08,55.0
2020/12/09,48.0
2020/12/10,116.0
2020/12/11,82.0
2020/12/12,47.0
2020/12/13,10.0
2020/12/14,125.0
2020/12/15,95.0
2020/12/16,83.0
2020/12/17,95.0
2020/12/18,80.0
2020/12/19,53.0
2020/12/20,9.0
2020/12/21,124.0
2020/12/22,96.0
2020/12/23,95.0
2020/12/24,63.0
2020/12/25,4.0
2020/12/26,54.0
2020/12/27,21.0
2020/12/28,153.0
2020/12/29,118.0
2020/12/30,128.0
2020/12/31,86.0
2021/01/01,1.0
2021/01/02,125.0
2021/01/03,14.0
2021/01/04,228.0
2021/01/05,161.0
2021/01/06,137.0
2021/01/07,133.0
2021/01/08,125.0
2021/01/09,64.0
2021/01/10,19.0
2021/01/11,193.0
2021/01/12,163.0
2021/01/13,216.0
2021/01/14,148.0
2021/01/15,158.0
2021/01/16,90.0
2021/01/17,14.0
2021/01/18,241.0
2021/01/19,173.0
2021/01/20,194.0
2021/01/21,159.0
2021/01/22,169.0
2021/01/23,108.0
2021/01/24,29.0
2021/01/25,262.0
2021/01/26,160.0
2021/01/27,148.0
2021/01/28,122.0
2021/01/29,171.0
2021/01/30,108.0
2021/01/31,15.0
2021/02/01,220.0
2021/02/02,146.0
2021/02/03,144.0
2021/02/04,150.0
2021/02/05,126.0
2021/02/06,73.0
2021/02/07,29.0
2021/02/08,198.0
2021/02/09,122.0
2021/02/10,123.0
2021/02/11,138.0
2021/02/12,96.0
2021/02/13,60.0
2021/02/14,21.0
2021/02/15,157.0
2021/02/16,131.0
2021/02/17,171.0
2021/02/18,153.0
2021/02/19,138.0
2021/02/20,88.0
2021/02/21,21.0
2021/02/22,195.0
2021/02/23,157.0
2021/02/24,133.0
2021/02/25,136.0
2021/02/26,117.0
2021/02/27,116.0
2021/02/28,17.0
2021/03/01,183.0
2021/03/02,149.0
2021/03/03,120.0
2021/03/04,130.0
2021/03/05,132.0
2021/03/06,75.0
2021/03/07,23.0
2021/03/08,173.0
2021/03/09,139.0
2021/03/10,123.0
2021/03/11,154.0
2021/03/12,163.0
2021/03/13,127.0
2021/03/14,31.0
2021/03/15,217.0
2021/03/16,162.0
2021/03/17,152.0
2021/03/18,217.0
2021/03/19,229.0
2021/03/20,148.0
2021/03/21,30.0
2021/03/22,272.0
2021/03/23,230.0
2021/03/24,256.0
2021/03/25,281.0
2021/03/26,368.0
2021/03/27,219.0
2021/03/28,50.0
2021/03/29,393.0
2021/03/30,314.0
2021/03/31,320.0
2021/04/01,342.0
2021/04/02,347.0
2021/04/03,189.0
2021/04/04,34.0
2021/04/05,86.0
2021/04/06,381.0
2021/04/07,296.0
2021/04/08,323.0
2021/04/09,318.0
2021/04/10,219.0
2021/04/11,41.0
2021/04/12,378.0
2021/04/13,280.0
2021/04/14,268.0
2021/04/15,276.0
2021/04/16,275.0
2021/04/17,165.0
2021/04/18,34.0
2021/04/19,343.0
2021/04/20,216.0
2021/04/21,211.0
2021/04/22,242.0
2021/04/23,257.0
2021/04/24,147.0
2021/04/25,27.0
2021/04/26,269.0
2021/04/27,176.0
2021/04/28,149.0
2021/04/29,158.0
2021/04/30,152.0
2021/05/01,46.0
2021/05/02,28.0
2021/05/03,195.0
2021/05/04,132.0
2021/05/05,126.0
2021/05/06,115.0
2021/05/07,141.0
2021/05/08,43.0
2021/05/09,18.0
2021/05/10,167.0
2021/05/11,118.0
2021/05/12,104.0
2021/05/13,28.0
2021/05/14,153.0
2021/05/15,84.0
2021/05/16,29.0
2021/05/17,137.0
2021/05/18,99.0
2021/05/19,103.0
2021/05/20,91.0
2021/05/21,99.0
2021/05/22,59.0
2021/05/23,20.0
2021/05/24,34.0
2021/05/25,106.0
2021/05/26,96.0
2021/05/27,98.0
2021/05/28,77.0
2021/05/29,56.0
2021/05/30,8.0
2021/05/31,84.0
2021/06/01,48.0
