Datas,Vienne
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,15.0
2020/05/14,6.0
2020/05/15,4.0
2020/05/16,2.0
2020/05/17,0.0
2020/05/18,14.0
2020/05/19,24.0
2020/05/20,26.0
2020/05/21,0.0
2020/05/22,33.0
2020/05/23,10.0
2020/05/24,0.0
2020/05/25,2.0
2020/05/26,8.0
2020/05/27,13.0
2020/05/28,4.0
2020/05/29,4.0
2020/05/30,2.0
2020/05/31,0.0
2020/06/01,1.0
2020/06/02,0.0
2020/06/03,1.0
2020/06/04,2.0
2020/06/05,0.0
2020/06/06,1.0
2020/06/07,0.0
2020/06/08,1.0
2020/06/09,1.0
2020/06/10,1.0
2020/06/11,0.0
2020/06/12,1.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,1.0
2020/06/19,3.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,1.0
2020/06/24,0.0
2020/06/25,0.0
2020/06/26,2.0
2020/06/27,0.0
2020/06/28,1.0
2020/06/29,0.0
2020/06/30,2.0
2020/07/01,0.0
2020/07/02,1.0
2020/07/03,0.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,4.0
2020/07/07,4.0
2020/07/08,4.0
2020/07/09,0.0
2020/07/10,1.0
2020/07/11,0.0
2020/07/12,1.0
2020/07/13,1.0
2020/07/14,1.0
2020/07/15,0.0
2020/07/16,2.0
2020/07/17,2.0
2020/07/18,2.0
2020/07/19,0.0
2020/07/20,0.0
2020/07/21,3.0
2020/07/22,2.0
2020/07/23,1.0
2020/07/24,0.0
2020/07/25,0.0
2020/07/26,0.0
2020/07/27,4.0
2020/07/28,1.0
2020/07/29,2.0
2020/07/30,1.0
2020/07/31,3.0
2020/08/01,2.0
2020/08/02,0.0
2020/08/03,2.0
2020/08/04,1.0
2020/08/05,1.0
2020/08/06,4.0
2020/08/07,3.0
2020/08/08,4.0
2020/08/09,0.0
2020/08/10,6.0
2020/08/11,10.0
2020/08/12,5.0
2020/08/13,7.0
2020/08/14,8.0
2020/08/15,1.0
2020/08/16,1.0
2020/08/17,9.0
2020/08/18,23.0
2020/08/19,11.0
2020/08/20,17.0
2020/08/21,16.0
2020/08/22,6.0
2020/08/23,1.0
2020/08/24,31.0
2020/08/25,17.0
2020/08/26,18.0
2020/08/27,19.0
2020/08/28,10.0
2020/08/29,12.0
2020/08/30,0.0
2020/08/31,33.0
2020/09/01,41.0
2020/09/02,55.0
2020/09/03,30.0
2020/09/04,40.0
2020/09/05,22.0
2020/09/06,2.0
2020/09/07,55.0
2020/09/08,76.0
2020/09/09,51.0
2020/09/10,60.0
2020/09/11,45.0
2020/09/12,18.0
2020/09/13,7.0
2020/09/14,96.0
2020/09/15,47.0
2020/09/16,38.0
2020/09/17,55.0
2020/09/18,37.0
2020/09/19,30.0
2020/09/20,3.0
2020/09/21,54.0
2020/09/22,65.0
2020/09/23,68.0
2020/09/24,50.0
2020/09/25,49.0
2020/09/26,37.0
2020/09/27,0.0
2020/09/28,31.0
2020/09/29,26.0
2020/09/30,26.0
2020/10/01,27.0
2020/10/02,28.0
2020/10/03,18.0
2020/10/04,5.0
2020/10/05,38.0
2020/10/06,33.0
2020/10/07,46.0
2020/10/08,48.0
2020/10/09,49.0
2020/10/10,37.0
2020/10/11,3.0
2020/10/12,83.0
2020/10/13,54.0
2020/10/14,64.0
2020/10/15,94.0
2020/10/16,96.0
2020/10/17,65.0
2020/10/18,7.0
2020/10/19,143.0
2020/10/20,174.0
2020/10/21,160.0
2020/10/22,220.0
2020/10/23,240.0
2020/10/24,84.0
2020/10/25,21.0
2020/10/26,260.0
2020/10/27,261.0
2020/10/28,241.0
2020/10/29,266.0
2020/10/30,218.0
2020/10/31,130.0
2020/11/01,20.0
2020/11/02,338.0
2020/11/03,259.0
2020/11/04,213.0
2020/11/05,186.0
2020/11/06,160.0
2020/11/07,79.0
2020/11/08,11.0
2020/11/09,229.0
2020/11/10,191.0
2020/11/11,39.0
2020/11/12,200.0
2020/11/13,127.0
2020/11/14,62.0
2020/11/15,6.0
2020/11/16,141.0
2020/11/17,98.0
2020/11/18,85.0
2020/11/19,80.0
2020/11/20,99.0
2020/11/21,40.0
2020/11/22,7.0
2020/11/23,97.0
2020/11/24,65.0
2020/11/25,46.0
2020/11/26,49.0
2020/11/27,40.0
2020/11/28,19.0
2020/11/29,4.0
2020/11/30,80.0
2020/12/01,49.0
2020/12/02,37.0
2020/12/03,39.0
2020/12/04,53.0
2020/12/05,25.0
2020/12/06,8.0
2020/12/07,68.0
2020/12/08,76.0
2020/12/09,56.0
2020/12/10,55.0
2020/12/11,44.0
2020/12/12,25.0
2020/12/13,4.0
2020/12/14,58.0
2020/12/15,62.0
2020/12/16,60.0
2020/12/17,51.0
2020/12/18,34.0
2020/12/19,22.0
2020/12/20,2.0
2020/12/21,60.0
2020/12/22,41.0
2020/12/23,41.0
2020/12/24,21.0
2020/12/25,0.0
2020/12/26,19.0
2020/12/27,3.0
2020/12/28,44.0
2020/12/29,54.0
2020/12/30,54.0
2020/12/31,55.0
2021/01/01,3.0
2021/01/02,44.0
2021/01/03,6.0
2021/01/04,69.0
2021/01/05,62.0
2021/01/06,82.0
2021/01/07,67.0
2021/01/08,98.0
2021/01/09,49.0
2021/01/10,8.0
2021/01/11,74.0
2021/01/12,81.0
2021/01/13,81.0
2021/01/14,103.0
2021/01/15,121.0
2021/01/16,64.0
2021/01/17,11.0
2021/01/18,119.0
2021/01/19,82.0
2021/01/20,106.0
2021/01/21,150.0
2021/01/22,121.0
2021/01/23,72.0
2021/01/24,14.0
2021/01/25,206.0
2021/01/26,149.0
2021/01/27,117.0
2021/01/28,156.0
2021/01/29,112.0
2021/01/30,62.0
2021/01/31,9.0
2021/02/01,141.0
2021/02/02,151.0
2021/02/03,120.0
2021/02/04,179.0
2021/02/05,124.0
2021/02/06,69.0
2021/02/07,14.0
2021/02/08,141.0
2021/02/09,110.0
2021/02/10,57.0
2021/02/11,92.0
2021/02/12,92.0
2021/02/13,46.0
2021/02/14,20.0
2021/02/15,136.0
2021/02/16,113.0
2021/02/17,85.0
2021/02/18,101.0
2021/02/19,124.0
2021/02/20,77.0
2021/02/21,11.0
2021/02/22,211.0
2021/02/23,144.0
2021/02/24,153.0
2021/02/25,103.0
2021/02/26,93.0
2021/02/27,77.0
2021/02/28,9.0
2021/03/01,129.0
2021/03/02,149.0
2021/03/03,125.0
2021/03/04,113.0
2021/03/05,113.0
2021/03/06,88.0
2021/03/07,25.0
2021/03/08,148.0
2021/03/09,162.0
2021/03/10,147.0
2021/03/11,133.0
2021/03/12,144.0
2021/03/13,84.0
2021/03/14,10.0
2021/03/15,235.0
2021/03/16,146.0
2021/03/17,144.0
2021/03/18,143.0
2021/03/19,163.0
2021/03/20,74.0
2021/03/21,16.0
2021/03/22,179.0
2021/03/23,144.0
2021/03/24,158.0
2021/03/25,161.0
2021/03/26,145.0
2021/03/27,130.0
2021/03/28,16.0
2021/03/29,251.0
2021/03/30,185.0
2021/03/31,203.0
2021/04/01,193.0
2021/04/02,164.0
2021/04/03,118.0
2021/04/04,12.0
2021/04/05,77.0
2021/04/06,260.0
2021/04/07,178.0
2021/04/08,201.0
2021/04/09,196.0
2021/04/10,128.0
2021/04/11,14.0
2021/04/12,193.0
2021/04/13,173.0
2021/04/14,161.0
2021/04/15,173.0
2021/04/16,149.0
2021/04/17,102.0
2021/04/18,6.0
2021/04/19,191.0
2021/04/20,149.0
2021/04/21,128.0
2021/04/22,154.0
2021/04/23,157.0
2021/04/24,83.0
2021/04/25,13.0
2021/04/26,165.0
2021/04/27,120.0
2021/04/28,67.0
2021/04/29,77.0
2021/04/30,86.0
2021/05/01,21.0
2021/05/02,5.0
2021/05/03,136.0
2021/05/04,82.0
2021/05/05,91.0
2021/05/06,87.0
2021/05/07,89.0
2021/05/08,27.0
2021/05/09,7.0
2021/05/10,102.0
2021/05/11,83.0
2021/05/12,78.0
2021/05/13,23.0
2021/05/14,56.0
2021/05/15,31.0
2021/05/16,9.0
2021/05/17,93.0
2021/05/18,67.0
2021/05/19,52.0
2021/05/20,47.0
2021/05/21,48.0
2021/05/22,37.0
2021/05/23,6.0
2021/05/24,21.0
2021/05/25,61.0
2021/05/26,57.0
2021/05/27,50.0
2021/05/28,59.0
2021/05/29,23.0
2021/05/30,1.0
2021/05/31,42.0
2021/06/01,40.0
