Datas,Vosges
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,9.0
2020/05/14,6.0
2020/05/15,2.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,6.0
2020/05/19,4.0
2020/05/20,6.0
2020/05/21,2.0
2020/05/22,7.0
2020/05/23,2.0
2020/05/24,0.0
2020/05/25,5.0
2020/05/26,2.0
2020/05/27,1.0
2020/05/28,5.0
2020/05/29,6.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,4.0
2020/06/03,2.0
2020/06/04,2.0
2020/06/05,0.0
2020/06/06,2.0
2020/06/07,0.0
2020/06/08,5.0
2020/06/09,4.0
2020/06/10,0.0
2020/06/11,3.0
2020/06/12,3.0
2020/06/13,1.0
2020/06/14,1.0
2020/06/15,3.0
2020/06/16,2.0
2020/06/17,1.0
2020/06/18,1.0
2020/06/19,6.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,3.0
2020/06/23,1.0
2020/06/24,2.0
2020/06/25,0.0
2020/06/26,2.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,3.0
2020/06/30,5.0
2020/07/01,2.0
2020/07/02,3.0
2020/07/03,1.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,1.0
2020/07/07,4.0
2020/07/08,7.0
2020/07/09,5.0
2020/07/10,1.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,14.0
2020/07/14,1.0
2020/07/15,20.0
2020/07/16,27.0
2020/07/17,6.0
2020/07/18,7.0
2020/07/19,0.0
2020/07/20,11.0
2020/07/21,8.0
2020/07/22,12.0
2020/07/23,3.0
2020/07/24,7.0
2020/07/25,2.0
2020/07/26,1.0
2020/07/27,4.0
2020/07/28,6.0
2020/07/29,3.0
2020/07/30,3.0
2020/07/31,6.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,3.0
2020/08/04,2.0
2020/08/05,3.0
2020/08/06,2.0
2020/08/07,2.0
2020/08/08,1.0
2020/08/09,0.0
2020/08/10,11.0
2020/08/11,14.0
2020/08/12,8.0
2020/08/13,9.0
2020/08/14,5.0
2020/08/15,0.0
2020/08/16,0.0
2020/08/17,2.0
2020/08/18,10.0
2020/08/19,12.0
2020/08/20,3.0
2020/08/21,12.0
2020/08/22,2.0
2020/08/23,0.0
2020/08/24,4.0
2020/08/25,12.0
2020/08/26,12.0
2020/08/27,8.0
2020/08/28,13.0
2020/08/29,7.0
2020/08/30,2.0
2020/08/31,16.0
2020/09/01,10.0
2020/09/02,8.0
2020/09/03,11.0
2020/09/04,8.0
2020/09/05,6.0
2020/09/06,1.0
2020/09/07,13.0
2020/09/08,7.0
2020/09/09,11.0
2020/09/10,14.0
2020/09/11,15.0
2020/09/12,5.0
2020/09/13,1.0
2020/09/14,27.0
2020/09/15,12.0
2020/09/16,10.0
2020/09/17,4.0
2020/09/18,13.0
2020/09/19,4.0
2020/09/20,0.0
2020/09/21,24.0
2020/09/22,10.0
2020/09/23,14.0
2020/09/24,7.0
2020/09/25,11.0
2020/09/26,2.0
2020/09/27,1.0
2020/09/28,19.0
2020/09/29,15.0
2020/09/30,12.0
2020/10/01,19.0
2020/10/02,17.0
2020/10/03,11.0
2020/10/04,0.0
2020/10/05,23.0
2020/10/06,29.0
2020/10/07,26.0
2020/10/08,38.0
2020/10/09,66.0
2020/10/10,19.0
2020/10/11,3.0
2020/10/12,67.0
2020/10/13,59.0
2020/10/14,96.0
2020/10/15,102.0
2020/10/16,94.0
2020/10/17,76.0
2020/10/18,2.0
2020/10/19,182.0
2020/10/20,147.0
2020/10/21,165.0
2020/10/22,220.0
2020/10/23,230.0
2020/10/24,86.0
2020/10/25,12.0
2020/10/26,357.0
2020/10/27,241.0
2020/10/28,239.0
2020/10/29,252.0
2020/10/30,296.0
2020/10/31,124.0
2020/11/01,26.0
2020/11/02,416.0
2020/11/03,300.0
2020/11/04,253.0
2020/11/05,241.0
2020/11/06,237.0
2020/11/07,111.0
2020/11/08,15.0
2020/11/09,260.0
2020/11/10,269.0
2020/11/11,20.0
2020/11/12,225.0
2020/11/13,180.0
2020/11/14,59.0
2020/11/15,8.0
2020/11/16,197.0
2020/11/17,108.0
2020/11/18,76.0
2020/11/19,109.0
2020/11/20,91.0
2020/11/21,37.0
2020/11/22,10.0
2020/11/23,83.0
2020/11/24,59.0
2020/11/25,72.0
2020/11/26,113.0
2020/11/27,88.0
2020/11/28,43.0
2020/11/29,15.0
2020/11/30,150.0
2020/12/01,95.0
2020/12/02,98.0
2020/12/03,164.0
2020/12/04,117.0
2020/12/05,61.0
2020/12/06,18.0
2020/12/07,168.0
2020/12/08,165.0
2020/12/09,161.0
2020/12/10,188.0
2020/12/11,151.0
2020/12/12,89.0
2020/12/13,14.0
2020/12/14,247.0
2020/12/15,245.0
2020/12/16,185.0
2020/12/17,164.0
2020/12/18,202.0
2020/12/19,124.0
2020/12/20,38.0
2020/12/21,212.0
2020/12/22,165.0
2020/12/23,170.0
2020/12/24,139.0
2020/12/25,7.0
2020/12/26,83.0
2020/12/27,13.0
2020/12/28,209.0
2020/12/29,185.0
2020/12/30,160.0
2020/12/31,125.0
2021/01/01,8.0
2021/01/02,121.0
2021/01/03,15.0
2021/01/04,199.0
2021/01/05,150.0
2021/01/06,131.0
2021/01/07,114.0
2021/01/08,133.0
2021/01/09,87.0
2021/01/10,6.0
2021/01/11,184.0
2021/01/12,119.0
2021/01/13,88.0
2021/01/14,111.0
2021/01/15,96.0
2021/01/16,87.0
2021/01/17,4.0
2021/01/18,157.0
2021/01/19,128.0
2021/01/20,106.0
2021/01/21,111.0
2021/01/22,109.0
2021/01/23,69.0
2021/01/24,4.0
2021/01/25,140.0
2021/01/26,107.0
2021/01/27,95.0
2021/01/28,82.0
2021/01/29,103.0
2021/01/30,70.0
2021/01/31,6.0
2021/02/01,143.0
2021/02/02,80.0
2021/02/03,83.0
2021/02/04,88.0
2021/02/05,97.0
2021/02/06,76.0
2021/02/07,15.0
2021/02/08,128.0
2021/02/09,72.0
2021/02/10,55.0
2021/02/11,58.0
2021/02/12,53.0
2021/02/13,43.0
2021/02/14,5.0
2021/02/15,81.0
2021/02/16,58.0
2021/02/17,61.0
2021/02/18,66.0
2021/02/19,52.0
2021/02/20,35.0
2021/02/21,7.0
2021/02/22,82.0
2021/02/23,55.0
2021/02/24,56.0
2021/02/25,52.0
2021/02/26,42.0
2021/02/27,41.0
2021/02/28,12.0
2021/03/01,69.0
2021/03/02,54.0
2021/03/03,61.0
2021/03/04,65.0
2021/03/05,98.0
2021/03/06,56.0
2021/03/07,3.0
2021/03/08,100.0
2021/03/09,86.0
2021/03/10,67.0
2021/03/11,70.0
2021/03/12,83.0
2021/03/13,86.0
2021/03/14,15.0
2021/03/15,133.0
2021/03/16,74.0
2021/03/17,106.0
2021/03/18,88.0
2021/03/19,108.0
2021/03/20,81.0
2021/03/21,10.0
2021/03/22,177.0
2021/03/23,187.0
2021/03/24,137.0
2021/03/25,178.0
2021/03/26,198.0
2021/03/27,139.0
2021/03/28,7.0
2021/03/29,246.0
2021/03/30,194.0
2021/03/31,157.0
2021/04/01,189.0
2021/04/02,156.0
2021/04/03,139.0
2021/04/04,23.0
2021/04/05,20.0
2021/04/06,248.0
2021/04/07,183.0
2021/04/08,193.0
2021/04/09,181.0
2021/04/10,137.0
2021/04/11,20.0
2021/04/12,246.0
2021/04/13,180.0
2021/04/14,158.0
2021/04/15,139.0
2021/04/16,152.0
2021/04/17,108.0
2021/04/18,12.0
2021/04/19,189.0
2021/04/20,149.0
2021/04/21,143.0
2021/04/22,127.0
2021/04/23,132.0
2021/04/24,78.0
2021/04/25,5.0
2021/04/26,154.0
2021/04/27,116.0
2021/04/28,96.0
2021/04/29,97.0
2021/04/30,99.0
2021/05/01,11.0
2021/05/02,12.0
2021/05/03,112.0
2021/05/04,79.0
2021/05/05,79.0
2021/05/06,86.0
2021/05/07,81.0
2021/05/08,12.0
2021/05/09,6.0
2021/05/10,111.0
2021/05/11,72.0
2021/05/12,69.0
2021/05/13,7.0
2021/05/14,109.0
2021/05/15,51.0
2021/05/16,6.0
2021/05/17,85.0
2021/05/18,62.0
2021/05/19,47.0
2021/05/20,45.0
2021/05/21,77.0
2021/05/22,41.0
2021/05/23,6.0
2021/05/24,8.0
2021/05/25,84.0
2021/05/26,53.0
2021/05/27,49.0
2021/05/28,67.0
2021/05/29,25.0
2021/05/30,1.0
2021/05/31,61.0
2021/06/01,53.0
