Datas,Yonne
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,3.0
2020/05/14,0.0
2020/05/15,3.0
2020/05/16,8.0
2020/05/17,3.0
2020/05/18,2.0
2020/05/19,8.0
2020/05/20,5.0
2020/05/21,2.0
2020/05/22,2.0
2020/05/23,5.0
2020/05/24,2.0
2020/05/25,0.0
2020/05/26,2.0
2020/05/27,1.0
2020/05/28,0.0
2020/05/29,0.0
2020/05/30,1.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,7.0
2020/06/03,6.0
2020/06/04,2.0
2020/06/05,3.0
2020/06/06,2.0
2020/06/07,0.0
2020/06/08,1.0
2020/06/09,0.0
2020/06/10,1.0
2020/06/11,1.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,2.0
2020/06/17,0.0
2020/06/18,0.0
2020/06/19,0.0
2020/06/20,1.0
2020/06/21,0.0
2020/06/22,1.0
2020/06/23,2.0
2020/06/24,2.0
2020/06/25,2.0
2020/06/26,0.0
2020/06/27,3.0
2020/06/28,4.0
2020/06/29,0.0
2020/06/30,0.0
2020/07/01,1.0
2020/07/02,1.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,1.0
2020/07/06,0.0
2020/07/07,2.0
2020/07/08,0.0
2020/07/09,1.0
2020/07/10,2.0
2020/07/11,5.0
2020/07/12,1.0
2020/07/13,0.0
2020/07/14,1.0
2020/07/15,3.0
2020/07/16,2.0
2020/07/17,2.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,2.0
2020/07/21,2.0
2020/07/22,0.0
2020/07/23,5.0
2020/07/24,3.0
2020/07/25,1.0
2020/07/26,3.0
2020/07/27,4.0
2020/07/28,2.0
2020/07/29,5.0
2020/07/30,2.0
2020/07/31,3.0
2020/08/01,1.0
2020/08/02,0.0
2020/08/03,4.0
2020/08/04,4.0
2020/08/05,6.0
2020/08/06,8.0
2020/08/07,2.0
2020/08/08,1.0
2020/08/09,0.0
2020/08/10,2.0
2020/08/11,3.0
2020/08/12,5.0
2020/08/13,5.0
2020/08/14,4.0
2020/08/15,3.0
2020/08/16,1.0
2020/08/17,8.0
2020/08/18,11.0
2020/08/19,4.0
2020/08/20,11.0
2020/08/21,13.0
2020/08/22,8.0
2020/08/23,8.0
2020/08/24,17.0
2020/08/25,16.0
2020/08/26,25.0
2020/08/27,14.0
2020/08/28,26.0
2020/08/29,9.0
2020/08/30,1.0
2020/08/31,36.0
2020/09/01,16.0
2020/09/02,12.0
2020/09/03,19.0
2020/09/04,13.0
2020/09/05,2.0
2020/09/06,2.0
2020/09/07,20.0
2020/09/08,15.0
2020/09/09,15.0
2020/09/10,28.0
2020/09/11,42.0
2020/09/12,16.0
2020/09/13,5.0
2020/09/14,38.0
2020/09/15,32.0
2020/09/16,28.0
2020/09/17,36.0
2020/09/18,43.0
2020/09/19,24.0
2020/09/20,2.0
2020/09/21,49.0
2020/09/22,80.0
2020/09/23,37.0
2020/09/24,44.0
2020/09/25,25.0
2020/09/26,23.0
2020/09/27,2.0
2020/09/28,52.0
2020/09/29,40.0
2020/09/30,34.0
2020/10/01,25.0
2020/10/02,47.0
2020/10/03,27.0
2020/10/04,1.0
2020/10/05,57.0
2020/10/06,46.0
2020/10/07,74.0
2020/10/08,57.0
2020/10/09,74.0
2020/10/10,29.0
2020/10/11,9.0
2020/10/12,107.0
2020/10/13,101.0
2020/10/14,102.0
2020/10/15,105.0
2020/10/16,88.0
2020/10/17,131.0
2020/10/18,16.0
2020/10/19,163.0
2020/10/20,241.0
2020/10/21,186.0
2020/10/22,191.0
2020/10/23,249.0
2020/10/24,197.0
2020/10/25,28.0
2020/10/26,305.0
2020/10/27,265.0
2020/10/28,286.0
2020/10/29,286.0
2020/10/30,306.0
2020/10/31,200.0
2020/11/01,26.0
2020/11/02,296.0
2020/11/03,333.0
2020/11/04,336.0
2020/11/05,277.0
2020/11/06,291.0
2020/11/07,188.0
2020/11/08,28.0
2020/11/09,279.0
2020/11/10,341.0
2020/11/11,25.0
2020/11/12,243.0
2020/11/13,200.0
2020/11/14,161.0
2020/11/15,23.0
2020/11/16,203.0
2020/11/17,235.0
2020/11/18,179.0
2020/11/19,140.0
2020/11/20,148.0
2020/11/21,97.0
2020/11/22,10.0
2020/11/23,143.0
2020/11/24,194.0
2020/11/25,138.0
2020/11/26,120.0
2020/11/27,116.0
2020/11/28,83.0
2020/11/29,17.0
2020/11/30,152.0
2020/12/01,88.0
2020/12/02,104.0
2020/12/03,116.0
2020/12/04,123.0
2020/12/05,67.0
2020/12/06,16.0
2020/12/07,159.0
2020/12/08,136.0
2020/12/09,166.0
2020/12/10,127.0
2020/12/11,156.0
2020/12/12,79.0
2020/12/13,20.0
2020/12/14,180.0
2020/12/15,159.0
2020/12/16,153.0
2020/12/17,79.0
2020/12/18,141.0
2020/12/19,70.0
2020/12/20,11.0
2020/12/21,172.0
2020/12/22,130.0
2020/12/23,95.0
2020/12/24,97.0
2020/12/25,6.0
2020/12/26,67.0
2020/12/27,21.0
2020/12/28,145.0
2020/12/29,147.0
2020/12/30,120.0
2020/12/31,125.0
2021/01/01,5.0
2021/01/02,78.0
2021/01/03,20.0
2021/01/04,139.0
2021/01/05,149.0
2021/01/06,79.0
2021/01/07,87.0
2021/01/08,86.0
2021/01/09,75.0
2021/01/10,14.0
2021/01/11,123.0
2021/01/12,83.0
2021/01/13,90.0
2021/01/14,79.0
2021/01/15,91.0
2021/01/16,52.0
2021/01/17,15.0
2021/01/18,99.0
2021/01/19,109.0
2021/01/20,70.0
2021/01/21,90.0
2021/01/22,80.0
2021/01/23,62.0
2021/01/24,8.0
2021/01/25,146.0
2021/01/26,137.0
2021/01/27,78.0
2021/01/28,84.0
2021/01/29,78.0
2021/01/30,56.0
2021/01/31,7.0
2021/02/01,131.0
2021/02/02,100.0
2021/02/03,81.0
2021/02/04,102.0
2021/02/05,78.0
2021/02/06,47.0
2021/02/07,7.0
2021/02/08,98.0
2021/02/09,63.0
2021/02/10,71.0
2021/02/11,67.0
2021/02/12,46.0
2021/02/13,23.0
2021/02/14,3.0
2021/02/15,88.0
2021/02/16,53.0
2021/02/17,66.0
2021/02/18,59.0
2021/02/19,90.0
2021/02/20,58.0
2021/02/21,11.0
2021/02/22,118.0
2021/02/23,96.0
2021/02/24,77.0
2021/02/25,90.0
2021/02/26,83.0
2021/02/27,51.0
2021/02/28,9.0
2021/03/01,133.0
2021/03/02,105.0
2021/03/03,93.0
2021/03/04,84.0
2021/03/05,86.0
2021/03/06,45.0
2021/03/07,11.0
2021/03/08,110.0
2021/03/09,95.0
2021/03/10,95.0
2021/03/11,102.0
2021/03/12,101.0
2021/03/13,62.0
2021/03/14,19.0
2021/03/15,158.0
2021/03/16,117.0
2021/03/17,113.0
2021/03/18,109.0
2021/03/19,116.0
2021/03/20,101.0
2021/03/21,14.0
2021/03/22,161.0
2021/03/23,168.0
2021/03/24,127.0
2021/03/25,125.0
2021/03/26,128.0
2021/03/27,84.0
2021/03/28,19.0
2021/03/29,175.0
2021/03/30,175.0
2021/03/31,123.0
2021/04/01,186.0
2021/04/02,158.0
2021/04/03,106.0
2021/04/04,30.0
2021/04/05,27.0
2021/04/06,235.0
2021/04/07,187.0
2021/04/08,158.0
2021/04/09,147.0
2021/04/10,135.0
2021/04/11,16.0
2021/04/12,175.0
2021/04/13,123.0
2021/04/14,120.0
2021/04/15,146.0
2021/04/16,137.0
2021/04/17,116.0
2021/04/18,18.0
2021/04/19,179.0
2021/04/20,150.0
2021/04/21,118.0
2021/04/22,132.0
2021/04/23,163.0
2021/04/24,108.0
2021/04/25,11.0
2021/04/26,177.0
2021/04/27,116.0
2021/04/28,81.0
2021/04/29,89.0
2021/04/30,105.0
2021/05/01,11.0
2021/05/02,14.0
2021/05/03,125.0
2021/05/04,60.0
2021/05/05,86.0
2021/05/06,105.0
2021/05/07,103.0
2021/05/08,16.0
2021/05/09,16.0
2021/05/10,104.0
2021/05/11,86.0
2021/05/12,105.0
2021/05/13,3.0
2021/05/14,81.0
2021/05/15,50.0
2021/05/16,10.0
2021/05/17,128.0
2021/05/18,84.0
2021/05/19,65.0
2021/05/20,49.0
2021/05/21,73.0
2021/05/22,44.0
2021/05/23,6.0
2021/05/24,13.0
2021/05/25,87.0
2021/05/26,38.0
2021/05/27,44.0
2021/05/28,44.0
2021/05/29,36.0
2021/05/30,12.0
2021/05/31,70.0
2021/06/01,48.0
