Datas,Yvelines
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,32.0
2020/05/14,21.0
2020/05/15,32.0
2020/05/16,15.0
2020/05/17,4.0
2020/05/18,29.0
2020/05/19,44.0
2020/05/20,42.0
2020/05/21,0.0
2020/05/22,14.0
2020/05/23,10.0
2020/05/24,5.0
2020/05/25,33.0
2020/05/26,30.0
2020/05/27,26.0
2020/05/28,18.0
2020/05/29,32.0
2020/05/30,11.0
2020/05/31,6.0
2020/06/01,2.0
2020/06/02,24.0
2020/06/03,23.0
2020/06/04,17.0
2020/06/05,13.0
2020/06/06,6.0
2020/06/07,2.0
2020/06/08,18.0
2020/06/09,10.0
2020/06/10,17.0
2020/06/11,6.0
2020/06/12,19.0
2020/06/13,8.0
2020/06/14,3.0
2020/06/15,20.0
2020/06/16,16.0
2020/06/17,20.0
2020/06/18,16.0
2020/06/19,20.0
2020/06/20,4.0
2020/06/21,2.0
2020/06/22,25.0
2020/06/23,19.0
2020/06/24,18.0
2020/06/25,17.0
2020/06/26,20.0
2020/06/27,1.0
2020/06/28,4.0
2020/06/29,12.0
2020/06/30,16.0
2020/07/01,8.0
2020/07/02,21.0
2020/07/03,14.0
2020/07/04,9.0
2020/07/05,2.0
2020/07/06,19.0
2020/07/07,14.0
2020/07/08,24.0
2020/07/09,15.0
2020/07/10,15.0
2020/07/11,15.0
2020/07/12,2.0
2020/07/13,19.0
2020/07/14,3.0
2020/07/15,19.0
2020/07/16,32.0
2020/07/17,31.0
2020/07/18,23.0
2020/07/19,9.0
2020/07/20,27.0
2020/07/21,28.0
2020/07/22,48.0
2020/07/23,19.0
2020/07/24,31.0
2020/07/25,17.0
2020/07/26,7.0
2020/07/27,39.0
2020/07/28,42.0
2020/07/29,56.0
2020/07/30,39.0
2020/07/31,62.0
2020/08/01,11.0
2020/08/02,4.0
2020/08/03,94.0
2020/08/04,100.0
2020/08/05,67.0
2020/08/06,59.0
2020/08/07,69.0
2020/08/08,17.0
2020/08/09,6.0
2020/08/10,51.0
2020/08/11,72.0
2020/08/12,66.0
2020/08/13,97.0
2020/08/14,106.0
2020/08/15,15.0
2020/08/16,32.0
2020/08/17,124.0
2020/08/18,97.0
2020/08/19,87.0
2020/08/20,96.0
2020/08/21,95.0
2020/08/22,34.0
2020/08/23,17.0
2020/08/24,145.0
2020/08/25,191.0
2020/08/26,134.0
2020/08/27,163.0
2020/08/28,187.0
2020/08/29,65.0
2020/08/30,29.0
2020/08/31,191.0
2020/09/01,230.0
2020/09/02,211.0
2020/09/03,203.0
2020/09/04,213.0
2020/09/05,84.0
2020/09/06,31.0
2020/09/07,263.0
2020/09/08,295.0
2020/09/09,245.0
2020/09/10,299.0
2020/09/11,294.0
2020/09/12,107.0
2020/09/13,30.0
2020/09/14,325.0
2020/09/15,299.0
2020/09/16,313.0
2020/09/17,333.0
2020/09/18,300.0
2020/09/19,134.0
2020/09/20,53.0
2020/09/21,361.0
2020/09/22,293.0
2020/09/23,361.0
2020/09/24,332.0
2020/09/25,316.0
2020/09/26,131.0
2020/09/27,23.0
2020/09/28,350.0
2020/09/29,329.0
2020/09/30,290.0
2020/10/01,404.0
2020/10/02,424.0
2020/10/03,169.0
2020/10/04,44.0
2020/10/05,622.0
2020/10/06,520.0
2020/10/07,609.0
2020/10/08,650.0
2020/10/09,642.0
2020/10/10,273.0
2020/10/11,54.0
2020/10/12,788.0
2020/10/13,790.0
2020/10/14,692.0
2020/10/15,839.0
2020/10/16,858.0
2020/10/17,285.0
2020/10/18,67.0
2020/10/19,1054.0
2020/10/20,1126.0
2020/10/21,1104.0
2020/10/22,1264.0
2020/10/23,1238.0
2020/10/24,530.0
2020/10/25,123.0
2020/10/26,1526.0
2020/10/27,1302.0
2020/10/28,1217.0
2020/10/29,1173.0
2020/10/30,1165.0
2020/10/31,510.0
2020/11/01,102.0
2020/11/02,1371.0
2020/11/03,1031.0
2020/11/04,772.0
2020/11/05,906.0
2020/11/06,724.0
2020/11/07,278.0
2020/11/08,105.0
2020/11/09,820.0
2020/11/10,652.0
2020/11/11,134.0
2020/11/12,623.0
2020/11/13,439.0
2020/11/14,165.0
2020/11/15,50.0
2020/11/16,567.0
2020/11/17,415.0
2020/11/18,299.0
2020/11/19,326.0
2020/11/20,288.0
2020/11/21,134.0
2020/11/22,34.0
2020/11/23,377.0
2020/11/24,257.0
2020/11/25,250.0
2020/11/26,245.0
2020/11/27,237.0
2020/11/28,108.0
2020/11/29,34.0
2020/11/30,307.0
2020/12/01,261.0
2020/12/02,239.0
2020/12/03,217.0
2020/12/04,249.0
2020/12/05,145.0
2020/12/06,33.0
2020/12/07,372.0
2020/12/08,237.0
2020/12/09,210.0
2020/12/10,270.0
2020/12/11,259.0
2020/12/12,177.0
2020/12/13,33.0
2020/12/14,341.0
2020/12/15,328.0
2020/12/16,258.0
2020/12/17,259.0
2020/12/18,317.0
2020/12/19,210.0
2020/12/20,51.0
2020/12/21,370.0
2020/12/22,337.0
2020/12/23,292.0
2020/12/24,246.0
2020/12/25,26.0
2020/12/26,256.0
2020/12/27,33.0
2020/12/28,409.0
2020/12/29,357.0
2020/12/30,384.0
2020/12/31,307.0
2021/01/01,24.0
2021/01/02,317.0
2021/01/03,38.0
2021/01/04,504.0
2021/01/05,391.0
2021/01/06,345.0
2021/01/07,328.0
2021/01/08,341.0
2021/01/09,209.0
2021/01/10,42.0
2021/01/11,428.0
2021/01/12,360.0
2021/01/13,300.0
2021/01/14,321.0
2021/01/15,370.0
2021/01/16,244.0
2021/01/17,62.0
2021/01/18,476.0
2021/01/19,415.0
2021/01/20,440.0
2021/01/21,407.0
2021/01/22,385.0
2021/01/23,253.0
2021/01/24,61.0
2021/01/25,550.0
2021/01/26,425.0
2021/01/27,436.0
2021/01/28,464.0
2021/01/29,397.0
2021/01/30,277.0
2021/01/31,66.0
2021/02/01,524.0
2021/02/02,534.0
2021/02/03,421.0
2021/02/04,495.0
2021/02/05,476.0
2021/02/06,293.0
2021/02/07,74.0
2021/02/08,559.0
2021/02/09,476.0
2021/02/10,450.0
2021/02/11,398.0
2021/02/12,452.0
2021/02/13,284.0
2021/02/14,58.0
2021/02/15,554.0
2021/02/16,529.0
2021/02/17,511.0
2021/02/18,494.0
2021/02/19,574.0
2021/02/20,380.0
2021/02/21,63.0
2021/02/22,735.0
2021/02/23,563.0
2021/02/24,550.0
2021/02/25,491.0
2021/02/26,527.0
2021/02/27,358.0
2021/02/28,56.0
2021/03/01,684.0
2021/03/02,586.0
2021/03/03,540.0
2021/03/04,516.0
2021/03/05,533.0
2021/03/06,368.0
2021/03/07,84.0
2021/03/08,704.0
2021/03/09,673.0
2021/03/10,623.0
2021/03/11,762.0
2021/03/12,718.0
2021/03/13,573.0
2021/03/14,148.0
2021/03/15,1170.0
2021/03/16,1030.0
2021/03/17,1069.0
2021/03/18,1090.0
2021/03/19,1142.0
2021/03/20,772.0
2021/03/21,209.0
2021/03/22,1489.0
2021/03/23,1246.0
2021/03/24,1151.0
2021/03/25,1235.0
2021/03/26,1211.0
2021/03/27,813.0
2021/03/28,184.0
2021/03/29,1544.0
2021/03/30,1451.0
2021/03/31,1339.0
2021/04/01,1195.0
2021/04/02,1061.0
2021/04/03,681.0
2021/04/04,98.0
2021/04/05,216.0
2021/04/06,1629.0
2021/04/07,1132.0
2021/04/08,1103.0
2021/04/09,1040.0
2021/04/10,674.0
2021/04/11,114.0
2021/04/12,1195.0
2021/04/13,927.0
2021/04/14,852.0
2021/04/15,806.0
2021/04/16,869.0
2021/04/17,557.0
2021/04/18,141.0
2021/04/19,1144.0
2021/04/20,872.0
2021/04/21,736.0
2021/04/22,722.0
2021/04/23,700.0
2021/04/24,537.0
2021/04/25,61.0
2021/04/26,1008.0
2021/04/27,639.0
2021/04/28,480.0
2021/04/29,490.0
2021/04/30,548.0
2021/05/01,120.0
2021/05/02,101.0
2021/05/03,782.0
2021/05/04,579.0
2021/05/05,439.0
2021/05/06,499.0
2021/05/07,484.0
2021/05/08,125.0
2021/05/09,103.0
2021/05/10,665.0
2021/05/11,479.0
2021/05/12,439.0
2021/05/13,91.0
2021/05/14,489.0
2021/05/15,256.0
2021/05/16,57.0
2021/05/17,581.0
2021/05/18,456.0
2021/05/19,308.0
2021/05/20,345.0
2021/05/21,332.0
2021/05/22,199.0
2021/05/23,41.0
2021/05/24,103.0
2021/05/25,424.0
2021/05/26,276.0
2021/05/27,294.0
2021/05/28,274.0
2021/05/29,174.0
