Datas,Duesseldorf
2020/03/18,169.0
2020/03/19,198.0
2020/03/20,202.0
2020/03/21,260.0
2020/03/22,280.0
2020/03/23,248.0
2020/03/24,267.0
2020/03/25,284.0
2020/03/26,283.0
2020/03/27,303.0
2020/03/28,307.0
2020/03/29,325.0
2020/03/30,317.0
2020/03/31,358.0
2020/04/01,323.0
2020/04/02,325.0
2020/04/03,330.0
2020/04/04,341.0
2020/04/05,351.0
2020/04/06,372.0
2020/04/07,380.0
2020/04/08,402.0
2020/04/09,396.0
2020/04/10,382.0
2020/04/11,373.0
2020/04/12,374.0
2020/04/13,385.0
2020/04/14,342.0
2020/04/15,351.0
2020/04/16,318.0
2020/04/17,306.0
2020/04/18,302.0
2020/04/19,326.0
2020/04/20,330.0
2020/04/21,263.0
2020/04/22,227.0
2020/04/23,214.0
2020/04/24,222.0
2020/04/25,210.0
2020/04/26,208.0
2020/04/27,215.0
2020/04/28,209.0
2020/04/29,219.0
2020/04/30,194.0
2020/05/01,184.0
2020/05/02,187.0
2020/05/03,180.0
2020/05/04,179.0
2020/05/05,175.0
2020/05/06,197.0
2020/05/07,197.0
2020/05/08,197.0
2020/05/09,207.0
2020/05/10,214.0
2020/05/11,195.0
2020/05/12,187.0
2020/05/13,208.0
2020/05/14,202.0
2020/05/15,201.0
2020/05/16,200.0
2020/05/17,194.0
2020/05/18,197.0
2020/05/19,183.0
2020/05/20,171.0
2020/05/21,170.0
2020/05/22,179.0
2020/05/23,169.0
2020/05/24,204.0
2020/05/25,189.0
2020/05/26,199.0
2020/05/27,187.0
2020/05/28,174.0
2020/05/29,173.0
2020/05/30,172.0
2020/05/31,167.0
2020/06/01,165.0
2020/06/02,152.0
2020/06/03,147.0
2020/06/04,141.0
2020/06/05,138.0
2020/06/06,145.0
2020/06/07,128.0
2020/06/08,112.0
2020/06/09,125.0
2020/06/10,112.0
2020/06/11,112.0
2020/06/12,109.0
2020/06/13,105.0
2020/06/14,109.0
2020/06/15,113.0
2020/06/16,134.0
2020/06/17,145.0
2020/06/18,150.0
2020/06/19,169.0
2020/06/20,172.0
2020/06/21,168.0
2020/06/22,185.0
2020/06/23,188.0
2020/06/24,199.0
2020/06/25,212.0
2020/06/26,238.0
2020/06/27,
2020/06/28,247.0
2020/06/29,244.0
2020/06/30,254.0
2020/07/01,275.0
