Datas,Alessandria
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,1
2020/03/04,15
2020/03/05,6
2020/03/06,10
2020/03/07,8
2020/03/08,20
2020/03/09,3
2020/03/10,2
2020/03/11,40
2020/03/12,27
2020/03/13,4
2020/03/14,46
2020/03/15,25
2020/03/16,66
2020/03/17,50
2020/03/18,51
2020/03/19,0
2020/03/20,221
2020/03/21,59
2020/03/22,106
2020/03/23,57
2020/03/24,129
2020/03/25,0
2020/03/26,34
2020/03/27,126
2020/03/28,91
2020/03/29,58
2020/03/30,25
2020/03/31,37
2020/04/01,61
2020/04/02,50
2020/04/03,63
2020/04/04,100
2020/04/05,172
2020/04/06,141
2020/04/07,42
2020/04/08,70
2020/04/09,65
2020/04/10,38
2020/04/11,72
2020/04/12,57
2020/04/13,67
2020/04/14,52
2020/04/15,40
2020/04/16,173
2020/04/17,116
2020/04/18,56
2020/04/19,31
2020/04/20,32
2020/04/21,84
2020/04/22,109
2020/04/23,26
2020/04/24,80
2020/04/25,66
2020/04/26,8
2020/04/27,83
2020/04/28,47
2020/04/29,28
2020/04/30,71
2020/05/01,74
2020/05/02,68
2020/05/03,25
2020/05/04,9
2020/05/05,13
2020/05/06,16
2020/05/07,32
2020/05/08,58
2020/05/09,11
2020/05/10,7
2020/05/11,2
2020/05/12,12
2020/05/13,11
2020/05/14,14
2020/05/15,10
2020/05/16,10
2020/05/17,7
2020/05/18,4
2020/05/19,7
2020/05/20,6
2020/05/21,16
2020/05/22,6
2020/05/23,10
2020/05/24,3
2020/05/25,7
2020/05/26,19
2020/05/27,7
2020/05/28,14
2020/05/29,8
2020/05/30,19
2020/05/31,3
2020/06/01,2
2020/06/02,17
2020/06/03,0
2020/06/04,1
2020/06/05,17
2020/06/06,3
2020/06/07,1
2020/06/08,2
2020/06/09,2
2020/06/10,7
2020/06/11,5
2020/06/12,5
2020/06/13,17
2020/06/14,6
2020/06/15,1
2020/06/16,8
2020/06/17,15
2020/06/18,5
2020/06/19,2
2020/06/20,5
2020/06/21,12
2020/06/22,0
2020/06/23,0
2020/06/24,3
2020/06/25,2
2020/06/26,0
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,3
2020/07/02,0
2020/07/03,0
2020/07/04,0
