Datas,Ancona
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,1
2020/03/02,1
2020/03/03,3
2020/03/04,4
2020/03/05,10
2020/03/06,4
2020/03/07,15
2020/03/08,16
2020/03/09,9
2020/03/10,18
2020/03/11,29
2020/03/12,32
2020/03/13,16
2020/03/14,57
2020/03/15,52
2020/03/16,56
2020/03/17,33
2020/03/18,47
2020/03/19,44
2020/03/20,66
2020/03/21,51
2020/03/22,112
2020/03/23,26
2020/03/24,49
2020/03/25,69
2020/03/26,49
2020/03/27,36
2020/03/28,39
2020/03/29,75
2020/03/30,41
2020/03/31,56
2020/04/01,58
2020/04/02,37
2020/04/03,52
2020/04/04,27
2020/04/05,66
2020/04/06,45
2020/04/07,28
2020/04/08,26
2020/04/09,26
2020/04/10,20
2020/04/11,46
2020/04/12,43
2020/04/13,15
2020/04/14,24
2020/04/15,18
2020/04/16,17
2020/04/17,22
2020/04/18,16
2020/04/19,16
2020/04/20,19
2020/04/21,23
2020/04/22,4
2020/04/23,4
2020/04/24,17
2020/04/25,4
2020/04/26,7
2020/04/27,3
2020/04/28,1
2020/04/29,5
2020/04/30,5
2020/05/01,3
2020/05/02,1
2020/05/03,3
2020/05/04,2
2020/05/05,1
2020/05/06,2
2020/05/07,0
2020/05/08,4
2020/05/09,4
2020/05/10,7
2020/05/11,0
2020/05/12,2
2020/05/13,1
2020/05/14,0
2020/05/15,0
2020/05/16,13
2020/05/17,6
2020/05/18,8
2020/05/19,-7
2020/05/20,0
2020/05/21,0
2020/05/22,2
2020/05/23,1
2020/05/24,6
2020/05/25,1
2020/05/26,0
2020/05/27,0
2020/05/28,0
2020/05/29,0
2020/05/30,1
2020/05/31,1
2020/06/01,0
2020/06/02,0
2020/06/03,0
2020/06/04,0
2020/06/05,0
2020/06/06,0
2020/06/07,0
2020/06/08,1
2020/06/09,0
2020/06/10,0
2020/06/11,0
2020/06/12,0
2020/06/13,1
2020/06/14,1
2020/06/15,0
2020/06/16,1
2020/06/17,0
2020/06/18,0
2020/06/19,0
2020/06/20,0
2020/06/21,0
2020/06/22,-1
2020/06/23,0
2020/06/24,0
2020/06/25,0
2020/06/26,0
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,0
2020/07/02,1
2020/07/03,0
2020/07/04,0
