Datas,Arezzo
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,1
2020/03/03,1
2020/03/04,0
2020/03/05,3
2020/03/06,2
2020/03/07,1
2020/03/08,1
2020/03/09,3
2020/03/10,1
2020/03/11,1
2020/03/12,0
2020/03/13,2
2020/03/14,11
2020/03/15,14
2020/03/16,2
2020/03/17,28
2020/03/18,71
2020/03/19,-29
2020/03/20,11
2020/03/21,12
2020/03/22,18
2020/03/23,47
2020/03/24,10
2020/03/25,18
2020/03/26,20
2020/03/27,0
2020/03/28,23
2020/03/29,12
2020/03/30,26
2020/03/31,22
2020/04/01,11
2020/04/02,14
2020/04/03,1
2020/04/04,12
2020/04/05,8
2020/04/06,9
2020/04/07,9
2020/04/08,2
2020/04/09,1
2020/04/10,4
2020/04/11,14
2020/04/12,12
2020/04/13,24
2020/04/14,34
2020/04/15,35
2020/04/16,8
2020/04/17,11
2020/04/18,7
2020/04/19,10
2020/04/20,9
2020/04/21,13
2020/04/22,7
2020/04/23,10
2020/04/24,9
2020/04/25,4
2020/04/26,7
2020/04/27,2
2020/04/28,1
2020/04/29,1
2020/04/30,3
2020/05/01,15
2020/05/02,9
2020/05/03,0
2020/05/04,3
2020/05/05,1
2020/05/06,2
2020/05/07,1
2020/05/08,5
2020/05/09,0
2020/05/10,2
2020/05/11,3
2020/05/12,0
2020/05/13,2
2020/05/14,1
2020/05/15,1
2020/05/16,0
2020/05/17,2
2020/05/18,3
2020/05/19,0
2020/05/20,1
2020/05/21,0
2020/05/22,1
2020/05/23,0
2020/05/24,0
2020/05/25,0
2020/05/26,0
2020/05/27,0
2020/05/28,0
2020/05/29,0
2020/05/30,0
2020/05/31,0
2020/06/01,1
2020/06/02,0
2020/06/03,0
2020/06/04,0
2020/06/05,0
2020/06/06,0
2020/06/07,0
2020/06/08,1
2020/06/09,0
2020/06/10,0
2020/06/11,0
2020/06/12,1
2020/06/13,0
2020/06/14,0
2020/06/15,4
2020/06/16,3
2020/06/17,0
2020/06/18,0
2020/06/19,2
2020/06/20,0
2020/06/21,2
2020/06/22,1
2020/06/23,0
2020/06/24,-21
2020/06/25,0
2020/06/26,1
2020/06/27,2
2020/06/28,3
2020/06/29,0
2020/06/30,0
2020/07/01,0
2020/07/02,1
2020/07/03,0
2020/07/04,3
