Datas,Asti
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,37
2020/03/03,3
2020/03/04,1
2020/03/05,2
2020/03/06,4
2020/03/07,3
2020/03/08,8
2020/03/09,0
2020/03/10,0
2020/03/11,10
2020/03/12,1
2020/03/13,1
2020/03/14,17
2020/03/15,0
2020/03/16,0
2020/03/17,3
2020/03/18,11
2020/03/19,0
2020/03/20,50
2020/03/21,15
2020/03/22,15
2020/03/23,28
2020/03/24,26
2020/03/25,26
2020/03/26,21
2020/03/27,21
2020/03/28,15
2020/03/29,10
2020/03/30,74
2020/03/31,32
2020/04/01,27
2020/04/02,40
2020/04/03,22
2020/04/04,37
2020/04/05,36
2020/04/06,13
2020/04/07,20
2020/04/08,14
2020/04/09,12
2020/04/10,48
2020/04/11,42
2020/04/12,34
2020/04/13,14
2020/04/14,75
2020/04/15,29
2020/04/16,28
2020/04/17,32
2020/04/18,81
2020/04/19,26
2020/04/20,78
2020/04/21,70
2020/04/22,43
2020/04/23,24
2020/04/24,64
2020/04/25,33
2020/04/26,52
2020/04/27,28
2020/04/28,63
2020/04/29,27
2020/04/30,26
2020/05/01,28
2020/05/02,7
2020/05/03,12
2020/05/04,4
2020/05/05,6
2020/05/06,12
2020/05/07,14
2020/05/08,11
2020/05/09,5
2020/05/10,8
2020/05/11,6
2020/05/12,5
2020/05/13,9
2020/05/14,12
2020/05/15,12
2020/05/16,18
2020/05/17,7
2020/05/18,3
2020/05/19,2
2020/05/20,5
2020/05/21,3
2020/05/22,6
2020/05/23,1
2020/05/24,7
2020/05/25,6
2020/05/26,9
2020/05/27,12
2020/05/28,4
2020/05/29,5
2020/05/30,7
2020/05/31,13
2020/06/01,4
2020/06/02,5
2020/06/03,7
2020/06/04,3
2020/06/05,2
2020/06/06,3
2020/06/07,2
2020/06/08,0
2020/06/09,3
2020/06/10,0
2020/06/11,0
2020/06/12,2
2020/06/13,1
2020/06/14,1
2020/06/15,0
2020/06/16,2
2020/06/17,1
2020/06/18,2
2020/06/19,1
2020/06/20,1
2020/06/21,0
2020/06/22,1
2020/06/23,0
2020/06/24,2
2020/06/25,0
2020/06/26,0
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,0
2020/07/02,0
2020/07/03,0
2020/07/04,4
2020/07/05,1
