Datas,Bari
2020/02/25,0
2020/02/26,0
2020/02/27,1
2020/02/28,-1
2020/02/29,0
2020/03/01,0
2020/03/02,1
2020/03/03,1
2020/03/04,0
2020/03/05,0
2020/03/06,1
2020/03/07,2
2020/03/08,0
2020/03/09,1
2020/03/10,9
2020/03/11,3
2020/03/12,7
2020/03/13,13
2020/03/14,4
2020/03/15,16
2020/03/16,0
2020/03/17,37
2020/03/18,17
2020/03/19,25
2020/03/20,28
2020/03/21,29
2020/03/22,37
2020/03/23,37
2020/03/24,36
2020/03/25,32
2020/03/26,51
2020/03/27,57
2020/03/28,25
2020/03/29,49
2020/03/30,76
2020/03/31,22
2020/04/01,39
2020/04/02,45
2020/04/03,41
2020/04/04,21
2020/04/05,28
2020/04/06,17
2020/04/07,27
2020/04/08,27
2020/04/09,9
2020/04/10,16
2020/04/11,27
2020/04/12,8
2020/04/13,41
2020/04/14,27
2020/04/15,24
2020/04/16,16
2020/04/17,21
2020/04/18,25
2020/04/19,35
2020/04/20,28
2020/04/21,22
2020/04/22,28
2020/04/23,59
2020/04/24,21
2020/04/25,6
2020/04/26,8
2020/04/27,3
2020/04/28,0
2020/04/29,16
2020/04/30,12
2020/05/01,3
2020/05/02,3
2020/05/03,3
2020/05/04,6
2020/05/05,0
2020/05/06,5
2020/05/07,29
2020/05/08,9
2020/05/09,20
2020/05/10,22
2020/05/11,7
2020/05/12,7
2020/05/13,2
2020/05/14,2
2020/05/15,1
2020/05/16,2
2020/05/17,1
2020/05/18,7
2020/05/19,0
2020/05/20,1
2020/05/21,4
2020/05/22,14
2020/05/23,1
2020/05/24,3
2020/05/25,9
2020/05/26,0
2020/05/27,-1
2020/05/28,-1
2020/05/29,2
2020/05/30,7
2020/05/31,2
2020/06/01,3
2020/06/02,1
2020/06/03,0
2020/06/04,1
2020/06/05,0
2020/06/06,1
2020/06/07,-1
2020/06/08,1
2020/06/09,-1
2020/06/10,0
2020/06/11,0
2020/06/12,0
2020/06/13,0
2020/06/14,0
2020/06/15,0
2020/06/16,0
2020/06/17,0
2020/06/18,1
2020/06/19,0
2020/06/20,1
2020/06/21,1
2020/06/22,0
2020/06/23,0
2020/06/24,0
2020/06/25,0
2020/06/26,0
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,0
2020/07/02,0
2020/07/03,2
2020/07/04,1
