Datas,Belluno
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,3
2020/03/03,2
2020/03/04,2
2020/03/05,0
2020/03/06,0
2020/03/07,4
2020/03/08,12
2020/03/09,6
2020/03/10,0
2020/03/11,1
2020/03/12,18
2020/03/13,11
2020/03/14,19
2020/03/15,4
2020/03/16,19
2020/03/17,8
2020/03/18,31
2020/03/19,10
2020/03/20,45
2020/03/21,17
2020/03/22,14
2020/03/23,28
2020/03/24,19
2020/03/25,25
2020/03/26,15
2020/03/27,16
2020/03/28,38
2020/03/29,29
2020/03/30,27
2020/03/31,7
2020/04/01,30
2020/04/02,27
2020/04/03,12
2020/04/04,23
2020/04/05,16
2020/04/06,20
2020/04/07,19
2020/04/08,25
2020/04/09,18
2020/04/10,29
2020/04/11,4
2020/04/12,11
2020/04/13,22
2020/04/14,12
2020/04/15,25
2020/04/16,32
2020/04/17,52
2020/04/18,28
2020/04/19,21
2020/04/20,48
2020/04/21,63
2020/04/22,12
2020/04/23,8
2020/04/24,55
2020/04/25,5
2020/04/26,3
2020/04/27,10
2020/04/28,1
2020/04/29,23
2020/04/30,23
2020/05/01,4
2020/05/02,13
2020/05/03,5
2020/05/04,6
2020/05/05,5
2020/05/06,1
2020/05/07,1
2020/05/08,3
2020/05/09,1
2020/05/10,2
2020/05/11,0
2020/05/12,2
2020/05/13,0
2020/05/14,1
2020/05/15,0
2020/05/16,0
2020/05/17,2
2020/05/18,0
2020/05/19,0
2020/05/20,0
2020/05/21,0
2020/05/22,0
2020/05/23,0
2020/05/24,6
2020/05/25,3
2020/05/26,0
2020/05/27,3
2020/05/28,1
2020/05/29,-1
2020/05/30,2
2020/05/31,3
2020/06/01,1
2020/06/02,0
2020/06/03,2
2020/06/04,2
2020/06/05,0
2020/06/06,1
2020/06/07,0
2020/06/08,1
2020/06/09,0
2020/06/10,0
2020/06/11,2
2020/06/12,0
2020/06/13,1
2020/06/14,1
2020/06/15,0
2020/06/16,1
2020/06/17,1
2020/06/18,0
2020/06/19,0
2020/06/20,0
2020/06/21,2
2020/06/22,0
2020/06/23,0
2020/06/24,0
2020/06/25,0
2020/06/26,0
2020/06/27,1
2020/06/28,4
2020/06/29,1
2020/06/30,0
2020/07/01,3
2020/07/02,0
2020/07/03,0
2020/07/04,0
