Datas,Bergamo
2020/02/25,18
2020/02/26,2
2020/02/27,52
2020/02/28,31
2020/02/29,7
2020/03/01,99
2020/03/02,34
2020/03/03,129
2020/03/04,51
2020/03/05,114
2020/03/06,86
2020/03/07,138
2020/03/08,236
2020/03/09,248
2020/03/10,227
2020/03/11,343
2020/03/12,321
2020/03/13,232
2020/03/14,496
2020/03/15,552
2020/03/16,344
2020/03/17,233
2020/03/18,312
2020/03/19,340
2020/03/20,509
2020/03/21,715
2020/03/22,347
2020/03/23,255
2020/03/24,257
2020/03/25,344
2020/03/26,386
2020/03/27,602
2020/03/28,289
2020/03/29,178
2020/03/30,137
2020/03/31,139
2020/04/01,236
2020/04/02,132
2020/04/03,144
2020/04/04,273
2020/04/05,124
2020/04/06,103
2020/04/07,53
2020/04/08,63
2020/04/09,112
2020/04/10,108
2020/04/11,107
2020/04/12,51
2020/04/13,82
2020/04/14,35
2020/04/15,46
2020/04/16,46
2020/04/17,72
2020/04/18,39
2020/04/19,60
2020/04/20,49
2020/04/21,50
2020/04/22,60
2020/04/23,98
2020/04/24,56
2020/04/25,45
2020/04/26,66
2020/04/27,37
2020/04/28,46
2020/04/29,95
2020/04/30,22
2020/05/01,47
2020/05/02,34
2020/05/03,59
2020/05/04,85
2020/05/05,12
2020/05/06,37
2020/05/07,35
2020/05/08,49
2020/05/09,46
2020/05/10,24
2020/05/11,50
2020/05/12,503
2020/05/13,24
2020/05/14,29
2020/05/15,24
2020/05/16,26
2020/05/17,46
2020/05/18,20
2020/05/19,144
2020/05/20,26
2020/05/21,48
2020/05/22,51
2020/05/23,102
2020/05/24,72
2020/05/25,48
2020/05/26,23
2020/05/27,198
2020/05/28,69
2020/05/29,58
2020/05/30,21
2020/05/31,43
2020/06/01,8
2020/06/02,14
2020/06/03,77
2020/06/04,1
2020/06/05,73
2020/06/06,12
2020/06/07,7
2020/06/08,51
2020/06/09,52
2020/06/10,10
2020/06/11,39
2020/06/12,34
2020/06/13,22
2020/06/14,62
2020/06/15,69
2020/06/16,12
2020/06/17,69
2020/06/18,55
2020/06/19,32
