Datas,Biella
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,0
2020/03/04,0
2020/03/05,2
2020/03/06,1
2020/03/07,3
2020/03/08,13
2020/03/09,-1
2020/03/10,2
2020/03/11,16
2020/03/12,3
2020/03/13,9
2020/03/14,0
2020/03/15,2
2020/03/16,17
2020/03/17,29
2020/03/18,13
2020/03/19,0
2020/03/20,66
2020/03/21,7
2020/03/22,61
2020/03/23,10
2020/03/24,27
2020/03/25,47
2020/03/26,9
2020/03/27,31
2020/03/28,32
2020/03/29,40
2020/03/30,32
2020/03/31,19
2020/04/01,13
2020/04/02,20
2020/04/03,19
2020/04/04,17
2020/04/05,12
2020/04/06,12
2020/04/07,8
2020/04/08,9
2020/04/09,21
2020/04/10,7
2020/04/11,25
2020/04/12,9
2020/04/13,17
2020/04/14,23
2020/04/15,15
2020/04/16,2
2020/04/17,9
2020/04/18,20
2020/04/19,35
2020/04/20,4
2020/04/21,21
2020/04/22,25
2020/04/23,27
2020/04/24,40
2020/04/25,15
2020/04/26,30
2020/04/27,7
2020/04/28,9
2020/04/29,2
2020/04/30,3
2020/05/01,4
2020/05/02,8
2020/05/03,2
2020/05/04,12
2020/05/05,1
2020/05/06,4
2020/05/07,5
2020/05/08,0
2020/05/09,5
2020/05/10,8
2020/05/11,0
2020/05/12,1
2020/05/13,5
2020/05/14,1
2020/05/15,0
2020/05/16,1
2020/05/17,0
2020/05/18,0
2020/05/19,1
2020/05/20,2
2020/05/21,2
2020/05/22,1
2020/05/23,1
2020/05/24,1
2020/05/25,1
2020/05/26,0
2020/05/27,0
2020/05/28,0
2020/05/29,0
2020/05/30,1
2020/05/31,1
2020/06/01,0
2020/06/02,0
2020/06/03,1
2020/06/04,2
2020/06/05,2
2020/06/06,0
2020/06/07,0
2020/06/08,0
2020/06/09,0
2020/06/10,1
2020/06/11,0
2020/06/12,0
2020/06/13,1
2020/06/14,1
2020/06/15,0
2020/06/16,0
2020/06/17,0
2020/06/18,0
2020/06/19,0
2020/06/20,0
2020/06/21,0
2020/06/22,0
2020/06/23,0
2020/06/24,2
2020/06/25,0
2020/06/26,1
2020/06/27,1
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,2
2020/07/02,0
2020/07/03,3
2020/07/04,0
2020/07/05,0
