Datas,Bologna
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,2
2020/03/01,0
2020/03/02,1
2020/03/03,3
2020/03/04,5
2020/03/05,8
2020/03/06,22
2020/03/07,8
2020/03/08,13
2020/03/09,18
2020/03/10,6
2020/03/11,22
2020/03/12,14
2020/03/13,33
2020/03/14,40
2020/03/15,35
2020/03/16,61
2020/03/17,42
2020/03/18,62
2020/03/19,70
2020/03/20,87
2020/03/21,58
2020/03/22,64
2020/03/23,159
2020/03/24,135
2020/03/25,139
2020/03/26,146
2020/03/27,160
2020/03/28,173
2020/03/29,157
2020/03/30,129
2020/03/31,68
2020/04/01,144
2020/04/02,141
2020/04/03,114
2020/04/04,90
2020/04/05,92
2020/04/06,96
2020/04/07,39
2020/04/08,102
2020/04/09,98
2020/04/10,98
2020/04/11,121
2020/04/12,122
2020/04/13,95
2020/04/14,28
2020/04/15,60
2020/04/16,110
2020/04/17,129
2020/04/18,60
2020/04/19,61
2020/04/20,82
2020/04/21,43
2020/04/22,52
2020/04/23,54
2020/04/24,62
2020/04/25,69
2020/04/26,54
2020/04/27,35
2020/04/28,72
2020/04/29,89
2020/04/30,64
2020/05/01,42
2020/05/02,49
2020/05/03,43
2020/05/04,40
2020/05/05,29
2020/05/06,27
2020/05/07,39
2020/05/08,35
2020/05/09,31
2020/05/10,22
2020/05/11,11
2020/05/12,21
2020/05/13,21
2020/05/14,15
2020/05/15,12
2020/05/16,15
2020/05/17,12
2020/05/18,1
2020/05/19,12
2020/05/20,8
2020/05/21,10
2020/05/22,9
2020/05/23,11
2020/05/24,11
2020/05/25,14
2020/05/26,10
2020/05/27,2
2020/05/28,30
2020/05/29,8
2020/05/30,10
2020/05/31,5
2020/06/01,8
2020/06/02,5
2020/06/03,2
2020/06/04,5
2020/06/05,2
2020/06/06,4
2020/06/07,0
2020/06/08,3
2020/06/09,4
2020/06/10,4
2020/06/11,8
2020/06/12,14
2020/06/13,15
2020/06/14,7
2020/06/15,5
2020/06/16,2
2020/06/17,5
2020/06/18,16
2020/06/19,12
2020/06/20,9
2020/06/21,14
2020/06/22,11
2020/06/23,5
2020/06/24,-52
2020/06/25,31
2020/06/26,23
2020/06/27,28
2020/06/28,4
2020/06/29,6
2020/06/30,8
2020/07/01,8
2020/07/02,14
2020/07/03,17
2020/07/04,16
