Datas,Bolzano
2020/02/25,1
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,0
2020/03/04,0
2020/03/05,0
2020/03/06,3
2020/03/07,5
2020/03/08,0
2020/03/09,0
2020/03/10,29
2020/03/11,37
2020/03/12,29
2020/03/13,21
2020/03/14,48
2020/03/15,31
2020/03/16,37
2020/03/17,50
2020/03/18,85
2020/03/19,60
2020/03/20,112
2020/03/21,73
2020/03/22,57
2020/03/23,46
2020/03/24,57
2020/03/25,77
2020/03/26,48
2020/03/27,97
2020/03/28,106
2020/03/29,105
2020/03/30,111
2020/03/31,46
2020/04/01,47
2020/04/02,61
2020/04/03,80
2020/04/04,33
2020/04/05,52
2020/04/06,78
2020/04/07,89
2020/04/08,24
2020/04/09,68
2020/04/10,52
2020/04/11,2
2020/04/12,141
2020/04/13,51
2020/04/14,35
2020/04/15,40
2020/04/16,43
2020/04/17,29
2020/04/18,29
2020/04/19,55
2020/04/20,14
2020/04/21,16
2020/04/22,6
2020/04/23,19
2020/04/24,21
2020/04/25,20
2020/04/26,5
2020/04/27,15
2020/04/28,2
2020/04/29,9
2020/04/30,11
2020/05/01,10
2020/05/02,7
2020/05/03,1
2020/05/04,5
2020/05/05,1
2020/05/06,1
2020/05/07,9
2020/05/08,6
2020/05/09,9
2020/05/10,2
2020/05/11,3
2020/05/12,0
2020/05/13,3
2020/05/14,3
2020/05/15,0
2020/05/16,0
2020/05/17,3
2020/05/18,1
2020/05/19,5
2020/05/20,0
2020/05/21,0
2020/05/22,3
2020/05/23,0
2020/05/24,3
2020/05/25,0
2020/05/26,0
2020/05/27,0
2020/05/28,2
2020/05/29,0
2020/05/30,1
2020/05/31,1
2020/06/01,1
2020/06/02,0
2020/06/03,0
2020/06/04,0
2020/06/05,1
2020/06/06,1
2020/06/07,3
2020/06/08,1
2020/06/09,0
2020/06/10,0
2020/06/11,2
2020/06/12,2
2020/06/13,2
2020/06/14,3
2020/06/15,-2
2020/06/16,0
2020/06/17,0
2020/06/18,2
2020/06/19,2
2020/06/20,3
2020/06/21,4
2020/06/22,11
2020/06/23,0
2020/06/24,1
2020/06/25,0
2020/06/26,0
2020/06/27,2
2020/06/28,1
2020/06/29,2
2020/06/30,0
2020/07/01,3
2020/07/02,0
2020/07/03,0
2020/07/04,3
2020/07/05,2
2020/07/06,0
2020/07/07,1
2020/07/08,2
2020/07/09,3
2020/07/10,5
2020/07/11,3
2020/07/12,5
2020/07/13,7
2020/07/14,1
2020/07/15,3
2020/07/16,1
2020/07/17,4
2020/07/18,1
2020/07/19,1
2020/07/20,0
2020/07/21,1
2020/07/22,0
2020/07/23,1
2020/07/24,1
2020/07/25,6
2020/07/26,5
2020/07/27,2
2020/07/28,-8
2020/07/29,4
2020/07/30,6
2020/07/31,15
2020/08/01,8
2020/08/02,3
2020/08/03,6
2020/08/04,6
2020/08/05,5
2020/08/06,12
2020/08/07,4
2020/08/08,5
2020/08/09,7
2020/08/10,1
2020/08/11,1
2020/08/12,4
2020/08/13,2
2020/08/14,3
2020/08/15,9
2020/08/16,9
2020/08/17,2
2020/08/18,0
2020/08/19,7
2020/08/20,21
2020/08/21,5
2020/08/22,19
2020/08/23,13
2020/08/24,15
2020/08/25,9
2020/08/26,5
2020/08/27,9
2020/08/28,8
2020/08/29,9
2020/08/30,8
2020/08/31,3
2020/09/01,13
2020/09/02,10
2020/09/03,4
2020/09/04,11
2020/09/05,23
2020/09/06,7
2020/09/07,0
2020/09/08,4
2020/09/09,10
2020/09/10,20
2020/09/11,26
2020/09/12,25
2020/09/13,40
2020/09/14,7
2020/09/15,21
2020/09/16,12
2020/09/17,15
2020/09/18,72
2020/09/19,26
2020/09/20,20
2020/09/21,20
2020/09/22,8
2020/09/23,37
2020/09/24,20
2020/09/25,52
2020/09/26,29
2020/09/27,22
2020/09/28,25
2020/09/29,8
2020/09/30,17
2020/10/01,29
2020/10/02,21
2020/10/03,24
2020/10/04,32
2020/10/05,17
2020/10/06,17
2020/10/07,-3679
2020/10/08,3803
2020/10/09,85
2020/10/10,92
2020/10/11,84
2020/10/12,45
2020/10/13,34
2020/10/14,124
2020/10/15,98
2020/10/16,128
2020/10/17,155
2020/10/18,171
2020/10/19,85
2020/10/20,209
2020/10/21,189
2020/10/22,247
2020/10/23,269
2020/10/24,277
2020/10/25,339
2020/10/26,321
2020/10/27,242
2020/10/28,190
2020/10/29,298
2020/10/30,350
2020/10/31,547
2020/11/01,534
2020/11/02,437
2020/11/03,495
2020/11/04,249
2020/11/05,762
2020/11/06,713
2020/11/07,773
2020/11/08,781
2020/11/09,583
2020/11/10,375
2020/11/11,386
2020/11/12,694
2020/11/13,820
2020/11/14,690
2020/11/15,628
2020/11/16,544
2020/11/17,258
2020/11/18,581
2020/11/19,696
2020/11/20,736
2020/11/21,548
2020/11/22,535
2020/11/23,260
2020/11/24,160
2020/11/25,341
2020/11/26,292
2020/11/27,410
2020/11/28,494
2020/11/29,437
2020/11/30,183
2020/12/01,94
2020/12/02,317
2020/12/03,374
2020/12/04,285
2020/12/05,266
2020/12/06,248
2020/12/07,115
