Datas,Brescia
2020/02/25,0
2020/02/26,2
2020/02/27,8
2020/02/28,3
2020/02/29,1
2020/03/01,35
2020/03/02,11
2020/03/03,26
2020/03/04,41
2020/03/05,28
2020/03/06,27
2020/03/07,231
2020/03/08,88
2020/03/09,238
2020/03/10,51
2020/03/11,561
2020/03/12,247
2020/03/13,186
2020/03/14,338
2020/03/15,351
2020/03/16,445
2020/03/17,382
2020/03/18,484
2020/03/19,463
2020/03/20,401
2020/03/21,380
2020/03/22,289
2020/03/23,588
2020/03/24,393
2020/03/25,299
2020/03/26,334
2020/03/27,374
2020/03/28,373
2020/03/29,335
2020/03/30,200
2020/03/31,154
2020/04/01,231
2020/04/02,159
2020/04/03,257
2020/04/04,166
2020/04/05,160
2020/04/06,137
2020/04/07,117
2020/04/08,315
2020/04/09,213
2020/04/10,247
2020/04/11,230
2020/04/12,269
2020/04/13,190
2020/04/14,35
2020/04/15,94
2020/04/16,168
2020/04/17,212
2020/04/18,191
2020/04/19,188
2020/04/20,58
2020/04/21,74
2020/04/22,100
2020/04/23,130
2020/04/24,167
2020/04/25,65
2020/04/26,24
2020/04/27,35
2020/04/28,92
2020/04/29,115
2020/04/30,55
2020/05/01,68
2020/05/02,70
2020/05/03,29
2020/05/04,94
2020/05/05,46
2020/05/06,99
2020/05/07,124
2020/05/08,69
2020/05/09,46
2020/05/10,44
2020/05/11,70
2020/05/12,128
2020/05/13,94
2020/05/14,106
2020/05/15,60
2020/05/16,83
2020/05/17,56
2020/05/18,11
2020/05/19,41
2020/05/20,50
2020/05/21,77
2020/05/22,19
2020/05/23,72
2020/05/24,59
2020/05/25,3
2020/05/26,10
2020/05/27,33
2020/05/28,90
2020/05/29,71
2020/05/30,41
2020/05/31,44
2020/06/01,6
2020/06/02,36
2020/06/03,51
2020/06/04,20
2020/06/05,89
2020/06/06,18
2020/06/07,19
2020/06/08,63
2020/06/09,24
2020/06/10,12
2020/06/11,81
2020/06/12,30
2020/06/13,21
2020/06/14,32
2020/06/15,56
2020/06/16,11
2020/06/17,16
2020/06/18,41
2020/06/19,21
2020/06/20,27
2020/06/21,37
