Datas,Catania
2020/02/25,0
2020/02/26,0
2020/02/27,1
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,0
2020/03/04,0
2020/03/05,0
2020/03/06,14
2020/03/07,8
2020/03/08,0
2020/03/09,0
2020/03/10,12
2020/03/11,6
2020/03/12,8
2020/03/13,0
2020/03/14,0
2020/03/15,42
2020/03/16,5
2020/03/17,12
2020/03/18,23
2020/03/19,20
2020/03/20,11
2020/03/21,27
2020/03/22,45
2020/03/23,40
2020/03/24,12
2020/03/25,22
2020/03/26,38
2020/03/27,19
2020/03/28,22
2020/03/29,20
2020/03/30,41
2020/03/31,50
2020/04/01,12
2020/04/02,34
2020/04/03,15
2020/04/04,10
2020/04/05,25
2020/04/06,20
2020/04/07,16
2020/04/08,16
2020/04/09,16
2020/04/10,10
2020/04/11,6
2020/04/12,11
2020/04/13,15
2020/04/14,11
2020/04/15,10
2020/04/16,10
2020/04/17,10
2020/04/18,13
2020/04/19,25
2020/04/20,25
2020/04/21,43
2020/04/22,35
2020/04/23,19
2020/04/24,21
2020/04/25,17
2020/04/26,10
2020/04/27,8
2020/04/28,10
2020/04/29,0
2020/04/30,2
2020/05/01,8
2020/05/02,9
2020/05/03,12
2020/05/04,7
2020/05/05,3
2020/05/06,9
2020/05/07,6
2020/05/08,5
2020/05/09,3
2020/05/10,2
2020/05/11,9
2020/05/12,1
2020/05/13,0
2020/05/14,10
2020/05/15,2
2020/05/16,2
2020/05/17,0
2020/05/18,0
2020/05/19,1
2020/05/20,1
2020/05/21,0
2020/05/22,4
2020/05/23,0
2020/05/24,1
2020/05/25,2
2020/05/26,1
2020/05/27,1
2020/05/28,0
2020/05/29,0
2020/05/30,0
2020/05/31,0
2020/06/01,0
2020/06/02,0
2020/06/03,0
2020/06/04,0
2020/06/05,0
2020/06/06,1
2020/06/07,0
2020/06/08,1
2020/06/09,1
2020/06/10,1
2020/06/11,0
2020/06/12,0
2020/06/13,0
2020/06/14,0
2020/06/15,1
2020/06/16,0
2020/06/17,0
2020/06/18,1
2020/06/19,-301
2020/06/20,0
2020/06/21,0
2020/06/22,0
2020/06/23,0
2020/06/24,0
2020/06/25,0
2020/06/26,0
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,2
2020/07/01,0
2020/07/02,0
2020/07/03,0
2020/07/04,0
2020/07/05,0
