Datas,Chieti
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,0
2020/03/04,0
2020/03/05,2
2020/03/06,1
2020/03/07,1
2020/03/08,0
2020/03/09,3
2020/03/10,2
2020/03/11,0
2020/03/12,11
2020/03/13,3
2020/03/14,2
2020/03/15,5
2020/03/16,8
2020/03/17,3
2020/03/18,3
2020/03/19,25
2020/03/20,11
2020/03/21,11
2020/03/22,11
2020/03/23,27
2020/03/24,4
2020/03/25,13
2020/03/26,29
2020/03/27,14
2020/03/28,40
2020/03/29,37
2020/03/30,7
2020/03/31,7
2020/04/01,12
2020/04/02,7
2020/04/03,11
2020/04/04,7
2020/04/05,8
2020/04/06,2
2020/04/07,16
2020/04/08,18
2020/04/09,8
2020/04/10,23
2020/04/11,49
2020/04/12,11
2020/04/13,13
2020/04/14,4
2020/04/15,0
2020/04/16,30
2020/04/17,54
2020/04/18,13
2020/04/19,5
2020/04/20,35
2020/04/21,7
2020/04/22,35
2020/04/23,29
2020/04/24,10
2020/04/25,19
2020/04/26,17
2020/04/27,0
2020/04/28,28
2020/04/29,6
2020/04/30,0
2020/05/01,3
2020/05/02,4
2020/05/03,1
2020/05/04,1
2020/05/05,1
2020/05/06,-3
2020/05/07,3
2020/05/08,2
2020/05/09,0
2020/05/10,3
2020/05/11,0
2020/05/12,6
2020/05/13,0
2020/05/14,0
2020/05/15,5
2020/05/16,19
2020/05/17,2
2020/05/18,7
2020/05/19,0
2020/05/20,2
2020/05/21,1
2020/05/22,4
2020/05/23,-1
2020/05/24,1
2020/05/25,0
2020/05/26,1
2020/05/27,2
2020/05/28,-1
2020/05/29,0
2020/05/30,0
2020/05/31,2
2020/06/01,1
2020/06/02,0
2020/06/03,1
2020/06/04,0
2020/06/05,0
2020/06/06,1
2020/06/07,0
2020/06/08,0
2020/06/09,0
2020/06/10,0
2020/06/11,0
2020/06/12,1
2020/06/13,2
2020/06/14,-1
2020/06/15,1
2020/06/16,0
2020/06/17,1
2020/06/18,1
2020/06/19,0
2020/06/20,1
2020/06/21,0
2020/06/22,1
2020/06/23,0
2020/06/24,-202
2020/06/25,186
2020/06/26,0
2020/06/27,0
2020/06/28,1
2020/06/29,1
2020/06/30,0
2020/07/01,1
2020/07/02,2
2020/07/03,4
2020/07/04,2
