Datas,Como
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,1
2020/03/01,1
2020/03/02,0
2020/03/03,2
2020/03/04,1
2020/03/05,6
2020/03/06,0
2020/03/07,12
2020/03/08,4
2020/03/09,13
2020/03/10,6
2020/03/11,31
2020/03/12,21
2020/03/13,20
2020/03/14,36
2020/03/15,30
2020/03/16,36
2020/03/17,36
2020/03/18,30
2020/03/19,52
2020/03/20,42
2020/03/21,72
2020/03/22,60
2020/03/23,69
2020/03/24,54
2020/03/25,71
2020/03/26,56
2020/03/27,54
2020/03/28,87
2020/03/29,111
2020/03/30,47
2020/03/31,40
2020/04/01,56
2020/04/02,48
2020/04/03,51
2020/04/04,63
2020/04/05,65
2020/04/06,89
2020/04/07,52
2020/04/08,17
2020/04/09,63
2020/04/10,81
2020/04/11,139
2020/04/12,99
2020/04/13,91
2020/04/14,91
2020/04/15,48
2020/04/16,79
2020/04/17,52
2020/04/18,154
2020/04/19,49
2020/04/20,62
2020/04/21,42
2020/04/22,89
2020/04/23,83
2020/04/24,107
2020/04/25,71
2020/04/26,83
2020/04/27,51
2020/04/28,78
2020/04/29,53
2020/04/30,37
2020/05/01,27
2020/05/02,22
2020/05/03,20
2020/05/04,19
2020/05/05,32
2020/05/06,37
2020/05/07,39
2020/05/08,30
2020/05/09,10
2020/05/10,16
2020/05/11,8
2020/05/12,42
2020/05/13,10
2020/05/14,42
2020/05/15,14
2020/05/16,13
2020/05/17,4
2020/05/18,4
2020/05/19,13
2020/05/20,14
2020/05/21,18
2020/05/22,35
2020/05/23,34
2020/05/24,10
2020/05/25,3
2020/05/26,25
2020/05/27,7
2020/05/28,31
2020/05/29,14
2020/05/30,3
2020/05/31,13
2020/06/01,1
2020/06/02,26
2020/06/03,10
2020/06/04,4
2020/06/05,18
2020/06/06,9
2020/06/07,1
2020/06/08,13
2020/06/09,11
2020/06/10,7
2020/06/11,4
2020/06/12,13
2020/06/13,6
2020/06/14,13
2020/06/15,19
2020/06/16,10
2020/06/17,5
2020/06/18,12
2020/06/19,8
2020/06/20,8
2020/06/21,2
2020/06/22,13
2020/06/23,2
2020/06/24,2
2020/06/25,8
2020/06/26,9
2020/06/27,5
2020/06/28,1
2020/06/29,0
2020/06/30,0
2020/07/01,1
2020/07/02,4
2020/07/03,2
2020/07/04,3
2020/07/05,5
