Datas,Cremona
2020/02/25,53
2020/02/26,4
2020/02/27,34
2020/02/28,32
2020/02/29,13
2020/03/01,78
2020/03/02,9
2020/03/03,64
2020/03/04,46
2020/03/05,73
2020/03/06,46
2020/03/07,110
2020/03/08,103
2020/03/09,251
2020/03/10,41
2020/03/11,104
2020/03/12,241
2020/03/13,42
2020/03/14,221
2020/03/15,227
2020/03/16,89
2020/03/17,192
2020/03/18,94
2020/03/19,119
2020/03/20,106
2020/03/21,341
2020/03/22,162
2020/03/23,30
2020/03/24,136
2020/03/25,95
2020/03/26,214
2020/03/27,126
2020/03/28,109
2020/03/29,157
2020/03/30,26
2020/03/31,81
2020/04/01,72
2020/04/02,33
2020/04/03,123
2020/04/04,57
2020/04/05,79
2020/04/06,27
2020/04/07,63
2020/04/08,99
2020/04/09,67
2020/04/10,73
2020/04/11,96
2020/04/12,63
2020/04/13,224
2020/04/14,227
2020/04/15,30
2020/04/16,71
2020/04/17,40
2020/04/18,94
2020/04/19,10
2020/04/20,74
2020/04/21,150
2020/04/22,65
2020/04/23,101
2020/04/24,60
2020/04/25,39
2020/04/26,60
2020/04/27,5
2020/04/28,22
2020/04/29,30
2020/04/30,14
2020/05/01,31
2020/05/02,20
2020/05/03,18
2020/05/04,3
2020/05/05,21
2020/05/06,21
2020/05/07,27
2020/05/08,41
2020/05/09,23
2020/05/10,6
2020/05/11,2
2020/05/12,5
2020/05/13,18
2020/05/14,12
2020/05/15,18
2020/05/16,10
2020/05/17,10
2020/05/18,0
2020/05/19,12
2020/05/20,15
2020/05/21,15
2020/05/22,9
2020/05/23,9
2020/05/24,8
2020/05/25,5
2020/05/26,4
2020/05/27,16
2020/05/28,13
2020/05/29,13
2020/05/30,6
2020/05/31,11
2020/06/01,2
2020/06/02,3
2020/06/03,6
2020/06/04,1
2020/06/05,11
2020/06/06,7
2020/06/07,6
2020/06/08,7
2020/06/09,3
2020/06/10,15
2020/06/11,7
2020/06/12,4
2020/06/13,15
2020/06/14,8
2020/06/15,2
2020/06/16,3
2020/06/17,6
2020/06/18,3
2020/06/19,6
2020/06/20,2
2020/06/21,1
2020/06/22,8
2020/06/23,2
2020/06/24,3
2020/06/25,6
2020/06/26,1
2020/06/27,5
2020/06/28,6
2020/06/29,2
2020/06/30,2
2020/07/01,4
2020/07/02,5
2020/07/03,10
2020/07/04,2
2020/07/05,5
2020/07/06,23
2020/07/07,1
2020/07/08,3
2020/07/09,5
2020/07/10,7
2020/07/11,2
2020/07/12,6
2020/07/13,4
2020/07/14,1
2020/07/15,1
2020/07/16,11
2020/07/17,4
2020/07/18,1
2020/07/19,3
2020/07/20,2
2020/07/21,2
2020/07/22,0
2020/07/23,3
2020/07/24,1
2020/07/25,0
2020/07/26,2
2020/07/27,0
2020/07/28,1
2020/07/29,2
2020/07/30,2
2020/07/31,2
2020/08/01,1
2020/08/02,4
2020/08/03,0
2020/08/04,1
2020/08/05,3
2020/08/06,6
2020/08/07,0
2020/08/08,2
2020/08/09,1
2020/08/10,3
2020/08/11,1
2020/08/12,2
2020/08/13,1
2020/08/14,1
2020/08/15,3
2020/08/16,0
2020/08/17,0
2020/08/18,0
2020/08/19,2
2020/08/20,3
2020/08/21,9
2020/08/22,1
2020/08/23,4
2020/08/24,2
2020/08/25,0
2020/08/26,11
2020/08/27,5
2020/08/28,8
2020/08/29,5
2020/08/30,2
2020/08/31,3
2020/09/01,5
2020/09/02,9
2020/09/03,7
2020/09/04,7
2020/09/05,11
2020/09/06,8
2020/09/07,3
2020/09/08,4
2020/09/09,7
2020/09/10,7
2020/09/11,4
2020/09/12,6
2020/09/13,8
2020/09/14,0
2020/09/15,3
2020/09/16,2
2020/09/17,2
2020/09/18,5
2020/09/19,2
2020/09/20,0
2020/09/21,0
2020/09/22,-3
2020/09/23,0
2020/09/24,0
2020/09/25,7
2020/09/26,7
2020/09/27,5
2020/09/28,1
2020/09/29,5
2020/09/30,4
2020/10/01,1
2020/10/02,10
2020/10/03,15
2020/10/04,6
2020/10/05,1
2020/10/06,4
2020/10/07,5
2020/10/08,6
2020/10/09,7
2020/10/10,25
2020/10/11,35
2020/10/12,7
2020/10/13,23
2020/10/14,30
2020/10/15,34
2020/10/16,32
2020/10/17,25
2020/10/18,46
2020/10/19,50
2020/10/20,17
2020/10/21,97
2020/10/22,70
2020/10/23,102
2020/10/24,124
2020/10/25,80
2020/10/26,50
2020/10/27,128
2020/10/28,130
2020/10/29,138
2020/10/30,175
2020/10/31,184
2020/11/01,181
2020/11/02,10
2020/11/03,107
2020/11/04,152
2020/11/05,197
2020/11/06,237
2020/11/07,256
2020/11/08,99
2020/11/09,113
2020/11/10,133
2020/11/11,193
2020/11/12,255
2020/11/13,246
2020/11/14,191
2020/11/15,82
2020/11/16,106
2020/11/17,122
2020/11/18,188
2020/11/19,227
2020/11/20,124
2020/11/21,221
2020/11/22,89
2020/11/23,63
2020/11/24,90
2020/11/25,119
2020/11/26,125
2020/11/27,81
2020/11/28,97
2020/11/29,72
2020/11/30,50
2020/12/01,41
2020/12/02,126
2020/12/03,74
2020/12/04,122
2020/12/05,71
2020/12/06,68
2020/12/07,13
2020/12/08,45
2020/12/09,48
2020/12/10,50
2020/12/11,60
2020/12/12,69
2020/12/13,59
2020/12/14,8
2020/12/15,48
2020/12/16,60
2020/12/17,52
2020/12/18,24
2020/12/19,73
2020/12/20,47
2020/12/21,9
2020/12/22,70
2020/12/23,53
2020/12/24,41
2020/12/25,86
2020/12/26,26
2020/12/27,4
2020/12/28,10
2020/12/29,38
2020/12/30,82
2020/12/31,78
2021/01/01,76
2021/01/02,46
2021/01/03,60
2021/01/04,18
2021/01/05,15
2021/01/06,115
2021/01/07,67
2021/01/08,18
2021/01/09,139
2021/01/10,92
2021/01/11,46
2021/01/12,7
2021/01/13,79
2021/01/14,72
2021/01/15,72
2021/01/16,38
2021/01/17,55
2021/01/18,22
2021/01/19,11
2021/01/20,71
2021/01/21,83
2021/01/22,48
2021/01/23,29
2021/01/24,71
2021/01/25,30
2021/01/26,12
2021/01/27,78
2021/01/28,73
2021/01/29,46
2021/01/30,49
2021/01/31,52
2021/02/01,31
2021/02/02,17
2021/02/03,61
2021/02/04,53
2021/02/05,44
2021/02/06,38
2021/02/07,54
2021/02/08,14
2021/02/09,25
2021/02/10,65
2021/02/11,57
2021/02/12,70
2021/02/13,46
2021/02/14,52
2021/02/15,18
2021/02/16,56
2021/02/17,57
2021/02/18,93
2021/02/19,100
2021/02/20,46
2021/02/21,79
2021/02/22,31
2021/02/23,51
2021/02/24,83
2021/02/25,103
2021/02/26,147
2021/02/27,164
2021/02/28,169
2021/03/01,46
2021/03/02,100
2021/03/03,165
2021/03/04,170
2021/03/05,207
2021/03/06,200
2021/03/07,161
2021/03/08,84
2021/03/09,62
2021/03/10,181
2021/03/11,228
2021/03/12,250
2021/03/13,332
2021/03/14,191
2021/03/15,73
2021/03/16,169
2021/03/17,180
2021/03/18,246
2021/03/19,204
2021/03/20,239
2021/03/21,117
2021/03/22,77
2021/03/23,160
2021/03/24,195
2021/03/25,169
2021/03/26,189
2021/03/27,215
2021/03/28,152
2021/03/29,72
2021/03/30,135
2021/03/31,212
2021/04/01,168
2021/04/02,137
2021/04/03,173
2021/04/04,139
2021/04/05,25
2021/04/06,15
2021/04/07,90
2021/04/08,88
2021/04/09,109
2021/04/10,96
2021/04/11,80
2021/04/12,20
2021/04/13,86
2021/04/14,89
2021/04/15,104
2021/04/16,67
2021/04/17,63
2021/04/18,66
2021/04/19,13
2021/04/20,30
2021/04/21,98
2021/04/22,113
2021/04/23,70
2021/04/24,84
2021/04/25,60
2021/04/26,30
2021/04/27,48
2021/04/28,75
2021/04/29,69
2021/04/30,73
2021/05/01,65
2021/05/02,33
2021/05/03,8
2021/05/04,46
2021/05/05,48
2021/05/06,105
2021/05/07,61
2021/05/08,49
2021/05/09,42
2021/05/10,18
2021/05/11,31
2021/05/12,42
2021/05/13,47
2021/05/14,42
2021/05/15,52
2021/05/16,30
2021/05/17,11
2021/05/18,19
2021/05/19,56
2021/05/20,30
2021/05/21,33
2021/05/22,43
2021/05/23,24
2021/05/24,13
2021/05/25,7
2021/05/26,16
2021/05/27,23
2021/05/28,15
2021/05/29,10
2021/05/30,11
2021/05/31,2
2021/06/01,4
2021/06/02,10
2021/06/03,5
2021/06/04,12
2021/06/05,17
2021/06/06,5
2021/06/07,3
2021/06/08,4
2021/06/09,11
2021/06/10,11
2021/06/11,0
2021/06/12,7
2021/06/13,1
2021/06/14,2
2021/06/15,0
2021/06/16,24
2021/06/17,7
2021/06/18,3
2021/06/19,9
2021/06/20,2
2021/06/21,5
2021/06/22,5
2021/06/23,4
2021/06/24,12
2021/06/25,2
2021/06/26,8
2021/06/27,6
2021/06/28,3
2021/06/29,0
2021/06/30,6
2021/07/01,10
2021/07/02,16
2021/07/03,2
2021/07/04,3
2021/07/05,3
2021/07/06,1
2021/07/07,1
2021/07/08,18
2021/07/09,9
2021/07/10,12
2021/07/11,30
2021/07/12,8
2021/07/13,4
2021/07/14,34
2021/07/15,13
2021/07/16,28
2021/07/17,30
2021/07/18,5
2021/07/19,10
2021/07/20,7
2021/07/21,25
2021/07/22,44
2021/07/23,30
2021/07/24,18
2021/07/25,30
2021/07/26,15
2021/07/27,31
2021/07/28,59
2021/07/29,30
2021/07/30,28
2021/07/31,30
2021/08/01,19
2021/08/02,2
2021/08/03,9
2021/08/04,28
2021/08/05,34
2021/08/06,34
2021/08/07,44
2021/08/08,21
2021/08/09,13
2021/08/10,13
2021/08/11,43
2021/08/12,35
2021/08/13,19
2021/08/14,36
2021/08/15,24
2021/08/16,1
2021/08/17,7
2021/08/18,37
2021/08/19,28
2021/08/20,21
2021/08/21,42
2021/08/22,17
2021/08/23,17
2021/08/24,16
2021/08/25,32
2021/08/26,21
2021/08/27,22
2021/08/28,23
2021/08/29,17
2021/08/30,8
2021/08/31,23
2021/09/01,12
2021/09/02,13
2021/09/03,24
2021/09/04,7
2021/09/05,11
2021/09/06,1
2021/09/07,24
2021/09/08,13
2021/09/09,24
2021/09/10,12
2021/09/11,20
2021/09/12,10
2021/09/13,0
2021/09/14,17
2021/09/15,26
2021/09/16,16
2021/09/17,14
2021/09/18,10
2021/09/19,17
2021/09/20,5
2021/09/21,14
2021/09/22,24
2021/09/23,21
2021/09/24,12
2021/09/25,15
2021/09/26,12
2021/09/27,2
2021/09/28,5
2021/09/29,24
2021/09/30,11
2021/10/01,28
2021/10/02,9
2021/10/03,10
2021/10/04,0
2021/10/05,14
2021/10/06,29
2021/10/07,17
2021/10/08,16
2021/10/09,10
2021/10/10,10
2021/10/11,4
2021/10/12,12
2021/10/13,12
2021/10/14,5
2021/10/15,10
2021/10/16,23
2021/10/17,13
2021/10/18,0
2021/10/19,16
2021/10/20,22
2021/10/21,18
2021/10/22,28
2021/10/23,17
2021/10/24,9
2021/10/25,5
2021/10/26,20
2021/10/27,25
2021/10/28,30
2021/10/29,24
2021/10/30,30
2021/10/31,6
2021/11/01,4
2021/11/02,11
2021/11/03,22
2021/11/04,40
2021/11/05,24
2021/11/06,35
2021/11/07,16
2021/11/08,2
2021/11/09,26
2021/11/10,52
2021/11/11,40
2021/11/12,40
2021/11/13,51
2021/11/14,28
2021/11/15,6
2021/11/16,62
2021/11/17,74
2021/11/18,68
2021/11/19,58
2021/11/20,92
2021/11/21,37
2021/11/22,19
2021/11/23,68
2021/11/24,128
2021/11/25,130
2021/11/26,88
2021/11/27,81
2021/11/28,51
2021/11/29,18
2021/11/30,88
2021/12/01,101
2021/12/02,85
2021/12/03,93
2021/12/04,115
2021/12/05,73
2021/12/06,22
2021/12/07,82
2021/12/08,99
2021/12/09,24
2021/12/10,96
2021/12/11,120
2021/12/12,75
2021/12/13,19
2021/12/14,121
2021/12/15,90
2021/12/16,168
2021/12/17,129
2021/12/18,203
2021/12/19,154
2021/12/20,22
2021/12/21,189
2021/12/22,211
2021/12/23,266
2021/12/24,333
2021/12/25,607
2021/12/26,85
2021/12/27,109
2021/12/28,771
2021/12/29,891
2021/12/30,1085
2021/12/31,1194
2022/01/01,1348
2022/01/02,252
2022/01/03,302
2022/01/04,1617
2022/01/05,1533
2022/01/06,1681
2022/01/07,447
2022/01/08,1720
2022/01/09,1188
2022/01/10,324
2022/01/11,1611
2022/01/12,1395
2022/01/13,1178
2022/01/14,1087
2022/01/15,1103
2022/01/16,939
2022/01/17,253
2022/01/18,1222
2022/01/19,1363
2022/01/20,1199
2022/01/21,1252
2022/01/22,1163
2022/01/23,803
2022/01/24,181
2022/01/25,1103
2022/01/26,1017
2022/01/27,994
2022/01/28,865
2022/01/29,729
2022/01/30,576
2022/01/31,144
2022/02/01,810
2022/02/02,637
2022/02/03,677
2022/02/04,397
2022/02/05,436
2022/02/06,334
2022/02/07,80
2022/02/08,451
2022/02/09,360
2022/02/10,312
2022/02/11,238
2022/02/12,226
2022/02/13,201
2022/02/14,58
2022/02/15,302
2022/02/16,219
2022/02/17,233
2022/02/18,194
2022/02/19,201
2022/02/20,167
2022/02/21,56
2022/02/22,308
2022/02/23,239
2022/02/24,261
2022/02/25,193
2022/02/26,208
2022/02/27,128
2022/02/28,31
2022/03/01,232
2022/03/02,186
2022/03/03,179
2022/03/04,176
2022/03/05,166
2022/03/06,126
2022/03/07,51
2022/03/08,245
2022/03/09,180
2022/03/10,194
2022/03/11,196
2022/03/12,190
2022/03/13,157
2022/03/14,52
2022/03/15,350
2022/03/16,240
2022/03/17,275
2022/03/18,261
2022/03/19,261
2022/03/20,174
2022/03/21,62
2022/03/22,393
2022/03/23,285
2022/03/24,308
2022/03/25,246
2022/03/26,288
2022/03/27,198
2022/03/28,65
2022/03/29,412
2022/03/30,293
2022/03/31,313
2022/04/01,281
2022/04/02,289
2022/04/03,226
2022/04/04,76
2022/04/05,365
2022/04/06,296
2022/04/07,300
2022/04/08,297
2022/04/09,304
2022/04/10,209
2022/04/11,63
2022/04/12,365
2022/04/13,286
2022/04/14,271
2022/04/15,260
2022/04/16,265
2022/04/17,196
2022/04/18,37
2022/04/19,39
2022/04/20,562
2022/04/21,289
2022/04/22,298
2022/04/23,277
2022/04/24,177
2022/04/25,77
2022/04/26,58
2022/04/27,488
2022/04/28,242
2022/04/29,260
2022/04/30,246
2022/05/01,149
2022/05/02,29
2022/05/03,350
2022/05/04,218
2022/05/05,181
2022/05/06,193
2022/05/07,173
2022/05/08,78
2022/05/09,73
2022/05/10,349
2022/05/11,177
2022/05/12,170
2022/05/13,160
2022/05/14,136
2022/05/15,90
2022/05/16,18
2022/05/17,158
2022/05/18,154
2022/05/19,103
2022/05/20,104
2022/05/21,85
2022/05/22,61
2022/05/23,26
2022/05/24,124
2022/05/25,71
2022/05/26,57
2022/05/27,68
2022/05/28,68
2022/05/29,37
2022/05/30,19
2022/05/31,108
2022/06/01,66
2022/06/02,68
2022/06/03,14
2022/06/04,98
2022/06/05,46
2022/06/06,28
2022/06/07,144
2022/06/08,89
2022/06/09,108
2022/06/10,92
2022/06/11,84
2022/06/12,74
2022/06/13,44
2022/06/14,142
2022/06/15,133
2022/06/16,165
2022/06/17,130
2022/06/18,149
2022/06/19,104
2022/06/20,53
2022/06/21,228
2022/06/22,273
2022/06/23,210
2022/06/24,258
2022/06/25,209
2022/06/26,168
2022/06/27,97
2022/06/28,155
2022/06/29,700
2022/06/30,329
2022/07/01,333
2022/07/02,342
2022/07/03,282
2022/07/04,50
2022/07/05,669
2022/07/06,502
2022/07/07,472
2022/07/08,448
2022/07/09,440
2022/07/10,310
2022/07/11,108
2022/07/12,740
2022/07/13,531
2022/07/14,534
2022/07/15,449
2022/07/16,458
2022/07/17,321
2022/07/18,106
2022/07/19,792
2022/07/20,508
2022/07/21,436
2022/07/22,403
2022/07/23,349
2022/07/24,300
2022/07/25,99
2022/07/26,613
