Datas,Cuneo
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,0
2020/03/04,0
2020/03/05,0
2020/03/06,1
2020/03/07,0
2020/03/08,4
2020/03/09,6
2020/03/10,3
2020/03/11,3
2020/03/12,7
2020/03/13,16
2020/03/14,7
2020/03/15,14
2020/03/16,30
2020/03/17,28
2020/03/18,30
2020/03/19,0
2020/03/20,72
2020/03/21,44
2020/03/22,38
2020/03/23,64
2020/03/24,42
2020/03/25,32
2020/03/26,46
2020/03/27,31
2020/03/28,40
2020/03/29,33
2020/03/30,59
2020/03/31,81
2020/04/01,47
2020/04/02,48
2020/04/03,24
2020/04/04,82
2020/04/05,139
2020/04/06,64
2020/04/07,52
2020/04/08,40
2020/04/09,74
2020/04/10,17
2020/04/11,32
2020/04/12,112
2020/04/13,145
2020/04/14,140
2020/04/15,44
2020/04/16,23
2020/04/17,83
2020/04/18,80
2020/04/19,76
2020/04/20,22
2020/04/21,50
2020/04/22,59
2020/04/23,27
2020/04/24,68
2020/04/25,100
2020/04/26,12
2020/04/27,16
2020/04/28,10
2020/04/29,42
2020/04/30,27
2020/05/01,7
2020/05/02,33
2020/05/03,9
2020/05/04,18
2020/05/05,6
2020/05/06,28
2020/05/07,16
2020/05/08,25
2020/05/09,6
2020/05/10,7
2020/05/11,5
2020/05/12,3
2020/05/13,10
2020/05/14,7
2020/05/15,13
2020/05/16,6
2020/05/17,3
2020/05/18,10
2020/05/19,2
2020/05/20,6
2020/05/21,9
2020/05/22,5
2020/05/23,10
2020/05/24,9
2020/05/25,7
2020/05/26,6
2020/05/27,4
2020/05/28,3
2020/05/29,6
2020/05/30,8
2020/05/31,6
2020/06/01,1
2020/06/02,3
2020/06/03,0
2020/06/04,4
2020/06/05,6
2020/06/06,7
2020/06/07,1
2020/06/08,2
2020/06/09,6
2020/06/10,4
2020/06/11,7
2020/06/12,3
2020/06/13,2
2020/06/14,4
2020/06/15,0
2020/06/16,1
2020/06/17,4
2020/06/18,3
2020/06/19,7
2020/06/20,3
2020/06/21,2
2020/06/22,0
2020/06/23,0
2020/06/24,1
2020/06/25,1
2020/06/26,2
2020/06/27,2
2020/06/28,5
2020/06/29,0
2020/06/30,2
2020/07/01,2
2020/07/02,2
2020/07/03,6
2020/07/04,1
