Datas,Ferrara
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,0
2020/03/04,0
2020/03/05,0
2020/03/06,1
2020/03/07,1
2020/03/08,4
2020/03/09,1
2020/03/10,1
2020/03/11,4
2020/03/12,5
2020/03/13,7
2020/03/14,5
2020/03/15,5
2020/03/16,10
2020/03/17,14
2020/03/18,6
2020/03/19,14
2020/03/20,24
2020/03/21,21
2020/03/22,27
2020/03/23,22
2020/03/24,18
2020/03/25,14
2020/03/26,8
2020/03/27,32
2020/03/28,37
2020/03/29,19
2020/03/30,6
2020/03/31,14
2020/04/01,6
2020/04/02,15
2020/04/03,27
2020/04/04,106
2020/04/05,14
2020/04/06,22
2020/04/07,12
2020/04/08,16
2020/04/09,25
2020/04/10,3
2020/04/11,14
2020/04/12,36
2020/04/13,2
2020/04/14,17
2020/04/15,14
2020/04/16,60
2020/04/17,35
2020/04/18,15
2020/04/19,12
2020/04/20,16
2020/04/21,18
2020/04/22,28
2020/04/23,24
2020/04/24,20
2020/04/25,8
2020/04/26,16
2020/04/27,4
2020/04/28,4
2020/04/29,9
2020/04/30,3
2020/05/01,5
2020/05/02,6
2020/05/03,2
2020/05/04,4
2020/05/05,2
2020/05/06,11
2020/05/07,9
2020/05/08,10
2020/05/09,2
2020/05/10,3
2020/05/11,2
2020/05/12,0
2020/05/13,0
2020/05/14,0
2020/05/15,1
2020/05/16,2
2020/05/17,0
2020/05/18,0
2020/05/19,0
2020/05/20,3
2020/05/21,1
2020/05/22,1
2020/05/23,0
2020/05/24,0
2020/05/25,1
2020/05/26,0
2020/05/27,0
2020/05/28,1
2020/05/29,5
2020/05/30,0
2020/05/31,1
2020/06/01,1
2020/06/02,1
2020/06/03,0
2020/06/04,2
2020/06/05,1
2020/06/06,1
2020/06/07,0
2020/06/08,0
2020/06/09,1
2020/06/10,2
2020/06/11,0
2020/06/12,3
2020/06/13,2
2020/06/14,0
2020/06/15,0
2020/06/16,1
2020/06/17,0
2020/06/18,0
2020/06/19,2
2020/06/20,1
2020/06/21,1
2020/06/22,0
2020/06/23,6
2020/06/24,8
2020/06/25,5
2020/06/26,-5
2020/06/27,10
2020/06/28,5
2020/06/29,0
2020/06/30,3
2020/07/01,3
2020/07/02,0
2020/07/03,0
2020/07/04,0
