Datas,Firenze
2020/02/25,1
2020/02/26,1
2020/02/27,-1
2020/02/28,6
2020/02/29,-2
2020/03/01,0
2020/03/02,-1
2020/03/03,3
2020/03/04,5
2020/03/05,8
2020/03/06,3
2020/03/07,4
2020/03/08,12
2020/03/09,12
2020/03/10,10
2020/03/11,10
2020/03/12,15
2020/03/13,15
2020/03/14,31
2020/03/15,30
2020/03/16,24
2020/03/17,28
2020/03/18,81
2020/03/19,54
2020/03/20,52
2020/03/21,50
2020/03/22,63
2020/03/23,34
2020/03/24,74
2020/03/25,87
2020/03/26,55
2020/03/27,0
2020/03/28,91
2020/03/29,102
2020/03/30,65
2020/03/31,65
2020/04/01,71
2020/04/02,261
2020/04/03,124
2020/04/04,83
2020/04/05,89
2020/04/06,54
2020/04/07,36
2020/04/08,66
2020/04/09,90
2020/04/10,108
2020/04/11,85
2020/04/12,105
2020/04/13,10
2020/04/14,42
2020/04/15,61
2020/04/16,71
2020/04/17,51
2020/04/18,69
2020/04/19,46
2020/04/20,44
2020/04/21,51
2020/04/22,56
2020/04/23,35
2020/04/24,54
2020/04/25,75
2020/04/26,79
2020/04/27,8
2020/04/28,28
2020/04/29,40
2020/04/30,41
2020/05/01,36
2020/05/02,37
2020/05/03,17
2020/05/04,14
2020/05/05,18
2020/05/06,15
2020/05/07,18
2020/05/08,21
2020/05/09,9
2020/05/10,11
2020/05/11,6
2020/05/12,11
2020/05/13,7
2020/05/14,13
2020/05/15,18
2020/05/16,14
2020/05/17,18
2020/05/18,3
2020/05/19,5
2020/05/20,2
2020/05/21,7
2020/05/22,16
2020/05/23,9
2020/05/24,6
2020/05/25,0
2020/05/26,1
2020/05/27,4
2020/05/28,1
2020/05/29,1
2020/05/30,6
2020/05/31,3
2020/06/01,1
2020/06/02,3
2020/06/03,2
2020/06/04,0
2020/06/05,5
2020/06/06,4
2020/06/07,1
2020/06/08,2
2020/06/09,1
2020/06/10,1
2020/06/11,5
2020/06/12,5
2020/06/13,7
2020/06/14,6
2020/06/15,3
2020/06/16,0
2020/06/17,0
2020/06/18,1
2020/06/19,2
2020/06/20,0
2020/06/21,1
2020/06/22,0
2020/06/23,1
2020/06/24,-333
2020/06/25,0
2020/06/26,0
2020/06/27,2
2020/06/28,0
2020/06/29,3
2020/06/30,2
2020/07/01,0
2020/07/02,0
2020/07/03,7
2020/07/04,1
2020/07/05,6
2020/07/06,0
2020/07/07,7
2020/07/08,5
2020/07/09,0
2020/07/10,0
2020/07/11,3
2020/07/12,1
2020/07/13,0
2020/07/14,0
2020/07/15,1
2020/07/16,2
2020/07/17,1
2020/07/18,0
2020/07/19,10
2020/07/20,0
2020/07/21,3
2020/07/22,3
2020/07/23,0
2020/07/24,4
2020/07/25,4
2020/07/26,9
2020/07/27,2
