Datas,Foggia
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,1
2020/03/04,1
2020/03/05,5
2020/03/06,0
2020/03/07,2
2020/03/08,7
2020/03/09,7
2020/03/10,0
2020/03/11,1
2020/03/12,9
2020/03/13,1
2020/03/14,18
2020/03/15,10
2020/03/16,0
2020/03/17,29
2020/03/18,0
2020/03/19,43
2020/03/20,29
2020/03/21,27
2020/03/22,22
2020/03/23,14
2020/03/24,29
2020/03/25,22
2020/03/26,28
2020/03/27,20
2020/03/28,30
2020/03/29,22
2020/03/30,28
2020/03/31,52
2020/04/01,33
2020/04/02,12
2020/04/03,25
2020/04/04,19
2020/04/05,18
2020/04/06,41
2020/04/07,30
2020/04/08,17
2020/04/09,49
2020/04/10,20
2020/04/11,3
2020/04/12,15
2020/04/13,-2
2020/04/14,5
2020/04/15,14
2020/04/16,24
2020/04/17,27
2020/04/18,15
2020/04/19,30
2020/04/20,16
2020/04/21,28
2020/04/22,37
2020/04/23,23
2020/04/24,13
2020/04/25,9
2020/04/26,8
2020/04/27,3
2020/04/28,15
2020/04/29,28
2020/04/30,12
2020/05/01,6
2020/05/02,16
2020/05/03,2
2020/05/04,2
2020/05/05,7
2020/05/06,11
2020/05/07,10
2020/05/08,5
2020/05/09,5
2020/05/10,3
2020/05/11,5
2020/05/12,1
2020/05/13,2
2020/05/14,2
2020/05/15,4
2020/05/16,1
2020/05/17,1
2020/05/18,1
2020/05/19,1
2020/05/20,2
2020/05/21,1
2020/05/22,3
2020/05/23,0
2020/05/24,7
2020/05/25,0
2020/05/26,0
2020/05/27,10
2020/05/28,1
2020/05/29,0
2020/05/30,0
2020/05/31,2
2020/06/01,1
2020/06/02,0
2020/06/03,1
2020/06/04,0
2020/06/05,1
2020/06/06,3
2020/06/07,1
2020/06/08,0
2020/06/09,0
2020/06/10,0
2020/06/11,1
2020/06/12,1
2020/06/13,0
2020/06/14,0
2020/06/15,0
2020/06/16,0
2020/06/17,0
2020/06/18,-1
2020/06/19,1
2020/06/20,3
2020/06/21,1
2020/06/22,0
2020/06/23,2
2020/06/24,0
2020/06/25,0
2020/06/26,0
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,-1
2020/07/02,0
2020/07/03,0
2020/07/04,0
