Datas,Forlì-Cesena
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,1
2020/03/02,0
2020/03/03,0
2020/03/04,1
2020/03/05,2
2020/03/06,-1
2020/03/07,4
2020/03/08,8
2020/03/09,1
2020/03/10,4
2020/03/11,4
2020/03/12,9
2020/03/13,16
2020/03/14,13
2020/03/15,16
2020/03/16,25
2020/03/17,41
2020/03/18,27
2020/03/19,56
2020/03/20,23
2020/03/21,19
2020/03/22,60
2020/03/23,51
2020/03/24,57
2020/03/25,17
2020/03/26,59
2020/03/27,67
2020/03/28,32
2020/03/29,30
2020/03/30,41
2020/03/31,47
2020/04/01,26
2020/04/02,33
2020/04/03,77
2020/04/04,58
2020/04/05,53
2020/04/06,38
2020/04/07,19
2020/04/08,24
2020/04/09,23
2020/04/10,18
2020/04/11,64
2020/04/12,48
2020/04/13,34
2020/04/14,56
2020/04/15,23
2020/04/16,23
2020/04/17,33
2020/04/18,16
2020/04/19,19
2020/04/20,20
2020/04/21,11
2020/04/22,8
2020/04/23,17
2020/04/24,14
2020/04/25,15
2020/04/26,24
2020/04/27,18
2020/04/28,7
2020/04/29,7
2020/04/30,20
2020/05/01,10
2020/05/02,9
2020/05/03,4
2020/05/04,23
2020/05/05,3
2020/05/06,19
2020/05/07,7
2020/05/08,10
2020/05/09,14
2020/05/10,2
2020/05/11,3
2020/05/12,4
2020/05/13,10
2020/05/14,1
2020/05/15,-1
2020/05/16,0
2020/05/17,6
2020/05/18,3
2020/05/19,3
2020/05/20,1
2020/05/21,2
2020/05/22,3
2020/05/23,3
2020/05/24,4
2020/05/25,0
2020/05/26,0
2020/05/27,0
2020/05/28,1
2020/05/29,1
2020/05/30,0
2020/05/31,1
2020/06/01,1
2020/06/02,0
2020/06/03,1
2020/06/04,0
2020/06/05,1
2020/06/06,0
2020/06/07,0
2020/06/08,1
2020/06/09,0
2020/06/10,0
2020/06/11,1
2020/06/12,2
2020/06/13,1
2020/06/14,0
2020/06/15,0
2020/06/16,0
2020/06/17,1
2020/06/18,0
2020/06/19,1
2020/06/20,0
2020/06/21,2
2020/06/22,3
2020/06/23,3
2020/06/24,-16
2020/06/25,4
2020/06/26,-8
2020/06/27,12
2020/06/28,2
2020/06/29,2
2020/06/30,4
2020/07/01,-1
2020/07/02,3
2020/07/03,2
