Datas,Genova
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,1
2020/03/02,0
2020/03/03,0
2020/03/04,0
2020/03/05,0
2020/03/06,8
2020/03/07,6
2020/03/08,10
2020/03/09,13
2020/03/10,4
2020/03/11,21
2020/03/12,29
2020/03/13,36
2020/03/14,103
2020/03/15,43
2020/03/16,0
2020/03/17,56
2020/03/18,48
2020/03/19,110
2020/03/20,39
2020/03/21,34
2020/03/22,116
2020/03/23,12
2020/03/24,7
2020/03/25,86
2020/03/26,-20
2020/03/27,55
2020/03/28,62
2020/03/29,147
2020/03/30,43
2020/03/31,26
2020/04/01,13
2020/04/02,45
2020/04/03,27
2020/04/04,132
2020/04/05,612
2020/04/06,78
2020/04/07,155
2020/04/08,628
2020/04/09,64
2020/04/10,69
2020/04/11,14
2020/04/12,154
2020/04/13,0
2020/04/14,386
2020/04/15,15
2020/04/16,35
2020/04/17,35
2020/04/18,87
2020/04/19,62
2020/04/20,86
2020/04/21,63
2020/04/22,82
2020/04/23,94
2020/04/24,61
2020/04/25,45
2020/04/26,156
2020/04/27,145
2020/04/28,55
2020/04/29,78
2020/04/30,45
2020/05/01,70
2020/05/02,146
2020/05/03,8
2020/05/04,38
2020/05/05,45
2020/05/06,45
2020/05/07,39
2020/05/08,49
2020/05/09,-10
2020/05/10,19
2020/05/11,30
2020/05/12,-17
2020/05/13,44
2020/05/14,43
2020/05/15,62
2020/05/16,33
2020/05/17,28
2020/05/18,24
2020/05/19,39
2020/05/20,24
2020/05/21,49
2020/05/22,35
2020/05/23,34
2020/05/24,48
2020/05/25,7
2020/05/26,41
2020/05/27,27
2020/05/28,22
2020/05/29,8
2020/05/30,11
2020/05/31,7
2020/06/01,50
2020/06/02,11
2020/06/03,15
2020/06/04,7
2020/06/05,10
2020/06/06,6
2020/06/07,13
2020/06/08,11
2020/06/09,6
2020/06/10,11
2020/06/11,3
2020/06/12,5
2020/06/13,2
2020/06/14,4
2020/06/15,6
2020/06/16,2
2020/06/17,4
2020/06/18,6
2020/06/19,5
2020/06/20,10
2020/06/21,5
2020/06/22,7
2020/06/23,4
2020/06/24,-338
2020/06/25,15
2020/06/26,4
2020/06/27,5
2020/06/28,3
2020/06/29,3
2020/06/30,14
2020/07/01,1
2020/07/02,1
2020/07/03,2
2020/07/04,9
