Datas,Imperia
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,1
2020/03/02,0
2020/03/03,1
2020/03/04,0
2020/03/05,0
2020/03/06,1
2020/03/07,4
2020/03/08,3
2020/03/09,1
2020/03/10,4
2020/03/11,3
2020/03/12,14
2020/03/13,9
2020/03/14,23
2020/03/15,14
2020/03/16,0
2020/03/17,-2
2020/03/18,25
2020/03/19,16
2020/03/20,28
2020/03/21,10
2020/03/22,13
2020/03/23,-8
2020/03/24,26
2020/03/25,-9
2020/03/26,34
2020/03/27,3
2020/03/28,22
2020/03/29,-2
2020/03/30,9
2020/03/31,-9
2020/04/01,-8
2020/04/02,-6
2020/04/03,3
2020/04/04,1
2020/04/05,362
2020/04/06,6
2020/04/07,75
2020/04/08,132
2020/04/09,32
2020/04/10,68
2020/04/11,-18
2020/04/12,1
2020/04/13,0
2020/04/14,97
2020/04/15,57
2020/04/16,12
2020/04/17,35
2020/04/18,21
2020/04/19,18
2020/04/20,34
2020/04/21,0
2020/04/22,30
2020/04/23,13
2020/04/24,15
2020/04/25,19
2020/04/26,12
2020/04/27,1
2020/04/28,37
2020/04/29,34
2020/04/30,21
2020/05/01,14
2020/05/02,17
2020/05/03,6
2020/05/04,1
2020/05/05,0
2020/05/06,6
2020/05/07,7
2020/05/08,10
2020/05/09,4
2020/05/10,14
2020/05/11,12
2020/05/12,14
2020/05/13,2
2020/05/14,11
2020/05/15,3
2020/05/16,11
2020/05/17,10
2020/05/18,8
2020/05/19,4
2020/05/20,3
2020/05/21,0
2020/05/22,4
2020/05/23,1
2020/05/24,1
2020/05/25,10
2020/05/26,6
2020/05/27,1
2020/05/28,-6
2020/05/29,0
2020/05/30,23
2020/05/31,5
2020/06/01,1
2020/06/02,1
2020/06/03,0
2020/06/04,4
2020/06/05,2
2020/06/06,4
2020/06/07,0
2020/06/08,2
2020/06/09,0
2020/06/10,5
2020/06/11,9
2020/06/12,2
2020/06/13,0
2020/06/14,0
2020/06/15,1
2020/06/16,4
2020/06/17,0
2020/06/18,0
2020/06/19,0
2020/06/20,0
2020/06/21,0
2020/06/22,1
2020/06/23,0
2020/06/24,-84
2020/06/25,0
2020/06/26,1
2020/06/27,0
2020/06/28,1
2020/06/29,0
2020/06/30,0
2020/07/01,4
2020/07/02,2
2020/07/03,1
