Datas,L'Aquila
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,1
2020/03/04,0
2020/03/05,0
2020/03/06,0
2020/03/07,0
2020/03/08,0
2020/03/09,4
2020/03/10,1
2020/03/11,0
2020/03/12,2
2020/03/13,1
2020/03/14,4
2020/03/15,2
2020/03/16,3
2020/03/17,1
2020/03/18,1
2020/03/19,5
2020/03/20,4
2020/03/21,2
2020/03/22,7
2020/03/23,2
2020/03/24,7
2020/03/25,13
2020/03/26,4
2020/03/27,11
2020/03/28,13
2020/03/29,13
2020/03/30,14
2020/03/31,8
2020/04/01,5
2020/04/02,12
2020/04/03,26
2020/04/04,8
2020/04/05,5
2020/04/06,4
2020/04/07,6
2020/04/08,8
2020/04/09,2
2020/04/10,14
2020/04/11,5
2020/04/12,2
2020/04/13,0
2020/04/14,8
2020/04/15,1
2020/04/16,3
2020/04/17,1
2020/04/18,0
2020/04/19,4
2020/04/20,0
2020/04/21,1
2020/04/22,0
2020/04/23,3
2020/04/24,0
2020/04/25,-1
2020/04/26,1
2020/04/27,1
2020/04/28,2
2020/04/29,0
2020/04/30,-1
2020/05/01,0
2020/05/02,0
2020/05/03,0
2020/05/04,-1
2020/05/05,0
2020/05/06,0
2020/05/07,1
2020/05/08,0
2020/05/09,0
2020/05/10,0
2020/05/11,0
2020/05/12,1
2020/05/13,0
2020/05/14,2
2020/05/15,0
2020/05/16,0
2020/05/17,0
2020/05/18,0
2020/05/19,0
2020/05/20,0
2020/05/21,0
2020/05/22,0
2020/05/23,0
2020/05/24,0
2020/05/25,0
2020/05/26,0
2020/05/27,0
2020/05/28,-1
2020/05/29,1
2020/05/30,0
2020/05/31,0
2020/06/01,0
2020/06/02,0
2020/06/03,1
2020/06/04,0
2020/06/05,0
2020/06/06,0
2020/06/07,0
2020/06/08,0
2020/06/09,0
2020/06/10,-1
2020/06/11,0
2020/06/12,0
2020/06/13,0
2020/06/14,1
2020/06/15,0
2020/06/16,0
2020/06/17,-1
2020/06/18,0
2020/06/19,0
2020/06/20,0
2020/06/21,0
2020/06/22,-1
2020/06/23,0
2020/06/24,-21
2020/06/25,0
2020/06/26,1
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,0
2020/07/02,0
2020/07/03,1
