Datas,La Spezia
2020/02/25,0
2020/02/26,1
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,0
2020/03/04,0
2020/03/05,0
2020/03/06,0
2020/03/07,4
2020/03/08,6
2020/03/09,4
2020/03/10,0
2020/03/11,4
2020/03/12,7
2020/03/13,11
2020/03/14,15
2020/03/15,8
2020/03/16,0
2020/03/17,5
2020/03/18,18
2020/03/19,5
2020/03/20,2
2020/03/21,4
2020/03/22,5
2020/03/23,11
2020/03/24,-6
2020/03/25,33
2020/03/26,12
2020/03/27,64
2020/03/28,21
2020/03/29,-1
2020/03/30,1
2020/03/31,14
2020/04/01,-3
2020/04/02,5
2020/04/03,73
2020/04/04,18
2020/04/05,104
2020/04/06,5
2020/04/07,13
2020/04/08,142
2020/04/09,14
2020/04/10,10
2020/04/11,0
2020/04/12,41
2020/04/13,0
2020/04/14,-10
2020/04/15,36
2020/04/16,24
2020/04/17,5
2020/04/18,16
2020/04/19,26
2020/04/20,10
2020/04/21,11
2020/04/22,5
2020/04/23,10
2020/04/24,6
2020/04/25,4
2020/04/26,2
2020/04/27,8
2020/04/28,-1
2020/04/29,3
2020/04/30,4
2020/05/01,6
2020/05/02,10
2020/05/03,5
2020/05/04,11
2020/05/05,4
2020/05/06,3
2020/05/07,3
2020/05/08,6
2020/05/09,9
2020/05/10,3
2020/05/11,2
2020/05/12,4
2020/05/13,1
2020/05/14,3
2020/05/15,1
2020/05/16,1
2020/05/17,1
2020/05/18,1
2020/05/19,-4
2020/05/20,2
2020/05/21,-5
2020/05/22,0
2020/05/23,1
2020/05/24,0
2020/05/25,0
2020/05/26,0
2020/05/27,0
2020/05/28,-4
2020/05/29,4
2020/05/30,-5
2020/05/31,0
2020/06/01,5
2020/06/02,-5
2020/06/03,2
2020/06/04,1
2020/06/05,0
2020/06/06,1
2020/06/07,0
2020/06/08,1
2020/06/09,0
2020/06/10,0
2020/06/11,-1
2020/06/12,0
2020/06/13,0
2020/06/14,0
2020/06/15,1
2020/06/16,0
2020/06/17,1
2020/06/18,-1
2020/06/19,0
2020/06/20,0
2020/06/21,0
2020/06/22,-1
2020/06/23,0
2020/06/24,-42
2020/06/25,0
2020/06/26,1
2020/06/27,0
2020/06/28,0
2020/06/29,3
2020/06/30,2
2020/07/01,0
2020/07/02,0
2020/07/03,0
2020/07/04,1
2020/07/05,1
2020/07/06,-1
2020/07/07,1
2020/07/08,1
2020/07/09,0
2020/07/10,3
2020/07/11,0
2020/07/12,0
2020/07/13,1
2020/07/14,0
2020/07/15,0
2020/07/16,0
2020/07/17,0
2020/07/18,0
2020/07/19,1
2020/07/20,0
2020/07/21,0
2020/07/22,0
2020/07/23,1
2020/07/24,0
2020/07/25,1
2020/07/26,0
2020/07/27,2
2020/07/28,0
2020/07/29,3
2020/07/30,3
2020/07/31,0
2020/08/01,0
2020/08/02,1
2020/08/03,0
2020/08/04,0
2020/08/05,0
2020/08/06,0
2020/08/07,1
2020/08/08,0
2020/08/09,0
2020/08/10,0
2020/08/11,1
2020/08/12,2
2020/08/13,12
2020/08/14,3
2020/08/15,2
2020/08/16,0
2020/08/17,2
2020/08/18,4
2020/08/19,5
2020/08/20,7
2020/08/21,1
2020/08/22,6
2020/08/23,11
2020/08/24,11
2020/08/25,5
2020/08/26,16
2020/08/27,11
2020/08/28,25
2020/08/29,22
2020/08/30,31
2020/08/31,30
2020/09/01,11
2020/09/02,23
2020/09/03,6
2020/09/04,19
2020/09/05,43
2020/09/06,73
2020/09/07,47
2020/09/08,25
2020/09/09,33
2020/09/10,92
2020/09/11,53
2020/09/12,69
2020/09/13,48
2020/09/14,43
2020/09/15,81
2020/09/16,31
2020/09/17,8
2020/09/18,86
2020/09/19,33
2020/09/20,31
2020/09/21,20
2020/09/22,57
2020/09/23,23
2020/09/24,51
2020/09/25,21
2020/09/26,23
2020/09/27,15
2020/09/28,28
2020/09/29,16
2020/09/30,8
2020/10/01,28
2020/10/02,22
2020/10/03,19
2020/10/04,17
2020/10/05,22
2020/10/06,14
2020/10/07,15
2020/10/08,16
2020/10/09,30
2020/10/10,30
2020/10/11,26
2020/10/12,25
2020/10/13,17
2020/10/14,33
2020/10/15,18
2020/10/16,30
2020/10/17,38
2020/10/18,67
2020/10/19,38
2020/10/20,27
2020/10/21,47
2020/10/22,54
2020/10/23,44
2020/10/24,91
2020/10/25,72
2020/10/26,94
2020/10/27,127
2020/10/28,87
2020/10/29,146
2020/10/30,82
2020/10/31,184
2020/11/01,135
2020/11/02,81
2020/11/03,56
2020/11/04,97
2020/11/05,153
2020/11/06,172
2020/11/07,149
2020/11/08,142
2020/11/09,46
2020/11/10,110
2020/11/11,132
2020/11/12,112
2020/11/13,160
2020/11/14,146
2020/11/15,133
2020/11/16,51
2020/11/17,35
2020/11/18,191
2020/11/19,111
2020/11/20,83
2020/11/21,114
2020/11/22,129
2020/11/23,33
2020/11/24,63
2020/11/25,86
2020/11/26,46
2020/11/27,124
2020/11/28,77
2020/11/29,67
2020/11/30,21
2020/12/01,35
2020/12/02,64
2020/12/03,85
2020/12/04,54
2020/12/05,38
2020/12/06,51
2020/12/07,8
2020/12/08,37
2020/12/09,23
2020/12/10,87
2020/12/11,68
2020/12/12,45
2020/12/13,48
2020/12/14,23
2020/12/15,46
2020/12/16,80
2020/12/17,55
2020/12/18,34
2020/12/19,40
2020/12/20,47
2020/12/21,3
2020/12/22,21
