Datas,Lecco
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,2
2020/03/02,1
2020/03/03,1
2020/03/04,1
2020/03/05,3
2020/03/06,3
2020/03/07,24
2020/03/08,18
2020/03/09,13
2020/03/10,23
2020/03/11,24
2020/03/12,86
2020/03/13,38
2020/03/14,50
2020/03/15,57
2020/03/16,42
2020/03/17,54
2020/03/18,26
2020/03/19,64
2020/03/20,146
2020/03/21,142
2020/03/22,54
2020/03/23,62
2020/03/24,81
2020/03/25,61
2020/03/26,83
2020/03/27,51
2020/03/28,106
2020/03/29,65
2020/03/30,56
2020/03/31,33
2020/04/01,46
2020/04/02,36
2020/04/03,42
2020/04/04,34
2020/04/05,50
2020/04/06,34
2020/04/07,19
2020/04/08,24
2020/04/09,50
2020/04/10,33
2020/04/11,22
2020/04/12,21
2020/04/13,30
2020/04/14,59
2020/04/15,12
2020/04/16,4
2020/04/17,19
2020/04/18,25
2020/04/19,42
2020/04/20,8
2020/04/21,13
2020/04/22,16
2020/04/23,23
2020/04/24,17
2020/04/25,8
2020/04/26,20
2020/04/27,53
2020/04/28,18
2020/04/29,17
2020/04/30,9
2020/05/01,3
2020/05/02,13
2020/05/03,54
2020/05/04,16
2020/05/05,11
2020/05/06,10
2020/05/07,38
2020/05/08,29
2020/05/09,34
2020/05/10,4
2020/05/11,50
2020/05/12,25
2020/05/13,22
2020/05/14,16
2020/05/15,17
2020/05/16,18
2020/05/17,11
2020/05/18,3
2020/05/19,39
2020/05/20,4
2020/05/21,9
2020/05/22,6
2020/05/23,11
2020/05/24,3
2020/05/25,4
2020/05/26,0
2020/05/27,0
2020/05/28,5
2020/05/29,1
2020/05/30,6
2020/05/31,7
2020/06/01,2
2020/06/02,6
2020/06/03,5
2020/06/04,5
2020/06/05,4
2020/06/06,1
2020/06/07,0
2020/06/08,2
2020/06/09,2
2020/06/10,1
2020/06/11,3
2020/06/12,4
2020/06/13,4
2020/06/14,12
2020/06/15,7
2020/06/16,0
2020/06/17,3
2020/06/18,4
2020/06/19,3
2020/06/20,4
2020/06/21,2
2020/06/22,0
2020/06/23,1
2020/06/24,2
2020/06/25,1
2020/06/26,3
2020/06/27,1
2020/06/28,3
2020/06/29,2
2020/06/30,1
2020/07/01,4
2020/07/02,2
2020/07/03,4
2020/07/04,1
2020/07/05,1
