Datas,Lodi
2020/02/25,125
2020/02/26,3
2020/02/27,31
2020/02/28,23
2020/02/29,55
2020/03/01,107
2020/03/02,40
2020/03/03,98
2020/03/04,77
2020/03/05,99
2020/03/06,81
2020/03/07,72
2020/03/08,42
2020/03/09,75
2020/03/10,35
2020/03/11,72
2020/03/12,88
2020/03/13,10
2020/03/14,143
2020/03/15,44
2020/03/16,42
2020/03/17,56
2020/03/18,27
2020/03/19,83
2020/03/20,69
2020/03/21,96
2020/03/22,79
2020/03/23,45
2020/03/24,43
2020/03/25,24
2020/03/26,84
2020/03/27,38
2020/03/28,23
2020/03/29,28
2020/03/30,30
2020/03/31,29
2020/04/01,41
2020/04/02,32
2020/04/03,25
2020/04/04,24
2020/04/05,17
2020/04/06,23
2020/04/07,43
2020/04/08,26
2020/04/09,29
2020/04/10,43
2020/04/11,53
2020/04/12,71
2020/04/13,16
2020/04/14,10
2020/04/15,18
2020/04/16,39
2020/04/17,52
2020/04/18,36
2020/04/19,10
2020/04/20,16
2020/04/21,11
2020/04/22,36
2020/04/23,46
2020/04/24,3
2020/04/25,67
2020/04/26,23
2020/04/27,10
2020/04/28,11
2020/04/29,12
2020/04/30,7
2020/05/01,28
2020/05/02,23
2020/05/03,30
2020/05/04,15
2020/05/05,52
2020/05/06,41
2020/05/07,49
2020/05/08,18
2020/05/09,42
2020/05/10,7
2020/05/11,6
2020/05/12,16
2020/05/13,8
2020/05/14,12
2020/05/15,12
2020/05/16,16
2020/05/17,10
2020/05/18,2
2020/05/19,16
2020/05/20,11
2020/05/21,7
2020/05/22,5
2020/05/23,8
2020/05/24,3
2020/05/25,3
2020/05/26,6
2020/05/27,22
2020/05/28,13
2020/05/29,11
2020/05/30,10
2020/05/31,6
2020/06/01,0
2020/06/02,2
2020/06/03,7
2020/06/04,2
2020/06/05,10
2020/06/06,3
2020/06/07,2
2020/06/08,2
2020/06/09,9
2020/06/10,4
2020/06/11,7
2020/06/12,11
2020/06/13,1
2020/06/14,5
2020/06/15,2
2020/06/16,8
2020/06/17,3
2020/06/18,0
2020/06/19,2
2020/06/20,0
2020/06/21,3
2020/06/22,1
2020/06/23,1
2020/06/24,6
2020/06/25,1
2020/06/26,3
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,1
2020/07/01,5
2020/07/02,3
2020/07/03,4
2020/07/04,4
2020/07/05,2
2020/07/06,0
2020/07/07,3
2020/07/08,4
2020/07/09,0
2020/07/10,3
2020/07/11,4
2020/07/12,0
2020/07/13,0
2020/07/14,1
2020/07/15,1
2020/07/16,1
2020/07/17,4
2020/07/18,8
2020/07/19,0
2020/07/20,0
2020/07/21,1
2020/07/22,4
2020/07/23,0
2020/07/24,3
2020/07/25,2
2020/07/26,0
2020/07/27,0
2020/07/28,1
2020/07/29,0
2020/07/30,0
2020/07/31,1
2020/08/01,1
2020/08/02,1
2020/08/03,0
2020/08/04,2
2020/08/05,4
2020/08/06,0
2020/08/07,2
2020/08/08,3
2020/08/09,3
2020/08/10,2
2020/08/11,0
2020/08/12,5
2020/08/13,1
2020/08/14,1
2020/08/15,0
2020/08/16,0
2020/08/17,1
2020/08/18,0
2020/08/19,2
2020/08/20,2
2020/08/21,4
2020/08/22,7
2020/08/23,7
2020/08/24,0
2020/08/25,0
2020/08/26,5
2020/08/27,2
2020/08/28,9
2020/08/29,3
2020/08/30,2
2020/08/31,1
2020/09/01,1
2020/09/02,1
2020/09/03,8
2020/09/04,1
2020/09/05,2
2020/09/06,1
2020/09/07,1
2020/09/08,4
2020/09/09,5
2020/09/10,4
2020/09/11,3
2020/09/12,3
2020/09/13,8
2020/09/14,0
2020/09/15,3
2020/09/16,14
2020/09/17,5
2020/09/18,4
2020/09/19,3
2020/09/20,1
2020/09/21,2
2020/09/22,1
2020/09/23,0
2020/09/24,5
2020/09/25,2
2020/09/26,6
2020/09/27,3
2020/09/28,1
2020/09/29,1
2020/09/30,6
2020/10/01,8
2020/10/02,2
2020/10/03,5
2020/10/04,2
2020/10/05,0
2020/10/06,2
2020/10/07,12
2020/10/08,9
2020/10/09,8
2020/10/10,17
2020/10/11,17
2020/10/12,11
2020/10/13,10
2020/10/14,23
2020/10/15,81
2020/10/16,55
2020/10/17,46
2020/10/18,62
2020/10/19,48
2020/10/20,44
2020/10/21,52
2020/10/22,79
2020/10/23,108
2020/10/24,86
2020/10/25,98
2020/10/26,58
2020/10/27,130
2020/10/28,97
2020/10/29,93
2020/10/30,133
2020/10/31,151
2020/11/01,138
2020/11/02,29
2020/11/03,58
2020/11/04,129
2020/11/05,173
2020/11/06,103
2020/11/07,207
2020/11/08,57
2020/11/09,138
2020/11/10,107
2020/11/11,131
2020/11/12,69
2020/11/13,264
2020/11/14,181
2020/11/15,149
2020/11/16,24
2020/11/17,93
2020/11/18,134
2020/11/19,164
2020/11/20,156
2020/11/21,77
2020/11/22,137
2020/11/23,138
2020/11/24,78
2020/11/25,125
2020/11/26,114
2020/11/27,127
2020/11/28,117
2020/11/29,58
2020/11/30,16
2020/12/01,111
2020/12/02,55
2020/12/03,121
2020/12/04,89
2020/12/05,35
2020/12/06,126
2020/12/07,3
2020/12/08,59
2020/12/09,12
2020/12/10,93
2020/12/11,104
2020/12/12,25
2020/12/13,72
2020/12/14,31
2020/12/15,43
2020/12/16,98
2020/12/17,52
2020/12/18,78
2020/12/19,27
2020/12/20,86
2020/12/21,15
2020/12/22,29
2020/12/23,67
2020/12/24,82
2020/12/25,87
2020/12/26,11
2020/12/27,16
2020/12/28,12
2020/12/29,29
2020/12/30,62
2020/12/31,69
2021/01/01,77
2021/01/02,16
2021/01/03,7
2021/01/04,9
2021/01/05,48
2021/01/06,89
2021/01/07,19
2021/01/08,50
2021/01/09,73
2021/01/10,42
2021/01/11,20
2021/01/12,39
2021/01/13,60
2021/01/14,45
2021/01/15,69
2021/01/16,42
2021/01/17,22
2021/01/18,21
2021/01/19,29
2021/01/20,41
2021/01/21,62
2021/01/22,48
2021/01/23,48
2021/01/24,20
2021/01/25,13
2021/01/26,38
2021/01/27,58
2021/01/28,63
