Datas,Lucca
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,1
2020/03/01,0
2020/03/02,0
2020/03/03,2
2020/03/04,0
2020/03/05,3
2020/03/06,2
2020/03/07,7
2020/03/08,11
2020/03/09,5
2020/03/10,6
2020/03/11,6
2020/03/12,6
2020/03/13,30
2020/03/14,17
2020/03/15,34
2020/03/16,8
2020/03/17,41
2020/03/18,26
2020/03/19,25
2020/03/20,19
2020/03/21,58
2020/03/22,49
2020/03/23,7
2020/03/24,24
2020/03/25,49
2020/03/26,45
2020/03/27,0
2020/03/28,137
2020/03/29,54
2020/03/30,39
2020/03/31,18
2020/04/01,42
2020/04/02,31
2020/04/03,41
2020/04/04,12
2020/04/05,17
2020/04/06,16
2020/04/07,32
2020/04/08,34
2020/04/09,25
2020/04/10,9
2020/04/11,18
2020/04/12,14
2020/04/13,40
2020/04/14,1
2020/04/15,12
2020/04/16,61
2020/04/17,24
2020/04/18,7
2020/04/19,32
2020/04/20,16
2020/04/21,2
2020/04/22,6
2020/04/23,4
2020/04/24,5
2020/04/25,14
2020/04/26,12
2020/04/27,9
2020/04/28,4
2020/04/29,4
2020/04/30,3
2020/05/01,13
2020/05/02,6
2020/05/03,9
2020/05/04,4
2020/05/05,2
2020/05/06,4
2020/05/07,2
2020/05/08,3
2020/05/09,5
2020/05/10,4
2020/05/11,1
2020/05/12,0
2020/05/13,2
2020/05/14,4
2020/05/15,1
2020/05/16,2
2020/05/17,10
2020/05/18,4
2020/05/19,0
2020/05/20,0
2020/05/21,0
2020/05/22,4
2020/05/23,1
2020/05/24,3
2020/05/25,0
2020/05/26,0
2020/05/27,1
2020/05/28,0
2020/05/29,0
2020/05/30,0
2020/05/31,0
2020/06/01,1
2020/06/02,1
2020/06/03,1
2020/06/04,0
2020/06/05,0
2020/06/06,0
2020/06/07,0
2020/06/08,0
2020/06/09,0
2020/06/10,1
2020/06/11,1
2020/06/12,0
2020/06/13,0
2020/06/14,0
2020/06/15,0
2020/06/16,0
2020/06/17,1
2020/06/18,0
2020/06/19,2
2020/06/20,0
2020/06/21,0
2020/06/22,0
2020/06/23,1
2020/06/24,-19
2020/06/25,0
2020/06/26,0
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,0
2020/07/02,0
2020/07/03,0
2020/07/04,0
