Datas,Macerata
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,1
2020/03/04,1
2020/03/05,0
2020/03/06,5
2020/03/07,0
2020/03/08,2
2020/03/09,0
2020/03/10,2
2020/03/11,6
2020/03/12,15
2020/03/13,16
2020/03/14,10
2020/03/15,36
2020/03/16,23
2020/03/17,11
2020/03/18,32
2020/03/19,26
2020/03/20,29
2020/03/21,23
2020/03/22,55
2020/03/23,33
2020/03/24,42
2020/03/25,27
2020/03/26,10
2020/03/27,6
2020/03/28,46
2020/03/29,19
2020/03/30,1
2020/03/31,16
2020/04/01,13
2020/04/02,27
2020/04/03,28
2020/04/04,37
2020/04/05,16
2020/04/06,25
2020/04/07,25
2020/04/08,50
2020/04/09,18
2020/04/10,44
2020/04/11,25
2020/04/12,17
2020/04/13,16
2020/04/14,3
2020/04/15,9
2020/04/16,25
2020/04/17,24
2020/04/18,11
2020/04/19,8
2020/04/20,8
2020/04/21,10
2020/04/22,14
2020/04/23,10
2020/04/24,20
2020/04/25,9
2020/04/26,13
2020/04/27,1
2020/04/28,7
2020/04/29,4
2020/04/30,7
2020/05/01,7
2020/05/02,2
2020/05/03,5
2020/05/04,3
2020/05/05,8
2020/05/06,5
2020/05/07,3
2020/05/08,1
2020/05/09,5
2020/05/10,11
2020/05/11,1
2020/05/12,7
2020/05/13,2
2020/05/14,5
2020/05/15,5
2020/05/16,5
2020/05/17,11
2020/05/18,2
2020/05/19,1
2020/05/20,0
2020/05/21,4
2020/05/22,3
2020/05/23,1
2020/05/24,2
2020/05/25,0
2020/05/26,1
2020/05/27,0
2020/05/28,1
2020/05/29,3
2020/05/30,0
2020/05/31,1
2020/06/01,0
2020/06/02,1
2020/06/03,0
2020/06/04,0
2020/06/05,1
2020/06/06,0
2020/06/07,3
2020/06/08,0
2020/06/09,0
2020/06/10,1
2020/06/11,1
2020/06/12,1
2020/06/13,1
2020/06/14,2
2020/06/15,3
2020/06/16,0
2020/06/17,1
2020/06/18,4
2020/06/19,0
2020/06/20,0
2020/06/21,0
2020/06/22,5
2020/06/23,0
2020/06/24,3
2020/06/25,3
2020/06/26,2
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,0
2020/07/02,1
2020/07/03,0
2020/07/04,0
2020/07/05,0
