Datas,Mantova
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,1
2020/03/01,3
2020/03/02,1
2020/03/03,10
2020/03/04,7
2020/03/05,4
2020/03/06,6
2020/03/07,14
2020/03/08,10
2020/03/09,46
2020/03/10,17
2020/03/11,18
2020/03/12,32
2020/03/13,18
2020/03/14,74
2020/03/15,78
2020/03/16,43
2020/03/17,83
2020/03/18,49
2020/03/19,122
2020/03/20,87
2020/03/21,119
2020/03/22,63
2020/03/23,80
2020/03/24,108
2020/03/25,83
2020/03/26,74
2020/03/27,148
2020/03/28,86
2020/03/29,66
2020/03/30,67
2020/03/31,71
2020/04/01,48
2020/04/02,46
2020/04/03,102
2020/04/04,97
2020/04/05,63
2020/04/06,40
2020/04/07,58
2020/04/08,74
2020/04/09,61
2020/04/10,78
2020/04/11,56
2020/04/12,75
2020/04/13,85
2020/04/14,60
2020/04/15,24
2020/04/16,36
2020/04/17,57
2020/04/18,115
2020/04/19,42
2020/04/20,8
2020/04/21,20
2020/04/22,44
2020/04/23,45
2020/04/24,35
2020/04/25,25
2020/04/26,23
2020/04/27,18
2020/04/28,8
2020/04/29,25
2020/04/30,19
2020/05/01,10
2020/05/02,9
2020/05/03,5
2020/05/04,2
2020/05/05,14
2020/05/06,2
2020/05/07,4
2020/05/08,16
2020/05/09,13
2020/05/10,1
2020/05/11,0
2020/05/12,4
2020/05/13,11
2020/05/14,9
2020/05/15,6
2020/05/16,1
2020/05/17,9
2020/05/18,0
2020/05/19,3
2020/05/20,6
2020/05/21,8
2020/05/22,2
2020/05/23,4
2020/05/24,6
2020/05/25,0
2020/05/26,7
2020/05/27,1
2020/05/28,2
2020/05/29,9
2020/05/30,6
2020/05/31,12
2020/06/01,0
2020/06/02,8
2020/06/03,2
2020/06/04,2
2020/06/05,13
2020/06/06,6
2020/06/07,0
2020/06/08,2
2020/06/09,4
2020/06/10,2
2020/06/11,2
2020/06/12,1
2020/06/13,3
2020/06/14,4
2020/06/15,1
2020/06/16,12
2020/06/17,5
2020/06/18,1
2020/06/19,12
2020/06/20,3
2020/06/21,4
2020/06/22,1
2020/06/23,2
2020/06/24,10
2020/06/25,6
2020/06/26,5
2020/06/27,6
2020/06/28,4
2020/06/29,3
2020/06/30,15
2020/07/01,22
2020/07/02,5
2020/07/03,3
2020/07/04,13
2020/07/05,17
