Datas,Milano
2020/02/25,8
2020/02/26,0
2020/02/27,7
2020/02/28,14
2020/02/29,1
2020/03/01,16
2020/03/02,12
2020/03/03,35
2020/03/04,52
2020/03/05,52
2020/03/06,70
2020/03/07,94
2020/03/08,45
2020/03/09,100
2020/03/10,86
2020/03/11,333
2020/03/12,221
2020/03/13,161
2020/03/14,244
2020/03/15,199
2020/03/16,233
2020/03/17,343
2020/03/18,318
2020/03/19,634
2020/03/20,526
2020/03/21,868
2020/03/22,424
2020/03/23,230
2020/03/24,375
2020/03/25,373
2020/03/26,848
2020/03/27,547
2020/03/28,314
2020/03/29,546
2020/03/30,347
2020/03/31,235
2020/04/01,611
2020/04/02,482
2020/04/03,387
2020/04/04,428
2020/04/05,411
2020/04/06,308
2020/04/07,249
2020/04/08,252
2020/04/09,440
2020/04/10,269
2020/04/11,520
2020/04/12,412
2020/04/13,481
2020/04/14,189
2020/04/15,325
2020/04/16,277
2020/04/17,325
2020/04/18,269
2020/04/19,279
2020/04/20,287
2020/04/21,408
2020/04/22,480
2020/04/23,277
2020/04/24,412
2020/04/25,219
2020/04/26,463
2020/04/27,188
2020/04/28,278
2020/04/29,284
2020/04/30,216
2020/05/01,364
2020/05/02,249
2020/05/03,118
2020/05/04,186
2020/05/05,144
2020/05/06,313
2020/05/07,182
2020/05/08,201
2020/05/09,178
2020/05/10,104
2020/05/11,114
2020/05/12,136
2020/05/13,105
2020/05/14,169
2020/05/15,66
2020/05/16,75
2020/05/17,110
2020/05/18,71
2020/05/19,102
2020/05/20,48
2020/05/21,83
2020/05/22,73
2020/05/23,88
2020/05/24,64
2020/05/25,46
2020/05/26,38
2020/05/27,68
2020/05/28,76
2020/05/29,74
2020/05/30,62
2020/05/31,32
2020/06/01,18
2020/06/02,45
2020/06/03,37
2020/06/04,31
2020/06/05,99
2020/06/06,59
2020/06/07,43
2020/06/08,29
2020/06/09,46
2020/06/10,27
2020/06/11,71
2020/06/12,88
2020/06/13,97
2020/06/14,45
2020/06/15,52
2020/06/16,42
2020/06/17,61
2020/06/18,52
2020/06/19,43
2020/06/20,69
2020/06/21,31
2020/06/22,23
2020/06/23,26
2020/06/24,29
2020/06/25,28
2020/06/26,33
2020/06/27,4
2020/06/28,16
2020/06/29,36
2020/06/30,23
2020/07/01,21
2020/07/02,28
2020/07/03,24
2020/07/04,19
2020/07/05,16
2020/07/06,12
2020/07/07,5
2020/07/08,16
2020/07/09,35
2020/07/10,17
2020/07/11,26
2020/07/12,6
2020/07/13,15
2020/07/14,7
2020/07/15,18
2020/07/16,20
2020/07/17,9
2020/07/18,24
2020/07/19,8
2020/07/20,11
2020/07/21,9
2020/07/22,19
2020/07/23,17
2020/07/24,22
2020/07/25,25
2020/07/26,13
2020/07/27,14
2020/07/28,25
2020/07/29,16
2020/07/30,15
2020/07/31,35
2020/08/01,18
2020/08/02,10
2020/08/03,12
2020/08/04,19
2020/08/05,16
2020/08/06,16
2020/08/07,14
2020/08/08,24
2020/08/09,20
2020/08/10,4
2020/08/11,21
2020/08/12,29
2020/08/13,28
2020/08/14,30
2020/08/15,34
2020/08/16,25
2020/08/17,10
2020/08/18,15
2020/08/19,26
2020/08/20,47
2020/08/21,54
2020/08/22,71
2020/08/23,89
2020/08/24,53
2020/08/25,37
2020/08/26,102
2020/08/27,136
2020/08/28,133
2020/08/29,140
2020/08/30,80
2020/08/31,54
2020/09/01,114
2020/09/02,89
2020/09/03,80
2020/09/04,144
2020/09/05,184
2020/09/06,86
2020/09/07,47
2020/09/08,100
2020/09/09,88
2020/09/10,91
2020/09/11,78
2020/09/12,102
2020/09/13,88
2020/09/14,44
2020/09/15,90
2020/09/16,60
2020/09/17,87
2020/09/18,81
2020/09/19,89
2020/09/20,81
2020/09/21,27
2020/09/22,76
2020/09/23,96
2020/09/24,53
2020/09/25,192
2020/09/26,92
2020/09/27,99
2020/09/28,70
2020/09/29,82
2020/09/30,58
2020/10/01,168
2020/10/02,159
2020/10/03,160
2020/10/04,160
2020/10/05,87
2020/10/06,153
2020/10/07,182
2020/10/08,282
2020/10/09,501
2020/10/10,587
2020/10/11,460
2020/10/12,363
2020/10/13,440
2020/10/14,1032
2020/10/15,1053
2020/10/16,1319
2020/10/17,1388
2020/10/18,1463
2020/10/19,814
2020/10/20,1054
2020/10/21,1858
2020/10/22,2031
2020/10/23,2399
2020/10/24,2306
2020/10/25,2589
2020/10/26,2023
2020/10/27,1940
2020/10/28,2708
2020/10/29,3211
2020/10/30,3979
2020/10/31,3730
2020/11/01,3695
2020/11/02,2242
2020/11/03,2829
2020/11/04,3613
2020/11/05,3654
2020/11/06,4296
2020/11/07,4520
2020/11/08,2956
2020/11/09,2225
2020/11/10,3336
2020/11/11,3148
2020/11/12,4066
2020/11/13,4451
2020/11/14,2895
2020/11/15,3302
2020/11/16,1526
2020/11/17,2356
2020/11/18,2565
2020/11/19,2928
2020/11/20,3706
2020/11/21,3232
2020/11/22,2208
2020/11/23,1604
2020/11/24,1442
2020/11/25,2261
2020/11/26,2060
2020/11/27,1788
2020/11/28,1748
2020/11/29,973
2020/11/30,940
2020/12/01,885
2020/12/02,1109
2020/12/03,1311
2020/12/04,1463
2020/12/05,980
2020/12/06,844
