Datas,Modena
2020/02/25,3
2020/02/26,5
2020/02/27,10
2020/02/28,0
2020/02/29,4
2020/03/01,2
2020/03/02,5
2020/03/03,4
2020/03/04,8
2020/03/05,4
2020/03/06,28
2020/03/07,9
2020/03/08,15
2020/03/09,19
2020/03/10,11
2020/03/11,36
2020/03/12,27
2020/03/13,61
2020/03/14,55
2020/03/15,61
2020/03/16,73
2020/03/17,20
2020/03/18,115
2020/03/19,88
2020/03/20,104
2020/03/21,139
2020/03/22,104
2020/03/23,145
2020/03/24,199
2020/03/25,179
2020/03/26,143
2020/03/27,96
2020/03/28,150
2020/03/29,172
2020/03/30,43
2020/03/31,85
2020/04/01,75
2020/04/02,119
2020/04/03,82
2020/04/04,53
2020/04/05,58
2020/04/06,82
2020/04/07,67
2020/04/08,53
2020/04/09,56
2020/04/10,63
2020/04/11,81
2020/04/12,76
2020/04/13,45
2020/04/14,48
2020/04/15,37
2020/04/16,45
2020/04/17,39
2020/04/18,39
2020/04/19,50
2020/04/20,21
2020/04/21,38
2020/04/22,23
2020/04/23,18
2020/04/24,29
2020/04/25,19
2020/04/26,24
2020/04/27,16
2020/04/28,31
2020/04/29,21
2020/04/30,27
2020/05/01,21
2020/05/02,26
2020/05/03,33
2020/05/04,10
2020/05/05,11
2020/05/06,8
2020/05/07,6
2020/05/08,7
2020/05/09,13
2020/05/10,8
2020/05/11,23
2020/05/12,7
2020/05/13,7
2020/05/14,2
2020/05/15,10
2020/05/16,8
2020/05/17,14
2020/05/18,5
2020/05/19,3
2020/05/20,1
2020/05/21,4
2020/05/22,11
2020/05/23,0
2020/05/24,1
2020/05/25,1
2020/05/26,2
2020/05/27,1
2020/05/28,8
2020/05/29,1
2020/05/30,2
2020/05/31,5
2020/06/01,1
2020/06/02,1
2020/06/03,4
2020/06/04,0
2020/06/05,2
2020/06/06,2
2020/06/07,1
2020/06/08,0
2020/06/09,0
2020/06/10,1
2020/06/11,1
2020/06/12,1
2020/06/13,2
2020/06/14,0
2020/06/15,1
2020/06/16,2
2020/06/17,1
2020/06/18,2
2020/06/19,1
2020/06/20,2
2020/06/21,2
2020/06/22,0
2020/06/23,1
2020/06/24,-78
2020/06/25,1
2020/06/26,-38
2020/06/27,42
2020/06/28,0
2020/06/29,3
2020/06/30,-1
2020/07/01,4
2020/07/02,1
2020/07/03,2
2020/07/04,3
2020/07/05,7
2020/07/06,5
2020/07/07,3
2020/07/08,3
2020/07/09,1
2020/07/10,9
2020/07/11,4
2020/07/12,20
2020/07/13,2
2020/07/14,3
2020/07/15,1
2020/07/16,13
2020/07/17,4
2020/07/18,6
2020/07/19,8
2020/07/20,7
2020/07/21,3
2020/07/22,13
2020/07/23,6
2020/07/24,12
2020/07/25,12
2020/07/26,7
2020/07/27,8
2020/07/28,1
2020/07/29,5
2020/07/30,9
2020/07/31,3
2020/08/01,3
2020/08/02,3
2020/08/03,-25
2020/08/04,36
2020/08/05,6
2020/08/06,9
2020/08/07,14
2020/08/08,7
2020/08/09,6
2020/08/10,8
2020/08/11,2
2020/08/12,4
2020/08/13,5
2020/08/14,11
2020/08/15,10
2020/08/16,9
2020/08/17,-1
2020/08/18,3
2020/08/19,15
2020/08/20,6
2020/08/21,9
2020/08/22,5
2020/08/23,8
2020/08/24,24
2020/08/25,12
2020/08/26,14
2020/08/27,15
2020/08/28,24
2020/08/29,12
2020/08/30,11
2020/08/31,11
2020/09/01,20
2020/09/02,30
2020/09/03,23
2020/09/04,12
2020/09/05,22
2020/09/06,17
2020/09/07,18
2020/09/08,23
2020/09/09,6
2020/09/10,24
2020/09/11,25
2020/09/12,16
2020/09/13,12
2020/09/14,15
2020/09/15,22
2020/09/16,15
2020/09/17,21
2020/09/18,15
2020/09/19,22
2020/09/20,17
2020/09/21,21
2020/09/22,1
2020/09/23,10
2020/09/24,12
2020/09/25,11
2020/09/26,20
2020/09/27,8
2020/09/28,8
2020/09/29,14
2020/09/30,8
2020/10/01,13
2020/10/02,30
2020/10/03,24
2020/10/04,12
2020/10/05,23
2020/10/06,15
2020/10/07,21
2020/10/08,24
2020/10/09,50
2020/10/10,50
2020/10/11,52
2020/10/12,55
2020/10/13,57
2020/10/14,50
2020/10/15,61
2020/10/16,60
2020/10/17,81
2020/10/18,54
2020/10/19,75
2020/10/20,91
2020/10/21,79
2020/10/22,82
2020/10/23,88
2020/10/24,122
2020/10/25,134
2020/10/26,146
2020/10/27,278
2020/10/28,274
2020/10/29,263
2020/10/30,348
2020/10/31,313
2020/11/01,309
2020/11/02,325
2020/11/03,560
2020/11/04,535
2020/11/05,332
2020/11/06,304
2020/11/07,352
2020/11/08,614
2020/11/09,440
2020/11/10,621
2020/11/11,588
2020/11/12,544
2020/11/13,514
2020/11/14,561
2020/11/15,703
2020/11/16,592
2020/11/17,513
2020/11/18,456
2020/11/19,351
2020/11/20,602
2020/11/21,564
2020/11/22,468
2020/11/23,479
2020/11/24,536
2020/11/25,244
2020/11/26,248
2020/11/27,529
2020/11/28,363
2020/11/29,389
2020/11/30,470
2020/12/01,346
2020/12/02,179
2020/12/03,275
2020/12/04,483
2020/12/05,415
2020/12/06,339
2020/12/07,427
2020/12/08,345
2020/12/09,97
2020/12/10,271
2020/12/11,111
2020/12/12,378
2020/12/13,420
2020/12/14,317
2020/12/15,238
2020/12/16,145
2020/12/17,257
2020/12/18,378
2020/12/19,268
2020/12/20,257
2020/12/21,257
2020/12/22,138
2020/12/23,116
2020/12/24,284
2020/12/25,359
2020/12/26,282
2020/12/27,250
2020/12/28,49
2020/12/29,99
2020/12/30,191
2020/12/31,355
2021/01/01,496
2021/01/02,323
2021/01/03,279
2021/01/04,193
2021/01/05,210
2021/01/06,200
2021/01/07,407
2021/01/08,375
2021/01/09,187
2021/01/10,391
2021/01/11,459
2021/01/12,204
2021/01/13,82
2021/01/14,315
2021/01/15,415
2021/01/16,289
2021/01/17,242
2021/01/18,251
2021/01/19,150
2021/01/20,103
2021/01/21,208
2021/01/22,270
2021/01/23,187
2021/01/24,175
2021/01/25,193
2021/01/26,123
2021/01/27,47
2021/01/28,158
2021/01/29,228
2021/01/30,183
2021/01/31,226
2021/02/01,178
2021/02/02,163
2021/02/03,68
2021/02/04,200
2021/02/05,273
2021/02/06,177
2021/02/07,252
2021/02/08,264
2021/02/09,145
2021/02/10,67
2021/02/11,217
2021/02/12,288
2021/02/13,230
2021/02/14,225
2021/02/15,293
2021/02/16,191
2021/02/17,62
2021/02/18,229
2021/02/19,324
2021/02/20,259
2021/02/21,298
2021/02/22,319
2021/02/23,320
2021/02/24,95
2021/02/25,371
2021/02/26,508
2021/02/27,491
2021/02/28,400
2021/03/01,521
2021/03/02,308
2021/03/03,221
2021/03/04,435
2021/03/05,686
2021/03/06,595
2021/03/07,442
2021/03/08,529
2021/03/09,409
2021/03/10,104
2021/03/11,386
2021/03/12,516
2021/03/13,497
2021/03/14,439
2021/03/15,569
2021/03/16,409
2021/03/17,201
2021/03/18,365
2021/03/19,528
2021/03/20,430
2021/03/21,362
2021/03/22,302
2021/03/23,286
2021/03/24,170
2021/03/25,302
2021/03/26,408
2021/03/27,405
2021/03/28,268
2021/03/29,307
2021/03/30,246
2021/03/31,103
2021/04/01,246
2021/04/02,337
2021/04/03,274
2021/04/04,298
2021/04/05,321
2021/04/06,175
2021/04/07,60
2021/04/08,73
2021/04/09,293
2021/04/10,278
2021/04/11,174
2021/04/12,215
2021/04/13,129
2021/04/14,74
2021/04/15,186
2021/04/16,215
2021/04/17,199
2021/04/18,180
2021/04/19,162
2021/04/20,131
2021/04/21,80
2021/04/22,181
2021/04/23,182
2021/04/24,158
2021/04/25,153
2021/04/26,160
2021/04/27,114
2021/04/28,55
2021/04/29,148
2021/04/30,192
2021/05/01,197
2021/05/02,135
2021/05/03,107
2021/05/04,51
2021/05/05,29
2021/05/06,170
2021/05/07,176
2021/05/08,112
2021/05/09,93
2021/05/10,98
2021/05/11,68
2021/05/12,26
2021/05/13,121
2021/05/14,103
2021/05/15,77
2021/05/16,88
2021/05/17,87
2021/05/18,52
2021/05/19,21
2021/05/20,109
2021/05/21,65
2021/05/22,68
2021/05/23,16
2021/05/24,66
2021/05/25,21
2021/05/26,21
2021/05/27,48
2021/05/28,37
2021/05/29,48
2021/05/30,29
2021/05/31,36
2021/06/01,9
2021/06/02,11
2021/06/03,23
2021/06/04,39
2021/06/05,2
2021/06/06,34
2021/06/07,26
2021/06/08,17
2021/06/09,-19
2021/06/10,17
2021/06/11,15
2021/06/12,12
2021/06/13,9
2021/06/14,17
2021/06/15,13
2021/06/16,5
2021/06/17,22
2021/06/18,1
2021/06/19,21
2021/06/20,7
2021/06/21,12
2021/06/22,9
2021/06/23,6
2021/06/24,24
2021/06/25,4
2021/06/26,24
2021/06/27,19
2021/06/28,16
2021/06/29,6
2021/06/30,6
2021/07/01,17
2021/07/02,11
2021/07/03,10
2021/07/04,4
2021/07/05,7
2021/07/06,2
2021/07/07,7
2021/07/08,7
2021/07/09,15
2021/07/10,7
2021/07/11,19
2021/07/12,23
2021/07/13,8
2021/07/14,13
2021/07/15,12
2021/07/16,22
2021/07/17,24
2021/07/18,34
2021/07/19,27
2021/07/20,8
2021/07/21,15
2021/07/22,57
2021/07/23,49
2021/07/24,69
2021/07/25,81
2021/07/26,46
2021/07/27,25
2021/07/28,38
2021/07/29,80
2021/07/30,87
2021/07/31,65
2021/08/01,70
2021/08/02,115
2021/08/03,33
2021/08/04,50
2021/08/05,108
2021/08/06,91
2021/08/07,99
2021/08/08,122
2021/08/09,101
2021/08/10,83
2021/08/11,35
2021/08/12,122
2021/08/13,128
2021/08/14,117
2021/08/15,77
2021/08/16,107
2021/08/17,90
2021/08/18,39
2021/08/19,93
2021/08/20,121
2021/08/21,108
2021/08/22,92
2021/08/23,83
2021/08/24,82
2021/08/25,46
2021/08/26,65
2021/08/27,138
2021/08/28,106
2021/08/29,126
2021/08/30,155
2021/08/31,95
2021/09/01,21
