Datas,Monza e della Brianza
2020/02/25,3
2020/02/26,1
2020/02/27,1
2020/02/28,1
2020/02/29,0
2020/03/01,0
2020/03/02,2
2020/03/03,1
2020/03/04,2
2020/03/05,8
2020/03/06,1
2020/03/07,41
2020/03/08,-2
2020/03/09,5
2020/03/10,1
2020/03/11,20
2020/03/12,45
2020/03/13,13
2020/03/14,81
2020/03/15,103
2020/03/16,19
2020/03/17,30
2020/03/18,25
2020/03/19,94
2020/03/20,321
2020/03/21,268
2020/03/22,24
2020/03/23,22
2020/03/24,324
2020/03/25,133
2020/03/26,163
2020/03/27,198
2020/03/28,138
2020/03/29,179
2020/03/30,97
2020/03/31,100
2020/04/01,81
2020/04/02,90
2020/04/03,141
2020/04/04,161
2020/04/05,111
2020/04/06,111
2020/04/07,49
2020/04/08,58
2020/04/09,91
2020/04/10,69
2020/04/11,151
2020/04/12,64
2020/04/13,81
2020/04/14,101
2020/04/15,57
2020/04/16,54
2020/04/17,43
2020/04/18,67
2020/04/19,56
2020/04/20,59
2020/04/21,54
2020/04/22,42
2020/04/23,64
2020/04/24,55
2020/04/25,45
2020/04/26,60
2020/04/27,39
2020/04/28,121
2020/04/29,37
2020/04/30,30
2020/05/01,25
2020/05/02,16
2020/05/03,78
2020/05/04,27
2020/05/05,31
2020/05/06,12
2020/05/07,81
2020/05/08,41
2020/05/09,31
2020/05/10,9
2020/05/11,19
2020/05/12,38
2020/05/13,29
2020/05/14,41
2020/05/15,37
2020/05/16,46
2020/05/17,22
2020/05/18,9
2020/05/19,42
2020/05/20,50
2020/05/21,8
2020/05/22,13
2020/05/23,12
2020/05/24,18
2020/05/25,21
2020/05/26,0
2020/05/27,6
2020/05/28,14
2020/05/29,30
2020/05/30,4
2020/05/31,4
2020/06/01,3
2020/06/02,7
2020/06/03,28
2020/06/04,3
2020/06/05,8
2020/06/06,4
2020/06/07,2
2020/06/08,10
2020/06/09,8
2020/06/10,2
2020/06/11,10
2020/06/12,24
2020/06/13,13
2020/06/14,10
2020/06/15,6
2020/06/16,7
2020/06/17,43
2020/06/18,6
2020/06/19,7
2020/06/20,8
2020/06/21,4
2020/06/22,5
2020/06/23,4
2020/06/24,1
2020/06/25,4
2020/06/26,9
2020/06/27,5
2020/06/28,7
2020/06/29,3
2020/06/30,3
2020/07/01,6
2020/07/02,2
2020/07/03,4
2020/07/04,4
2020/07/05,5
2020/07/06,2
2020/07/07,5
2020/07/08,1
2020/07/09,6
2020/07/10,3
2020/07/11,3
2020/07/12,7
2020/07/13,2
2020/07/14,1
2020/07/15,3
2020/07/16,2
2020/07/17,3
2020/07/18,4
2020/07/19,7
2020/07/20,4
2020/07/21,2
2020/07/22,6
2020/07/23,3
2020/07/24,2
2020/07/25,2
2020/07/26,6
2020/07/27,2
2020/07/28,0
