Datas,Napoli
2020/02/25,0
2020/02/26,0
2020/02/27,3
2020/02/28,1
2020/02/29,9
2020/03/01,4
2020/03/02,0
2020/03/03,13
2020/03/04,-13
2020/03/05,0
2020/03/06,0
2020/03/07,0
2020/03/08,28
2020/03/09,10
2020/03/10,6
2020/03/11,35
2020/03/12,13
2020/03/13,31
2020/03/14,31
2020/03/15,17
2020/03/16,31
2020/03/17,39
2020/03/18,0
2020/03/19,100
2020/03/20,58
2020/03/21,47
2020/03/22,41
2020/03/23,39
2020/03/24,45
2020/03/25,38
2020/03/26,39
2020/03/27,69
2020/03/28,93
2020/03/29,71
2020/03/30,93
2020/03/31,62
2020/04/01,108
2020/04/02,118
2020/04/03,149
2020/04/04,70
2020/04/05,34
2020/04/06,36
2020/04/07,75
2020/04/08,25
2020/04/09,31
2020/04/10,73
2020/04/11,37
2020/04/12,62
2020/04/13,61
2020/04/14,78
2020/04/15,16
2020/04/16,46
2020/04/17,37
2020/04/18,21
2020/04/19,29
2020/04/20,22
2020/04/21,46
2020/04/22,36
2020/04/23,53
2020/04/24,18
2020/04/25,19
2020/04/26,22
2020/04/27,14
2020/04/28,16
2020/04/29,11
2020/04/30,7
2020/05/01,20
2020/05/02,11
2020/05/03,14
2020/05/04,5
2020/05/05,13
2020/05/06,15
2020/05/07,5
2020/05/08,8
2020/05/09,7
2020/05/10,4
2020/05/11,11
2020/05/12,5
2020/05/13,8
2020/05/14,2
2020/05/15,12
2020/05/16,5
2020/05/17,3
2020/05/18,1
2020/05/19,4
2020/05/20,5
2020/05/21,2
2020/05/22,2
2020/05/23,0
2020/05/24,4
2020/05/25,2
2020/05/26,4
2020/05/27,2
2020/05/28,4
2020/05/29,10
2020/05/30,1
2020/05/31,1
2020/06/01,3
2020/06/02,1
2020/06/03,4
2020/06/04,4
2020/06/05,0
2020/06/06,1
2020/06/07,1
2020/06/08,0
2020/06/09,3
2020/06/10,3
2020/06/11,2
2020/06/12,0
2020/06/13,1
2020/06/14,0
2020/06/15,4
2020/06/16,0
2020/06/17,0
2020/06/18,1
2020/06/19,0
2020/06/20,1
2020/06/21,1
2020/06/22,0
2020/06/23,1
2020/06/24,0
2020/06/25,3
2020/06/26,4
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,1
2020/07/01,0
2020/07/02,3
2020/07/03,0
2020/07/04,0
