Datas,Novara
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,3
2020/03/03,0
2020/03/04,0
2020/03/05,0
2020/03/06,1
2020/03/07,1
2020/03/08,8
2020/03/09,1
2020/03/10,8
2020/03/11,5
2020/03/12,5
2020/03/13,16
2020/03/14,0
2020/03/15,23
2020/03/16,38
2020/03/17,41
2020/03/18,40
2020/03/19,0
2020/03/20,103
2020/03/21,37
2020/03/22,68
2020/03/23,22
2020/03/24,51
2020/03/25,46
2020/03/26,60
2020/03/27,32
2020/03/28,48
2020/03/29,37
2020/03/30,39
2020/03/31,64
2020/04/01,57
2020/04/02,48
2020/04/03,28
2020/04/04,37
2020/04/05,19
2020/04/06,22
2020/04/07,65
2020/04/08,73
2020/04/09,72
2020/04/10,40
2020/04/11,282
2020/04/12,65
2020/04/13,7
2020/04/14,26
2020/04/15,70
2020/04/16,117
2020/04/17,30
2020/04/18,86
2020/04/19,46
2020/04/20,9
2020/04/21,32
2020/04/22,95
2020/04/23,20
2020/04/24,29
2020/04/25,31
2020/04/26,6
2020/04/27,9
2020/04/28,26
2020/04/29,21
2020/04/30,26
2020/05/01,42
2020/05/02,32
2020/05/03,6
2020/05/04,6
2020/05/05,17
2020/05/06,5
2020/05/07,35
2020/05/08,8
2020/05/09,26
2020/05/10,7
2020/05/11,6
2020/05/12,13
2020/05/13,34
2020/05/14,15
2020/05/15,22
2020/05/16,5
2020/05/17,4
2020/05/18,5
2020/05/19,38
2020/05/20,15
2020/05/21,13
2020/05/22,7
2020/05/23,5
2020/05/24,1
2020/05/25,2
2020/05/26,4
2020/05/27,11
2020/05/28,4
2020/05/29,4
2020/05/30,12
2020/05/31,7
2020/06/01,1
2020/06/02,4
2020/06/03,0
2020/06/04,3
2020/06/05,10
2020/06/06,1
2020/06/07,2
2020/06/08,3
2020/06/09,4
2020/06/10,2
2020/06/11,2
2020/06/12,0
2020/06/13,5
2020/06/14,1
2020/06/15,0
2020/06/16,8
2020/06/17,1
2020/06/18,12
2020/06/19,4
2020/06/20,7
2020/06/21,0
2020/06/22,1
2020/06/23,4
2020/06/24,3
2020/06/25,5
2020/06/26,2
2020/06/27,1
2020/06/28,3
2020/06/29,1
2020/06/30,0
2020/07/01,2
2020/07/02,3
2020/07/03,1
2020/07/04,0
2020/07/05,0
