Datas,Palermo
2020/02/25,3
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,0
2020/03/04,0
2020/03/05,0
2020/03/06,2
2020/03/07,1
2020/03/08,0
2020/03/09,0
2020/03/10,4
2020/03/11,5
2020/03/12,11
2020/03/13,0
2020/03/14,0
2020/03/15,7
2020/03/16,4
2020/03/17,3
2020/03/18,7
2020/03/19,5
2020/03/20,7
2020/03/21,4
2020/03/22,29
2020/03/23,17
2020/03/24,61
2020/03/25,23
2020/03/26,12
2020/03/27,13
2020/03/28,14
2020/03/29,4
2020/03/30,17
2020/03/31,9
2020/04/01,14
2020/04/02,6
2020/04/03,8
2020/04/04,6
2020/04/05,3
2020/04/06,2
2020/04/07,16
2020/04/08,12
2020/04/09,17
2020/04/10,5
2020/04/11,12
2020/04/12,13
2020/04/13,9
2020/04/14,6
2020/04/15,2
2020/04/16,6
2020/04/17,5
2020/04/18,8
2020/04/19,5
2020/04/20,3
2020/04/21,2
2020/04/22,5
2020/04/23,6
2020/04/24,2
2020/04/25,12
2020/04/26,9
2020/04/27,5
2020/04/28,9
2020/04/29,10
2020/04/30,13
2020/05/01,9
2020/05/02,5
2020/05/03,4
2020/05/04,5
2020/05/05,5
2020/05/06,1
2020/05/07,1
2020/05/08,8
2020/05/09,2
2020/05/10,8
2020/05/11,3
2020/05/12,2
2020/05/13,3
2020/05/14,0
2020/05/15,2
2020/05/16,4
2020/05/17,2
2020/05/18,6
2020/05/19,4
2020/05/20,3
2020/05/21,4
2020/05/22,0
2020/05/23,0
2020/05/24,0
2020/05/25,2
2020/05/26,0
2020/05/27,0
2020/05/28,2
2020/05/29,0
2020/05/30,0
2020/05/31,0
2020/06/01,0
2020/06/02,2
2020/06/03,0
2020/06/04,0
2020/06/05,0
2020/06/06,0
2020/06/07,0
2020/06/08,0
2020/06/09,1
2020/06/10,0
2020/06/11,0
2020/06/12,0
2020/06/13,1
2020/06/14,1
2020/06/15,0
2020/06/16,1
2020/06/17,0
2020/06/18,1
2020/06/19,-87
2020/06/20,0
2020/06/21,0
2020/06/22,0
2020/06/23,0
2020/06/24,0
2020/06/25,1
2020/06/26,0
2020/06/27,1
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,0
2020/07/02,0
2020/07/03,1
2020/07/04,0
2020/07/05,0
2020/07/06,0
2020/07/07,1
2020/07/08,1
2020/07/09,1
2020/07/10,0
2020/07/11,0
2020/07/12,0
2020/07/13,0
2020/07/14,0
2020/07/15,0
2020/07/16,2
2020/07/17,1
2020/07/18,0
2020/07/19,0
2020/07/20,0
2020/07/21,1
2020/07/22,0
2020/07/23,0
2020/07/24,1
2020/07/25,0
2020/07/26,1
2020/07/27,0
2020/07/28,1
2020/07/29,0
2020/07/30,1
2020/07/31,5
2020/08/01,1
2020/08/02,0
2020/08/03,0
2020/08/04,0
