Datas,Parma
2020/02/25,4
2020/02/26,4
2020/02/27,2
2020/02/28,17
2020/02/29,8
2020/03/01,24
2020/03/02,2
2020/03/03,23
2020/03/04,31
2020/03/05,35
2020/03/06,31
2020/03/07,48
2020/03/08,47
2020/03/09,3
2020/03/10,46
2020/03/11,53
2020/03/12,52
2020/03/13,88
2020/03/14,52
2020/03/15,92
2020/03/16,45
2020/03/17,93
2020/03/18,0
2020/03/19,69
2020/03/20,110
2020/03/21,35
2020/03/22,195
2020/03/23,155
2020/03/24,71
2020/03/25,90
2020/03/26,86
2020/03/27,79
2020/03/28,62
2020/03/29,57
2020/03/30,50
2020/03/31,74
2020/04/01,72
2020/04/02,44
2020/04/03,34
2020/04/04,118
2020/04/05,74
2020/04/06,42
2020/04/07,48
2020/04/08,30
2020/04/09,26
2020/04/10,52
2020/04/11,39
2020/04/12,19
2020/04/13,42
2020/04/14,9
2020/04/15,34
2020/04/16,82
2020/04/17,27
2020/04/18,43
2020/04/19,45
2020/04/20,74
2020/04/21,22
2020/04/22,64
2020/04/23,26
2020/04/24,12
2020/04/25,23
2020/04/26,39
2020/04/27,39
2020/04/28,10
2020/04/29,22
2020/04/30,13
2020/05/01,20
2020/05/02,22
2020/05/03,5
2020/05/04,23
2020/05/05,3
2020/05/06,14
2020/05/07,16
2020/05/08,6
2020/05/09,19
2020/05/10,13
2020/05/11,17
2020/05/12,2
2020/05/13,0
2020/05/14,29
2020/05/15,7
2020/05/16,26
2020/05/17,0
2020/05/18,13
2020/05/19,10
2020/05/20,10
2020/05/21,23
2020/05/22,9
2020/05/23,12
2020/05/24,18
2020/05/25,4
2020/05/26,0
2020/05/27,5
2020/05/28,21
2020/05/29,9
2020/05/30,1
2020/05/31,7
2020/06/01,4
2020/06/02,4
2020/06/03,5
2020/06/04,6
2020/06/05,7
2020/06/06,6
2020/06/07,7
2020/06/08,7
2020/06/09,5
2020/06/10,8
2020/06/11,6
2020/06/12,9
2020/06/13,4
2020/06/14,7
2020/06/15,3
2020/06/16,2
2020/06/17,2
2020/06/18,4
2020/06/19,5
2020/06/20,6
2020/06/21,0
2020/06/22,3
2020/06/23,2
2020/06/24,5
2020/06/25,2
2020/06/26,-10
2020/06/27,16
2020/06/28,4
2020/06/29,4
2020/06/30,3
2020/07/01,0
2020/07/02,0
2020/07/03,3
2020/07/04,7
2020/07/05,2
2020/07/06,12
2020/07/07,8
2020/07/08,7
2020/07/09,3
2020/07/10,3
2020/07/11,2
2020/07/12,3
2020/07/13,4
2020/07/14,7
2020/07/15,1
2020/07/16,1
2020/07/17,0
2020/07/18,3
2020/07/19,6
2020/07/20,7
2020/07/21,-1
2020/07/22,4
2020/07/23,2
2020/07/24,1
2020/07/25,1
2020/07/26,4
2020/07/27,2
2020/07/28,1
2020/07/29,0
2020/07/30,3
2020/07/31,1
2020/08/01,5
2020/08/02,6
2020/08/03,-6
2020/08/04,10
2020/08/05,2
2020/08/06,7
2020/08/07,6
2020/08/08,6
2020/08/09,1
2020/08/10,1
2020/08/11,1
2020/08/12,4
2020/08/13,5
2020/08/14,2
2020/08/15,6
2020/08/16,5
2020/08/17,5
2020/08/18,3
2020/08/19,7
2020/08/20,8
2020/08/21,7
2020/08/22,12
2020/08/23,6
2020/08/24,6
2020/08/25,4
2020/08/26,9
2020/08/27,4
2020/08/28,5
2020/08/29,14
2020/08/30,19
2020/08/31,22
2020/09/01,8
2020/09/02,7
2020/09/03,11
2020/09/04,6
2020/09/05,10
2020/09/06,14
2020/09/07,9
2020/09/08,8
2020/09/09,7
2020/09/10,14
2020/09/11,13
2020/09/12,10
2020/09/13,21
2020/09/14,10
2020/09/15,8
2020/09/16,4
2020/09/17,14
2020/09/18,14
2020/09/19,18
2020/09/20,9
2020/09/21,8
2020/09/22,4
2020/09/23,14
2020/09/24,11
2020/09/25,28
2020/09/26,12
2020/09/27,10
2020/09/28,15
2020/09/29,9
2020/09/30,12
2020/10/01,6
2020/10/02,12
2020/10/03,12
2020/10/04,6
2020/10/05,17
2020/10/06,26
2020/10/07,13
2020/10/08,13
2020/10/09,27
2020/10/10,20
2020/10/11,30
2020/10/12,24
2020/10/13,55
2020/10/14,31
2020/10/15,35
2020/10/16,57
2020/10/17,38
2020/10/18,23
2020/10/19,13
2020/10/20,59
2020/10/21,47
2020/10/22,67
2020/10/23,51
2020/10/24,51
2020/10/25,42
2020/10/26,97
2020/10/27,104
2020/10/28,73
2020/10/29,122
2020/10/30,84
2020/10/31,120
2020/11/01,121
2020/11/02,86
2020/11/03,100
2020/11/04,98
2020/11/05,131
2020/11/06,184
2020/11/07,199
2020/11/08,177
2020/11/09,139
2020/11/10,144
2020/11/11,127
2020/11/12,171
2020/11/13,123
2020/11/14,200
2020/11/15,113
2020/11/16,144
2020/11/17,79
2020/11/18,226
2020/11/19,162
2020/11/20,119
2020/11/21,166
2020/11/22,132
2020/11/23,203
2020/11/24,236
2020/11/25,190
2020/11/26,106
2020/11/27,119
2020/11/28,171
2020/11/29,151
2020/11/30,136
2020/12/01,133
2020/12/02,37
2020/12/03,127
2020/12/04,142
2020/12/05,126
2020/12/06,112
2020/12/07,144
2020/12/08,42
2020/12/09,75
