Datas,Pavia
2020/02/25,27
2020/02/26,0
2020/02/27,9
2020/02/28,13
2020/02/29,6
2020/03/01,23
2020/03/02,5
2020/03/03,39
2020/03/04,4
2020/03/05,25
2020/03/06,29
2020/03/07,41
2020/03/08,22
2020/03/09,53
2020/03/10,28
2020/03/11,79
2020/03/12,65
2020/03/13,14
2020/03/14,140
2020/03/15,100
2020/03/16,79
2020/03/17,83
2020/03/18,94
2020/03/19,33
2020/03/20,94
2020/03/21,89
2020/03/22,112
2020/03/23,138
2020/03/24,55
2020/03/25,79
2020/03/26,107
2020/03/27,27
2020/03/28,165
2020/03/29,97
2020/03/30,62
2020/03/31,97
2020/04/01,47
2020/04/02,105
2020/04/03,46
2020/04/04,168
2020/04/05,120
2020/04/06,81
2020/04/07,35
2020/04/08,88
2020/04/09,66
2020/04/10,74
2020/04/11,86
2020/04/12,84
2020/04/13,60
2020/04/14,53
2020/04/15,70
2020/04/16,74
2020/04/17,58
2020/04/18,88
2020/04/19,46
2020/04/20,59
2020/04/21,64
2020/04/22,93
2020/04/23,76
2020/04/24,117
2020/04/25,45
2020/04/26,8
2020/04/27,85
2020/04/28,99
2020/04/29,52
2020/04/30,69
2020/05/01,67
2020/05/02,40
2020/05/03,34
2020/05/04,32
2020/05/05,29
2020/05/06,70
2020/05/07,31
2020/05/08,52
2020/05/09,38
2020/05/10,35
2020/05/11,24
2020/05/12,19
2020/05/13,29
2020/05/14,47
2020/05/15,23
2020/05/16,25
2020/05/17,35
2020/05/18,43
2020/05/19,25
2020/05/20,35
2020/05/21,23
2020/05/22,46
2020/05/23,33
2020/05/24,18
2020/05/25,4
2020/05/26,23
2020/05/27,23
2020/05/28,9
2020/05/29,32
2020/05/30,35
2020/05/31,10
2020/06/01,1
2020/06/02,23
2020/06/03,3
2020/06/04,6
2020/06/05,22
2020/06/06,11
2020/06/07,12
2020/06/08,2
2020/06/09,5
2020/06/10,6
2020/06/11,4
2020/06/12,23
2020/06/13,16
2020/06/14,13
2020/06/15,3
2020/06/16,6
2020/06/17,20
2020/06/18,12
2020/06/19,7
2020/06/20,0
2020/06/21,9
2020/06/22,0
2020/06/23,4
2020/06/24,3
2020/06/25,5
2020/06/26,3
2020/06/27,4
2020/06/28,6
2020/06/29,0
2020/06/30,1
2020/07/01,1
2020/07/02,3
2020/07/03,11
2020/07/04,0
2020/07/05,3
2020/07/06,0
2020/07/07,0
2020/07/08,1
2020/07/09,4
2020/07/10,0
2020/07/11,3
2020/07/12,0
2020/07/13,2
2020/07/14,1
2020/07/15,1
2020/07/16,0
2020/07/17,2
2020/07/18,1
2020/07/19,1
2020/07/20,0
2020/07/21,2
2020/07/22,0
2020/07/23,3
2020/07/24,2
2020/07/25,0
2020/07/26,1
2020/07/27,0
2020/07/28,3
2020/07/29,0
2020/07/30,3
2020/07/31,3
2020/08/01,2
2020/08/02,0
2020/08/03,0
2020/08/04,0
2020/08/05,1
2020/08/06,5
2020/08/07,4
2020/08/08,0
2020/08/09,1
2020/08/10,1
2020/08/11,1
2020/08/12,2
2020/08/13,3
2020/08/14,8
2020/08/15,6
2020/08/16,0
2020/08/17,1
2020/08/18,3
2020/08/19,3
2020/08/20,0
2020/08/21,4
2020/08/22,38
2020/08/23,5
2020/08/24,2
2020/08/25,6
2020/08/26,9
2020/08/27,14
2020/08/28,6
2020/08/29,8
2020/08/30,12
2020/08/31,1
2020/09/01,10
2020/09/02,11
2020/09/03,12
2020/09/04,10
2020/09/05,6
2020/09/06,1
2020/09/07,1
2020/09/08,24
2020/09/09,16
2020/09/10,14
2020/09/11,21
2020/09/12,7
2020/09/13,12
2020/09/14,0
2020/09/15,7
2020/09/16,6
2020/09/17,42
2020/09/18,32
2020/09/19,14
2020/09/20,17
2020/09/21,3
2020/09/22,35
2020/09/23,18
2020/09/24,13
2020/09/25,23
2020/09/26,5
2020/09/27,13
2020/09/28,4
2020/09/29,12
2020/09/30,17
2020/10/01,20
2020/10/02,9
2020/10/03,22
2020/10/04,22
2020/10/05,6
2020/10/06,12
2020/10/07,46
2020/10/08,42
2020/10/09,32
2020/10/10,40
2020/10/11,103
2020/10/12,31
2020/10/13,34
2020/10/14,101
2020/10/15,79
2020/10/16,120
2020/10/17,103
2020/10/18,132
2020/10/19,70
2020/10/20,54
2020/10/21,242
2020/10/22,167
2020/10/23,231
2020/10/24,303
2020/10/25,254
2020/10/26,109
2020/10/27,188
2020/10/28,298
2020/10/29,317
2020/10/30,403
2020/10/31,387
2020/11/01,434
2020/11/02,89
2020/11/03,294
2020/11/04,314
2020/11/05,578
2020/11/06,408
2020/11/07,550
2020/11/08,313
2020/11/09,166
2020/11/10,307
2020/11/11,385
2020/11/12,410
2020/11/13,511
2020/11/14,534
2020/11/15,465
2020/11/16,95
2020/11/17,311
2020/11/18,395
2020/11/19,406
2020/11/20,385
2020/11/21,385
2020/11/22,211
2020/11/23,85
2020/11/24,239
2020/11/25,307
2020/11/26,341
2020/11/27,293
2020/11/28,269
