Datas,Pesaro e Urbino
2020/02/25,0
2020/02/26,1
2020/02/27,2
2020/02/28,3
2020/02/29,5
2020/03/01,13
2020/03/02,9
2020/03/03,22
2020/03/04,17
2020/03/05,28
2020/03/06,26
2020/03/07,33
2020/03/08,45
2020/03/09,42
2020/03/10,50
2020/03/11,46
2020/03/12,61
2020/03/13,93
2020/03/14,95
2020/03/15,121
2020/03/16,21
2020/03/17,79
2020/03/18,98
2020/03/19,73
2020/03/20,116
2020/03/21,87
2020/03/22,63
2020/03/23,63
2020/03/24,59
2020/03/25,61
2020/03/26,42
2020/03/27,1
2020/03/28,32
2020/03/29,70
2020/03/30,62
2020/03/31,25
2020/04/01,58
2020/04/02,34
2020/04/03,30
2020/04/04,34
2020/04/05,33
2020/04/06,66
2020/04/07,37
2020/04/08,45
2020/04/09,43
2020/04/10,49
2020/04/11,28
2020/04/12,19
2020/04/13,41
2020/04/14,14
2020/04/15,35
2020/04/16,19
2020/04/17,28
2020/04/18,16
2020/04/19,19
2020/04/20,21
2020/04/21,14
2020/04/22,19
2020/04/23,8
2020/04/24,27
2020/04/25,10
2020/04/26,17
2020/04/27,11
2020/04/28,34
2020/04/29,17
2020/04/30,16
2020/05/01,15
2020/05/02,8
2020/05/03,11
2020/05/04,31
2020/05/05,15
2020/05/06,18
2020/05/07,26
2020/05/08,9
2020/05/09,11
2020/05/10,17
2020/05/11,8
2020/05/12,15
2020/05/13,15
2020/05/14,8
2020/05/15,10
2020/05/16,4
2020/05/17,3
2020/05/18,1
2020/05/19,2
2020/05/20,2
2020/05/21,1
2020/05/22,2
2020/05/23,0
2020/05/24,2
2020/05/25,0
2020/05/26,0
2020/05/27,0
2020/05/28,0
2020/05/29,1
2020/05/30,3
2020/05/31,1
2020/06/01,0
2020/06/02,0
2020/06/03,0
2020/06/04,3
2020/06/05,1
2020/06/06,2
2020/06/07,0
2020/06/08,1
2020/06/09,0
2020/06/10,2
2020/06/11,0
2020/06/12,0
2020/06/13,0
2020/06/14,0
2020/06/15,1
2020/06/16,0
2020/06/17,0
2020/06/18,0
2020/06/19,0
2020/06/20,0
2020/06/21,0
2020/06/22,1
2020/06/23,1
2020/06/24,1
2020/06/25,-1
2020/06/26,0
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,1
2020/07/02,1
2020/07/03,0
2020/07/04,0
2020/07/05,0
2020/07/06,0
2020/07/07,1
2020/07/08,1
2020/07/09,1
2020/07/10,0
2020/07/11,2
2020/07/12,0
2020/07/13,0
2020/07/14,0
2020/07/15,0
2020/07/16,1
2020/07/17,2
2020/07/18,1
2020/07/19,0
2020/07/20,0
2020/07/21,0
2020/07/22,0
2020/07/23,0
2020/07/24,1
2020/07/25,2
2020/07/26,6
2020/07/27,2
2020/07/28,4
2020/07/29,11
2020/07/30,5
2020/07/31,15
2020/08/01,0
2020/08/02,5
2020/08/03,0
2020/08/04,2
2020/08/05,1
2020/08/06,5
2020/08/07,13
2020/08/08,2
2020/08/09,9
2020/08/10,0
2020/08/11,1
2020/08/12,3
2020/08/13,5
2020/08/14,19
2020/08/15,3
2020/08/16,1
2020/08/17,1
2020/08/18,4
2020/08/19,1
2020/08/20,3
2020/08/21,6
2020/08/22,5
2020/08/23,0
2020/08/24,0
2020/08/25,3
2020/08/26,0
2020/08/27,17
2020/08/28,8
2020/08/29,6
2020/08/30,5
2020/08/31,1
2020/09/01,5
2020/09/02,6
2020/09/03,4
2020/09/04,7
2020/09/05,16
2020/09/06,11
2020/09/07,0
2020/09/08,1
2020/09/09,5
2020/09/10,15
2020/09/11,8
2020/09/12,10
2020/09/13,19
2020/09/14,0
2020/09/15,1
2020/09/16,6
2020/09/17,13
2020/09/18,8
2020/09/19,3
2020/09/20,4
2020/09/21,0
2020/09/22,6
2020/09/23,12
2020/09/24,5
2020/09/25,7
2020/09/26,3
2020/09/27,1
2020/09/28,0
2020/09/29,0
2020/09/30,5
2020/10/01,6
2020/10/02,3
2020/10/03,5
2020/10/04,8
2020/10/05,1
2020/10/06,2
2020/10/07,12
2020/10/08,3
2020/10/09,6
2020/10/10,12
2020/10/11,7
2020/10/12,2
2020/10/13,5
2020/10/14,10
2020/10/15,18
2020/10/16,2
2020/10/17,25
2020/10/18,25
2020/10/19,13
2020/10/20,16
2020/10/21,26
2020/10/22,-685
2020/10/23,767
2020/10/24,32
2020/10/25,32
2020/10/26,19
2020/10/27,28
2020/10/28,44
2020/10/29,62
2020/10/30,44
2020/10/31,46
2020/11/01,65
2020/11/02,58
2020/11/03,48
2020/11/04,49
2020/11/05,79
2020/11/06,51
2020/11/07,53
2020/11/08,42
2020/11/09,8
2020/11/10,70
2020/11/11,86
2020/11/12,53
2020/11/13,94
2020/11/14,104
2020/11/15,154
2020/11/16,22
2020/11/17,68
2020/11/18,82
2020/11/19,168
2020/11/20,113
2020/11/21,72
2020/11/22,85
2020/11/23,28
2020/11/24,83
2020/11/25,81
2020/11/26,102
2020/11/27,103
2020/11/28,65
2020/11/29,157
2020/11/30,131
2020/12/01,93
2020/12/02,108
2020/12/03,124
2020/12/04,105
2020/12/05,95
2020/12/06,92
2020/12/07,54
2020/12/08,89
2020/12/09,83
2020/12/10,147
2020/12/11,142
2020/12/12,98
2020/12/13,120
2020/12/14,41
2020/12/15,107
2020/12/16,116
2020/12/17,146
2020/12/18,113
2020/12/19,119
2020/12/20,88
2020/12/21,71
2020/12/22,144
2020/12/23,149
