Datas,Pescara
2020/02/25,0
2020/02/26,0
2020/02/27,0
2020/02/28,0
2020/02/29,0
2020/03/01,0
2020/03/02,0
2020/03/03,1
2020/03/04,0
2020/03/05,0
2020/03/06,0
2020/03/07,1
2020/03/08,6
2020/03/09,6
2020/03/10,4
2020/03/11,0
2020/03/12,30
2020/03/13,0
2020/03/14,17
2020/03/15,17
2020/03/16,19
2020/03/17,37
2020/03/18,22
2020/03/19,63
2020/03/20,36
2020/03/21,43
2020/03/22,32
2020/03/23,36
2020/03/24,-1
2020/03/25,43
2020/03/26,33
2020/03/27,31
2020/03/28,36
2020/03/29,64
2020/03/30,18
2020/03/31,28
2020/04/01,9
2020/04/02,15
2020/04/03,23
2020/04/04,31
2020/04/05,27
2020/04/06,1
2020/04/07,28
2020/04/08,15
2020/04/09,34
2020/04/10,33
2020/04/11,31
2020/04/12,20
2020/04/13,41
2020/04/14,17
2020/04/15,24
2020/04/16,34
2020/04/17,37
2020/04/18,29
2020/04/19,23
2020/04/20,49
2020/04/21,47
2020/04/22,25
2020/04/23,21
2020/04/24,8
2020/04/25,9
2020/04/26,7
2020/04/27,14
2020/04/28,-4
2020/04/29,15
2020/04/30,7
2020/05/01,15
2020/05/02,9
2020/05/03,31
2020/05/04,4
2020/05/05,24
2020/05/06,25
2020/05/07,21
2020/05/08,2
2020/05/09,7
2020/05/10,14
2020/05/11,4
2020/05/12,0
2020/05/13,12
2020/05/14,7
2020/05/15,7
2020/05/16,9
2020/05/17,5
2020/05/18,-1
2020/05/19,4
2020/05/20,6
2020/05/21,9
2020/05/22,3
2020/05/23,-1
2020/05/24,4
2020/05/25,0
2020/05/26,1
2020/05/27,2
2020/05/28,3
2020/05/29,-1
2020/05/30,0
2020/05/31,5
2020/06/01,0
2020/06/02,0
2020/06/03,2
2020/06/04,2
2020/06/05,1
2020/06/06,-3
2020/06/07,7
2020/06/08,0
2020/06/09,1
2020/06/10,1
2020/06/11,1
2020/06/12,2
2020/06/13,2
2020/06/14,1
2020/06/15,0
2020/06/16,1
2020/06/17,1
2020/06/18,0
2020/06/19,1
2020/06/20,0
2020/06/21,0
2020/06/22,1
2020/06/23,0
2020/06/24,42
2020/06/25,0
2020/06/26,1
2020/06/27,0
2020/06/28,0
2020/06/29,0
2020/06/30,0
2020/07/01,1
2020/07/02,1
2020/07/03,-1
2020/07/04,3
