Datas,Piacenza
2020/02/25,18
2020/02/26,10
2020/02/27,35
2020/02/28,26
2020/02/29,49
2020/03/01,36
2020/03/02,38
2020/03/03,44
2020/03/04,63
2020/03/05,59
2020/03/06,48
2020/03/07,53
2020/03/08,49
2020/03/09,74
2020/03/10,31
2020/03/11,31
2020/03/12,15
2020/03/13,31
2020/03/14,143
2020/03/15,159
2020/03/16,61
2020/03/17,131
2020/03/18,136
2020/03/19,88
2020/03/20,147
2020/03/21,118
2020/03/22,72
2020/03/23,120
2020/03/24,96
2020/03/25,141
2020/03/26,91
2020/03/27,63
2020/03/28,114
2020/03/29,85
2020/03/30,41
2020/03/31,119
2020/04/01,81
2020/04/02,49
2020/04/03,46
2020/04/04,31
2020/04/05,50
2020/04/06,44
2020/04/07,17
2020/04/08,27
2020/04/09,40
2020/04/10,29
2020/04/11,14
2020/04/12,37
2020/04/13,38
2020/04/14,29
2020/04/15,56
2020/04/16,26
2020/04/17,25
2020/04/18,25
2020/04/19,70
2020/04/20,24
2020/04/21,67
2020/04/22,73
2020/04/23,53
2020/04/24,49
2020/04/25,60
2020/04/26,56
2020/04/27,75
2020/04/28,92
2020/04/29,75
2020/04/30,69
2020/05/01,53
2020/05/02,60
2020/05/03,39
2020/05/04,37
2020/05/05,35
2020/05/06,9
2020/05/07,5
2020/05/08,34
2020/05/09,12
2020/05/10,15
2020/05/11,14
2020/05/12,11
2020/05/13,5
2020/05/14,14
2020/05/15,7
2020/05/16,5
2020/05/17,5
2020/05/18,11
2020/05/19,3
2020/05/20,11
2020/05/21,2
2020/05/22,6
2020/05/23,2
2020/05/24,2
2020/05/25,5
2020/05/26,1
2020/05/27,4
2020/05/28,6
2020/05/29,0
2020/05/30,2
2020/05/31,10
2020/06/01,2
2020/06/02,4
2020/06/03,2
2020/06/04,1
2020/06/05,2
2020/06/06,2
2020/06/07,3
2020/06/08,3
2020/06/09,1
2020/06/10,7
2020/06/11,5
2020/06/12,2
2020/06/13,2
2020/06/14,0
2020/06/15,0
2020/06/16,4
2020/06/17,1
2020/06/18,6
2020/06/19,0
2020/06/20,1
2020/06/21,1
2020/06/22,1
2020/06/23,1
2020/06/24,-116
2020/06/25,1
2020/06/26,-24
2020/06/27,28
2020/06/28,0
2020/06/29,1
2020/06/30,0
2020/07/01,1
2020/07/02,2
